"disposition","reps"
"ARIZ, ASC, DES, NY, OS",1
"ARIZ, ASC, DES, UTEP",1
"ARIZ, ASC, ID, OS, UMO, UTEP, WV",1
"ARIZ, ASC, MBM, BRIT, HUEFS, NY,",1
"ARIZ, ASC, NA",1
"ARIZ, ASC, NY, UMO, UTEP",1
"ARIZ, ASC, WVA",1
"ARIZ, ASU, NAVA, NY",1
"ARIZ, BRIT, CS, DES, NY, UTEP",1
"ARIZ, BRIT, CTES, DES, HUEFS, MB",1
"ARIZ, BRIT, DES, MSC, NO, NY, UT",1
"ARIZ, BRIT, UTEP",1
"ARIZ, BRY, CS, DES, NY",1
"ARIZ, BRY, CS, DES, NY, OSC",1
"ARIZ, BRY, CS, MSC, UTEP",1
"ARIZ, BRY, DES, ENCB, NMC, NY, S",1
"ARIZ, BRY, ENCB, NMC, NY, SD, SI",1
"ARIZ, BRY, ID, OS, UCR, UMO, UTE",1
"ARIZ, BRY, MSC, OBI, UTEP",1
"ARIZ, CANB, NMC, SD, UTEP",1
"ARIZ, CS",1
"ARIZ, CS, DES",1
"ARIZ, CTES, DES, MBM, NY, UCR, U",1
"ARIZ, CTES, DES, NY, UCR, UTEP",1
"ARIZ, CTES, DES, UTEP",1
"ARIZ, CTES, UTEP",1
"ARIZ, DES, ID, UTEP",1
"ARIZ, DES, NY, UTEP",1
"ARIZ, ENCB, NMC, NY, RB, SD, UTE",1
"ARIZ, ID, NA, OS, UMO, UTEP",1
"ARIZ, NA, OS, UTEP",1
"ARIZ, NMC, NY, SD, UTEP",1
"ARIZ, NMC, UTEP",1
"ARIZ, NY",1
"ARIZ, NY, UCR, UMO",1
"ARIZ, NY, UMO",1
"ARIZ, NY, UTEP",1
"ARIZ, UTEP, WVA",1
"ARIZ, YC, DBG, ASU, UNM, ASC, IS",1
"ASC, ASU, SJC",1
"ASC, BRIT, CS, CTES, DAV, MSC, N",1
"ASC, BRIT, ID, NY, UMO, UTEP, WV",1
"ASC, BRIT, ID, NY, UTEP, WVA",1
"ASC, BRIT, UTEP",1
"ASC, CANB, CTES, ENCB, HUEFS, MB",1
