"index.typestatus","reps"
"paratype of leiocephalus personatus lunatus",42
"topotype of loveridgea ionidesii",42
"topotype of zygodontomys seorsus",42
"voucher of <a href=\http://arctos.database.museum/name/neotoma pygmaea\>neotoma pygmaea</a>, page 564 in <a href=\http://arctos.database.museum/publication/10004544\>harris 1984</a>",42
"voucher of manducus maderensis",42
"voucher of phrynobatrachus auritus",42
"paratype of agama mossambica montana",41
"paratype of leiocephalus schreibersi nesomorus",41
"paratype of mustela cicognanii mortigena",41
"paratype of tabanus pseudoculus",41
"voucher of bryograptus",41
"voucher of pentremites rusticus",41
"voucher of phrynosoma douglassi, page 35 in <a href=\http://arctos.database.museum/publication/10007633\>holman 1970</a>",41
"paratype of colostethus mittermeieri",40
"voucher of <a href=\http://arctos.database.museum/name/notiosorex harrisi\>notiosorex harrisi</a>, page 163 in <a href=\http://arctos.database.museum/publication/10005486\>carraway 2010</a>",40
"voucher of uintacrinus socialis",40
"paratype of eleutherodactylus cundalli",39
"paratype of eleutherodactylus pantoni",39
"paratype of euspondylus josyi",39
"paratype of tachys latissimus tinctus",39
"voucher of cryptolithus lorettensis",39
"paralectotype of leptodactylus validus",38
"paratype of <a href=\http://arctos.database.museum/name/ugrunaaluk kuukpikensis\>ugrunaaluk kuukpikensis</a> in <a href=\http://arctos.database.museum/publication/10007841\>mori et al. 2016</a>",38
"paratype of eleutherodactylus greyi",38
"paratype of epicauta normalis",38
"paratype of esenbeckia illota osornoi",38
"paratype of liguus crenatus barbouri",38
"paratype of sorex personatus miscix",38
"pl-hypotype",38
"syntype of ithomia hamlini",38
"topotype and holotype",38
"topotype of chamaeleo fischeri fischeri",38
"voucher of <a href=\http://arctos.database.museum/name/cynomys gunnisoni\>cynomys gunnisoni</a>, page 36 in <a href=\http://arctos.database.museum/publication/10007624\>goodwin 1995</a>",38
"paratype of anolis hendersoni ravidormitans",37
"paratype of anolis homolechis jubar",37
"paratype of emoia maculata",37
"paratype of eurema dina helios",37
"paratype of sphaerodactylus townsendi",37
"syntype of pelopia thienemanni (statz, 1944)",37
"paratype of celestus costatus oreistes",36
"paratype of eleutherodactylus cundalli glaucoreius",36
"paratype of liguus fasciatus viridis",36
"paratype of pheidole nebulosa",36
"type of geralophus lassatus",36
"type of tipula clauda",36
"paratype of ansonia longidigita longidigitata",35
"paratype of pheidole juniperae",35
"paratype of sphaerodactylus nicholsi",35
"syntype of arnioceras obtusiforme",35
"syntype of chrysemys picta marginata",35
"syntype of myrmica wheeleri",35
"paratype of anolis hendersoni dolichocephalus",34
"paratype of arthroleptis stenodactylus whytii",34
"paratype of litoria spinifera",34
"paratype of pheidole laselva",34
"syntype of ameiva aquilina",34
"basis of illustration of <a href=\http://arctos.database.museum/name/troodon formosus\>troodon formosus</a>, page 677 in <a href=\http://arctos.database.museum/publication/10006882\>fiorillo and gangloff 2001</a>",33
"genetic voucher of pachytriton brevipes",33
"paratype of epicauta polingi",33
"paratype of leiocephalus psammodromus mounax",33
"paratype of pheidole ectatommoides",33
"paratype of philiris sappheira manskiei",33
"type of palecphora communis",33
"paratype of anolis distichus aurifer",32
"paratype of eleutherodactylus librarius",32
"paratype of eurycea bislineata wilderae",32
"paratype of rana everetti albotuberculata",32
"plasto-paratype",32
"syntype of anolis lividus",32
"voucher of paradoxides harlani",32
"voucher of semaprochilodus insignis",32
"additional material of oonops balanus",31
"paratype.",31
"paratype of cornufer parkeri parkeri",31
"paratype of draco caerulhians",31
"paratype of epicauta floridensis",31
"paratype of lycaeides melissa samuelis",31
"paratype of pheidole otisi",31
"paratype of pheidole specularis",31
"published 2007.journal of paleontology, 81(2): 331-351. 2007.",31
"study material",31
"syntype of cistudo virginea",31
"voucher of <a href=\http://arctos.database.museum/name/neotoma lepida\>neotoma lepida</a>, page 281 in <a href=\http://arctos.database.museum/publication/10007813\>messing 1986</a>",31
"genotype",30
"paratype of acestrorhynchus altus",30
"paratype of anolis allisoni",30
"paratype of bufo cubensis",30
"type of sciomyza manca",30
"voucher of dipturus teevani",30
"voucher of onnia ornatus",30
"durham, 1944.",29
"paratype of chilorhinophis carpenteri liwalensis",29
"paratype of crotalus triseriatus aquilus",29
"paratype of graptemys barbouri",29
"paratype of meristoschisma hudsoni",29
"paratype of peromyscus insulanus",29
"plastolectotype",29
"syntype of stichopathes pourtalesi",29
"voucher of comanthus parvicirrus",29
"voucher of cyrtometopus clavifrons",29
"voucher of neocomatella pulchella| voucher of antedon pulchella",29
"additional material of polyipnus clarus",28
"paratype of acontias percivali| additional material of acontias percivali",28
"paratype of anisocentropus nitidus",28
"paratype of cnemidophorus arenivagus",28
"paratype of dynamine egaea calais",28
"paratype of eleutherodactylus lymani",28
"paratype of emoia aurulenta",28
"paratype of emoia montana",28
"paratype of pheidole browni",28
"paratype of pheidole coveri",28
"paratype of pheidole rugiceps",28
"paratype of pristomyrmex wheeleri",28
"paratype of tachys fumatus",28
"voucher of dictyonema",28
"voucher of koryschisma elegans| paratype of koryschisma elegans",28
"paratype of anolis alumina",27
"paratype of discodeles malukuna",27
"paratype of hyperolius milnei| additional material of hyperolius milnei",27
"paratype of pheidole furtiva",27
"paratype of typhlops hectus",27
"voucher of eurypterus fischeri",27
"voucher of neospongodes agassizii",27
"additional material of mangora sumauma",26
"holotype and paratype",26
"paratype of arthroleptis adolfifriederici francei",26
