"index.typestatus","reps"
"voucher of trachyceras regoledanum",4
"voucher of triarthrus becki| voucher of triarthrus eatoni",4
"voucher of trigonotylus pulcher",4
"voucher of triplecia cuspidata",4
"voucher of uromystrum brevispinum",4
"voucher of uroptychus fenneri",4
"voucher of xylobius",4
"voucher of zaphrentis corniculum",4
"voucher of zlichovaspis rugosa",4
"?",3
"additional material of alsophis angulifer ruttyi| paratype of alsophis angulifer ruttyi",3
"additional material of anodonta suborbiculata",3
"additional material of argiope doboensis",3
"additional material of bankia campanellata",3
"additional material of bankia destructa",3
"additional material of brycon dulcis",3
"additional material of chaetacis cornuta",3
"additional material of cormodesmus hirrutellus",3
"additional material of dendrocopos pubescens pubescens",3
"additional material of dysidea fragilis",3
"additional material of edricus spinigerus",3
"additional material of hyperolius swynnertoni| paratype of hyperolius swynnertoni",3
"additional material of labiduromma tertiarium| type of labidura tertiaria",3
"additional material of lyrodus bipartitus",3
"additional material of metalycaeus rathousianus",3
"additional material of micrathena furcata",3
"additional material of micrathena lepidoptera",3
"additional material of nanostreptus orthacanthus",3
"additional material of nansenia oblita",3
"additional material of nausitora dunlopei",3
"additional material of nephtys yuryi",3
"additional material of ocrepeira planada",3
"additional material of oonops vestus",3
"additional material of oonops viridans",3
"additional material of orthoporus etholax",3
"additional material of psammophis biseriatus tanganicus",3
"additional material of raja macrophthalma",3
"additional material of scleracis petrosa| voucher of scleracis petrosa",3
"additional material of segestria plicata",3
"additional material of siphonophora pearsei",3
"additional material of spathoteredo spatha",3
"additional material of teredo bartschi",3
"additional material of teredo johnsoni",3
"additional material of trachelodesmus ancylophor",3
"additional material of tretanorhinus variabilis lewisi| paratype of tretanorhinus variabilis lewisi",3
"additional material of wagneriana jelskii",3
"additional material of zalmoxis princeps",3
"allotype of miomyrmex striatus",3
"basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a>, page 11 in <a href=\http://arctos.database.museum/publication/10006482\>shapiro et al. 2004</a>",3
"basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a>, page 11 in <a href=\http://arctos.database.museum/publication/10006482\>shapiro et al. 2004</a>; basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",3
"basis of illustration of <a href=\http://arctos.database.museum/name/canis\>canis</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",3
"basis of illustration of <a href=\http://arctos.database.museum/name/hadrosauridae\>hadrosauridae</a>, page 304 in <a href=\http://arctos.database.museum/publication/10006881\>gangloff and fiorillo 2010</a>",3
"cotype of geomelania affinis",3
"cotypes",3
"cuisian",3
"figured of berosus (berosus) morticinus (heyden & heyden, 1866)",3
"figured of calotermes rhenanus (hagen, 1863)",3
"figured of caretta caretta caretta",3
"figured of ceratites obergi",3
"figured of ceratites simplex",3
"figured of chaenophryne longiceps",3
"figured of chrysemys picta",3
"figured of cryptacanthodes maculatus",3
"figured of diaphus effulgens",3
"figured of diaphus lobatus",3
"figured of flemingites cirratus",3
"figured of gigantura chuni",3
"figured of gymnotoceras geminatus",3
"figured of lepophidium profundorum",3
"figured of leptocephalus holti",3
"figured of liparis gibbus",3
"figured of malacosteus niger",3
"figured of mustelus laevis",3
"figured of myliobatis californica",3
"figured of ophidion marginatum",3
"figured of ophidion robinsi",3
"figured of parasudis truculenta",3
"figured of penthetria",3
"figured of phryganea",3
"figured of proclydonautilus triadicus",3
"figured of rypticus bicolor",3
"figured of thermalites thermarum| paratype of thermalites thermarum",3
"figured of tipula",3
"figured specimen. published 1998.nesbitt, e.a. 1998. marine fauna of the middle eocene tukwila formation, king county. washington geology 26:13–19. p.17.",3
"genetic voucher of amblychilepas nigrita",3
"genetic voucher of amietophrynus brauni",3
"genetic voucher of amnirana| genetic voucher of hylarana| genetic voucher of amnirana albolabris",3
"genetic voucher of anolis shrevei| genetic voucher of anolis shrevei",3
"genetic voucher of arthroleptis sylvaticus",3
"genetic voucher of ballonema",3
"genetic voucher of cardioglossa melanogaster",3
"genetic voucher of cardioglossa pulchra",3
"genetic voucher of craterostigmus crabilli| genetic voucher of craterostigmus crabilli",3
"genetic voucher of diodora gibberula",3
"genetic voucher of diodora listeri",3
"genetic voucher of emarginula octaviana",3
"genetic voucher of fissiphallius",3
"genetic voucher of golfingia elongata",3
"genetic voucher of hyperolius ocellatus",3
"genetic voucher of lampadena speculigera",3
"genetic voucher of leptodactylodon axillaris",3
"genetic voucher of leptopelis crystallinoron| genetic voucher of leptopelis crystallinoron",3
"genetic voucher of leptopelis| genetic voucher of leptopelis",3
"genetic voucher of metabiantes",3
"genetic voucher of pachytriton brevipes| genetic voucher of pachytriton brevipes| genetic voucher of pachytriton brevipes| voucher of pachytriton brevipes| genetic voucher of pachytriton brevipes",3
"genetic voucher of pachytriton feii| genetic voucher of pachytriton feii| voucher of pachytriton inexpectatus",3
"genetic voucher of pachytriton granulosus| genetic voucher of pachytriton granulosus| genetic voucher of pachytriton granulosus| voucher of pachytriton inexpectatus| genetic voucher of pachytriton granulosus",3
"genetic voucher of pachytriton granulosus| voucher of pachytriton inexpectatus| genetic voucher of pachytriton granulosus",3
"genetic voucher of paraperipatus",3
"genetic voucher of peripatoides| voucher of peripatoides",3
"genetic voucher of phascolosoma scolops",3
"genetic voucher of phrynobatrachus inexpectatus| genetic voucher of phrynobatrachus inexpectatus",3
"genetic voucher of phrynobatrachus natalensis",3
"genetic voucher of phrynobatrachus natalensis| genetic voucher of phrynobatrachus natalensis",3
"genetic voucher of phrynobatrachus parvulus| genetic voucher of phrynobatrachus parvulus",3
"genetic voucher of pseudocellus",3
"genetic voucher of ptychadena",3
"genetic voucher of ricinoides megahanseni",3
"genetic voucher of scolopocryptops mexicanus",3
"genetic voucher of siphonosoma cumanense",3
"genetic voucher of sipunculus nudus",3
"genetic voucher of tithaeus",3
"genetic voucher of tomopterna kachowskii",3
"genetic voucher of troglosiro longifossa| paratype of troglosiro longifossa",3
"genocotypes",3
"holotype, figured",3
"holotype of aulacera radiata",3
"holotype of oligocephalus grahami",3
"holotype of parattus resurrectus",3
"holotype of phrynosoma douglassii",3
"holotype of poecilozonites bermudensis",3
"holotype of poteriocrinus geometricus",3
"holotype of pronous peje",3
"holotype | paratype",3
"holotype; paratype",3
"holotype, publ",3
"holotype. published 1912.",3
"holoype",3
"hyptotype",3
"ideotype of bulinus chrysalidiformis",3
"isolectotype",3
"lectotype of unio ortmanni",3
"metatype-topotype",3
"n. comb.; figured and cited",3
"neoholotype",3
"neotype?",3
"neotype of scarus miniofrenatus",3
"onomatype",3
"other useful citation of caligus berychis",3
"other useful citation of parasudis truculenta",3
"paralectotype of achatina blandiana",3
"paralectotype of achatinella (achatinellastrum) fulgens fulgens",3
"paralectotype of achatinella grisea",3
"paralectotype of achatinella labiata",3
"paralectotype of achatinella obesa",3
"paralectotype of achatinella succincta",3
"paralectotype of achatinella terebra",3
"paralectotype of achatinella tessellata",3
"paralectotype of agathidium sexstriatum",3
"paralectotype of anisodactylus confusus",3
"paralectotype of apalone spinifera aspera",3
"paralectotype of astyanax scabripinnis intermedius",3
"paralectotype of atopsyche bolivari| syntype of atopsyche bolivari",3
"paralectotype of baccha lemur",3
"paralectotype of bathypsammia tintinnabulum| syntype of thecopsammia tintinnabulum",3
"paralectotype of bembidium erasum",3
"paralectotype of bispira polymorpha",3
"paralectotype of bryaxis befragei",3
"paralectotype of cambarus uhleri| syntype of cambarus uhleri",3
"paralectotype of cephaloscymnus ornatus",3
"paralectotype of collonia picta",3
"paralectotype of corticaria herbivagans",3
"paralectotype of curimatus dorsalis| syntype of curimatus dorsalis",3
"paralectotype of cyclostoma dubiosum",3
"paralectotype of eristalis obscurus",3
"paralectotype of eupeodes volucris",3
"paralectotype of eurycea tynerensis",3
"paralectotype of fidia murina| syntype of fidia murina",3
"paralectotype of fusus benthalis",3
"paralectotype of garyops depressa",3
"paralectotype of garypus floridensis",3
"paralectotype of gasteropelecus fasciatus| syntype of gasteropelecus fasciatus",3
"paralectotype of gemmula benthima",3
"paralectotype of helix",3
"paralectotype of helophorus fortis",3
"paralectotype of hippodamia ambigua",3
"paralectotype of hippodamia punctulata",3
"paralectotype of iphthimus opacus",3
"paralectotype of labichthys bowersii",3
"paralectotype of leptinus americanus",3
"paralectotype of littorina jamaicensis",3
"paralectotype of nebria moesta",3
"paralectotype of nephtys squamosa| additional material of nephtys squamosa| syntype of nephtys squamosa",3
"paralectotype of oodes elegans",3
"paralectotype of orconectes obscurus| syntype of cambarus obscurus",3
"paralectotype of ostrea idriaensis",3
"paralectotype of pachybrachys atomus| syntype of pachybrachys atomus",3
"paralectotype of pachybrachys lodingi| syntype of pachybrachys lodingi",3
"paralectotype of pachybrachys varians| syntype of pachybrachys varians",3
"paralectotype of pheidole similigena| syntype of pheidole similigena",3
"paralectotype of philhydrus diffusus",3
"paralectotype of plecostomus affinis| syntype of plecostomus affinis",3
"paralectotype of psyllobora taedata",3
"paralectotype of scopelengys dispar",3
"paralectotype of scutigera microstoma",3
"paralectotype of scydmaenus deformatus| syntype of scydmaenus deformatus",3
"paralectotype of scymnus liebecki",3
"paralectotype of scymnus sordidus",3
"paralectotype of sphaerophoria micrura",3
"paralectotype of staphylinus badipes",3
"paralectotype of staphylinus luteipes",3
"paralectotype of sternoptyx obscura",3
"paralectotype of strophiops sampsoni",3
"paralectotype of strophiops santesoni",3
"paralectotype of strophiops stroutii",3
"paralectotype of tabanus tectus",3
"paralectotype of tadumia (eukoramius) imperator regina| syntype of parnassius imperator regina",3
"paralectotype of tadumia (eukoramius) imperator regulus| syntype of parnassius imperator regulus",3
"paralectotype of trimium puncticolle",3
"paralectotype of turritella acropora",3
"paralectotype of vermilio tibialis lowi",3
"paralectotype of xylota fraudulosa",3
"paralectotype; syntype",3
"paratype and figured",3
"paratype; figured and cited",3
"paratype (ms) of trachinotus",3
"paratype (ms) of tyttocharax",3
"paratype. not yet published.",3
"paratype of acanthochitona balesae",3
"paratype of acanthomyops colei",3
"paratype of acanthomyops creightoni",3
"paratype of acanthomyrmex basispinosus",3
"paratype of acanthomyrmex mindanao",3
"paratype of achaearanea kaindi",3
"paratype of achaearanea milagro",3
"paratype of achatina arthurii",3
"paratype of achatinella bulimoides spadicea",3
"paratype of achatinella costulata",3
"paratype of achatinella decipiens torrida",3
"paratype of achatinella fulgens plumata",3
"paratype of achatinella fumida",3
"paratype of acrocera stansburyi",3
"paratype of acrodipsas mortoni",3
"paratype of acropyga oreithauma",3
"paratype of acropyga (rhizomyrma) robae",3
"paratype of actaea garretti",3
"paratype of actinocucumis longipedes",3
"paratype of actobius parcus",3
"paratype of aethalops aequalis",3
"paratype of agriognatha espanola",3
"paratype of aipysurus foliosquama",3
"paratype of alloribates singularis",3
"paratype of alpaida cali",3
"paratype of alpaida eberhardi",3
"paratype of alpaida iquitos",3
"paratype of alpaida lubinae",3
"paratype of alpaida simla",3
"paratype of amblyomma tapirellum",3
"paratype of ameiva taeniura algida",3
"paratype of ameiva taeniura ignobilis",3
"paratype of ameiva taeniura regnatrix",3
"paratype of ammotrophus cyclius",3
"paratype of amphibolurus darlingtoni",3
"paratype of amphidromus versicolor higginsi",3
"paratype of amphiodia ancistrota",3
"paratype of amphiodia euryaspis",3
"paratype of amphiophiura oedignatha",3
"paratype of amphipholizona delicata",3
"paratype of amphisbaena fuliginosa amazonica",3
"paratype of amphiura bidentata",3
"paratype of amphiura euopla",3
"paratype of amphiura phrixa",3
"paratype of amphiura trachydisca",3
"paratype of ampullaria miamiensis",3
"paratype of anacanthobatis americanus",3
"paratype of ancistrocerus (parancistrocerus) lutzi",3
"paratype of ancylocranium barkeri newalae",3
"paratype of anelosimus analyticus",3
"paratype of anelosimus lorenzo",3
"paratype of anelosimus magallanes",3
"paratype of anniella campi",3
"paratype of annulipulsellum euzkadii",3
"paratype of anochetus kempfi",3
"paratype of anochetus tua",3
"paratype of anolis bahorucoensis",3
"paratype of anolis baleatus sublimis",3
"paratype of anolis cupreus spilomelas",3
"paratype of anolis distichus ravitergum",3
"paratype of anolis lineatopus neckeri",3
"paratype of anolis lineatopus negrilensis",3
"paratype of anolis maculigula",3
"paratype of anolis marmoratus desirodei",3
"paratype of anolis sheplani",3
"paratype of anolis terraealtae",3
"paratype of anolis vaupesianus",3
"paratype of anomalepis aspinosus",3
"paratype of antigonia combatia",3
"paratype of antrodiaetus occultus",3
"paratype of antrodiaetus stygius",3
"paratype of apatura clytie juno",3
"paratype of aphelochaeta striata",3
"paratype of aphelolpium scitulum",3
"paratype of apollophanes crispus",3
"paratype of araneus cristobal",3
"paratype of araneus dreisbachi",3
"paratype of araneus iguacu",3
"paratype of araneus mendoza",3
"paratype of arctonoe lia",3
"paratype of arenobulimina chapmani",3
"paratype of argynnis aglaja montesignum",3
"paratype of aspatharia flava",3
"paratype of aspididris militaris",3
"paratype of asterina lutea",3
"paratype of astronesthes haplophos",3
"paratype of astronesthes lamellosus",3
"paratype of astropecten leptus",3
"paratype of atelopus cruciger vogti",3
"paratype of atelopus varius zeteki",3
"paratype of aulocystis incrustans| paratype of romingeria incrustans",3
"paratype of baeomorpha distincta",3
"paratype of balanophyllia dineta",3
"paratype of balanus (conopea) merrilli",3
"paratype of bankia canalis",3
"paratype of bathyclupea schroederi",3
"paratype of batrachylodes gigas",3
"paratype of bertrana vella",3
"paratype of blera confusa",3
"paratype of bohemilla stupenda",3
"paratype of bolivina advena",3
"paratype of boulengerula changamwensis",3
"paratype of brachylophus vitiensis",3
"paratype of brachymeles gracilis taylori",3
"paratype of bubophilus ascalaphus",3
"paratype of bufo bufo wrighti",3
"paratype of bufo camerunensis camerunensis| additional material of bufo camerunensis camerunensis",3
"paratype of bufo gundlachi",3
"paratype of bufo urunguensis",3
"paratype of bulimus (parabithynia) tanganikanus",3
"paratype of bumastus xestos",3
"paratype of caeculus americanus",3
"paratype of cairibolus antonianus",3
"paratype of calisto grannus",3
"paratype of calisto smintheus muripetens",3
"paratype of callionymus himantophorus",3
"paratype of callisaurus ventralis myurus",3
"paratype of calophyllum (tetralasma) micron",3
"paratype of calotes chincollium",3
"paratype of candoia carinata paulsoni",3
"paratype of carabella banksi",3
"paratype of carelia glossema",3
"paratype of catillicephala fowleri",3
"paratype of celestus delasagra nigropunctata| additional material of celestus delasagra nigropunctata",3
"paratype of cepedea acuta",3
"paratype of ceratobranchia binghami",3
"paratype of cerberus rynchops novaeguineae",3
"paratype of cerion banesense",3
"paratype of cerion bermudezi",3
"paratype of cerion caminus",3
"paratype of cerion cisnerosi",3
"paratype of cerion ericksoni",3
"paratype of cerion fordii",3
"paratype of cerion laureani",3
"paratype of cerion peracutum",3
"paratype of cerion ricardi",3
"paratype of cerion (strophiops) platei",3
"paratype of cerion utowana abbotti| voucher of cerion (strophiops) utowana abbotti",3
"paratype of chaetacis carimagua",3
"paratype of chaetoderma attenuatum",3
"paratype of chaetoderma eruditum",3
"paratype of chaetozone anasima",3
"paratype of chapoda panamana",3
"paratype of chiropterotriton chondrostega terrestris",3
"paratype of chiton fosteri",3
"paratype of chlorophthalmus brasiliensis",3
"paratype of chrosiothes jamaicensis",3
"paratype of chrysichthys helicophagus",3
"paratype of chrysometa allija",3
"paratype of chrysometa cuenca",3
"paratype of chrysops chiriquensis",3
"paratype of chrysotus flavimaculatus",3
"paratype of cichlasoma orientale",3
"paratype of circeaster occidentalis",3
"paratype of clubiona quebecana",3
"paratype of clypeaster cyclopilus",3
"paratype of clypeosectus delectus",3
"paratype of cnemaspis africanus elgonensis| additional material of cnemaspis africanus elgonensis",3
"paratype of cnemidophorus lemniscatus gaigei| additional material of cnemidophorus lemniscatus gaigei",3
"paratype of cnemidophorus sacki griseocephalus",3
"paratype of cobanus seclusus",3
"paratype of cochliopa picta",3
"paratype of cochliopa riograndensis",3
"paratype of coelambus thermarum",3
"paratype of coleonyx variegatus slevini",3
"paratype of coleonyx variegatus sonoriensis",3
"paratype of colobodactylus dalcyanus",3
"paratype of colostethus poecilonotus",3
"paratype of conchopeltis alternata| voucher of conchopeltis alternata| voucher of conchopeltis alternata",3
"paratype of conocladus amblyconus",3
"paratype of conus spurius atlanticus",3
"paratype of coronella semiornata fuscorosea",3
"paratype of cribrella antillarum",3
"paratype of crocodylus palustris kimbula",3
"paratype of cryptophyllus simpsoni",3
"paratype of cryptops sulciceps",3
"paratype of crystallopsis rennellensis",3
"paratype of ctenus vernalis",3
"paratype of cubodesmus prominens",3
"paratype of curicaberis granada",3
"paratype of curimatopsis crypticus",3
"paratype of curvella langi",3
"paratype of cybaeus cascadius",3
"paratype of cyclostoma proximum",3
"paratype of cylindrella greyana",3
"paratype of cylindrella pygmaea",3
"paratype of cymatium rubeculum occidentale",3
"paratype of cyrtaphe domingensis",3
"paratype of cyrtodactylus derongo",3
"paratype of dendryphantes zygoballoides",3
"paratype of diaphana vedelsbyae",3
"paratype of diaporus barroensis",3
"paratype of dicrolene nigra",3
"paratype of dictyna cuesta",3
"paratype of dictyna donaldi",3
"paratype of dictyna mians",3
"paratype of diechomma pretiosum",3
"paratype of dinematocricus leucopleurus",3
"paratype of dipalta banksi",3
"paratype of dipoena donaldi",3
"paratype of dipoena jamesi",3
"paratype of dolichopus affluens",3
"paratype of donax atlantis",3
"paratype of dorothia arenata",3
"paratype of douglassia bealiana",3
"paratype of drassyllus fallens",3
"paratype of dysderina craneae",3
"paratype of dysderina seclusa| paratype of dysderina seclusa",3
"paratype of dysichthys amazonicus",3
"paratype of ebo bucklei",3
"paratype of ectoptyx labasanus",3
"paratype of elaeomyrmex coloradensis",3
"paratype of eleutherodactylus darlingtoni| additional material of eleutherodactylus darlingtoni",3
"paratype of eleutherodactylus eunaster",3
"paratype of eleutherodactylus jasperi",3
"paratype of eleutherodactylus ricordii rogersi",3
"paratype of eleutherodactylus schmidti limbensis",3
"paratype of emoda najazaensis",3
"paratype of emoia aenea",3
"paratype of emoia schmidti",3
"paratype of emoia werneri",3
"paratype of endoxocrinus prionodes",3
"paratype? of entalina rosewateri",3
"paratype of eoorthis bigsbyi",3
"paratype of epicrates striatus ailurus",3
"paratype of epigonus pectinifer",3
"paratype of epinannolene biseriatus",3
"paratype of epipocus unicolor",3
"paratype of erebia zapateri var. castiliana",3
"paratype of erigone dipona",3
"paratype of etmopterus virens",3
"paratype of eumesosoma arnetti",3
"paratype of euryopis pickardi",3
"paratype of eurypelma tamaulipeca",3
"paratype of eustala maxima",3
"paratype of eustala mexicana",3
"paratype of eustala sedula",3
"paratype of eustomias hypopsilus",3
"paratype of eutudora camoensis",3
"paratype of evermannella megalops",3
"paratype of evotomys proteus",3
"paratype of fangensis insulanus",3
"paratype of fiber zibethicus aquilonius",3
"paratype of ficus carolae",3
"paratype of fijiodesmus suprenans",3
"paratype of fissiscapus pusillus",3
"paratype? of florenciella lugubris",3
"paratype of fontaria lampra",3
"paratype of formica gynocrates",3
"paratype of garrina ochrus",3
"paratype of gea eff",3
"paratype of gehyra nana",3
"paratype of gehyra oceanica",3
"paratype of gerrhosaurus flavigularis",3
"paratype of girella nebulosa",3
"paratype of gobiosoma (elacatinus) illecebrosum",3
"paratype of gogia guntheri",3
"paratype of gomphoceras wabashensis| voucher of gomphoceras wabashensis",3
"paratype of gonimaretia tylota",3
"paratype of goniobasis tortulosa",3
"paratype of gyrinophilus palleucus gulolineatus",3
"paratype of haemaphysalis lemuris",3
"paratype of haemaphysalis papuana var. nadchatrami",3
"paratype of helicina hirsuta",3
"paratype of heliconius charitonius bassleri",3
"paratype of hemiargus bornoi",3
"paratype of hemiargus catalina thomasi",3
"paratype of hemieuryale tuberculosa",3
"paratype of hemilexis jessei",3
"paratype of hentzia calypso",3
"paratype of hentzia chekika",3
"paratype of herpyllus scholasticus",3
"paratype of hesperia cirsii fabressei fo. martorelli",3
"paratype of hexameroceras cacabiforme| voucher of hexameroceras cacabiforme",3
"paratype of hexameroceras cacabiformis",3
"paratype of hipposideros erigens",3
"paratype of hobbseus orconectoides| additional material of hobbseus orconectoides",3
"paratype of holepyris graminis",3
"paratype of homalometa chiriqui",3
"paratype of hoplophryne rogersi",3
"paratype of huanghoceras collinum| voucher of pleuronautilus collinum",3
"paratype of hydroporus quadrimaculatus",3
"paratype of hyperolius marmoratus pyrrhodictyon",3
"paratype of hyperolius parkeri parkeri",3
"paratype of hypopachus championi",3
"paratype of ichthyophis glandulosus",3
"paratype of intornites nevadanus| paratype of longobarites nevadanus",3
"paratype of iowaphyllum knotti| paratype of strombodes knotti",3
"paratype of iridomyrmex florissantius",3
"paratype of jeanneretia parraiana",3
"paratype of karreriella halkyardi",3
"paratype of ketophyllum intertrium| paratype of omphyma verrucosa",3
"paratype of kleptochthonius hageni",3
"paratype of labeo henshawi",3
"paratype of lacerta taurica gaigeae| additional material of lacerta taurica gaigeae",3
"paratype of lamellaria koto",3
"paratype of laminella depicta kamaloensis",3
"paratype of lamprologus tigripictilis",3
"paratype of lampropeltis polyzona blanchardi| additional material of lampropeltis polyzona blanchardi",3
"paratype of lampropholis delicata",3
"paratype of lankascincus deraniyagalae",3
"paratype of lasius xerophilus",3
"paratype of leimadophis andreae orientalis",3
"paratype of leiobienvillia laevigata",3
"paratype of leiocephalus arenarius aphretor",3
"paratype of leiocephalus personatus louisae",3
"paratype of leiocephalus personatus poikilometes",3
"paratype of lepetodrilus elevatus elevatus",3
"paratype of lepidocentrus eifelianus| voucher of lepidocentrus eifelianus| voucher of lepidocentrus eifelianus",3
"paratype of lepidophyma gaigeae",3
"paratype of leptachatina lanaiensis",3
"paratype of leptoconops primaevus",3
"paratype of leptodactylus anceps",3
"paratype of leptodactylus darlingtoni| paratype of eleutherodactylus jugans",3
"paratype of leptodesmus (chonaphe) elrodi",3
"paratype of leptogenys sagaris",3
"paratype of leptopelis bequaerti",3
"paratype of leptopelis fiziensis",3
"paratype of leptopelis ocellatus schitzi",3
"paratype of lepus paludicola",3
"paratype of lepus sylvaticus alacer",3
"paratype of letheobia swahilica",3
"paratype of leucauge spiculosa",3
"paratype of liasis amethistinus kinghorni",3
"paratype of lignopholas clappi",3
"paratype of liguus fasciatus sanctispiritensis",3
"paratype of linnarssonella zoar",3
"paratype of liodes globosa bicolor",3
"paratype of liolaemus nigromaculatus copiapensis",3
"paratype of liometopum scudderi",3
"paratype of liomopterum sellardsi",3
"paratype of lithobius paitius",3
"paratype of litoporus lopez",3
"paratype of littoridina santiagensis",3
"paratype of lobiopa falli",3
"paratype of loweia alciphron insignis",3
"paratype of lucapinella limatula hassleri",3
"paratype of lucilia problematica",3
"paratype of lycoria gracilenta (statz, 1944)",3
"paratype of lycosa orinus",3
"paratype of lygodactylus grotei pakenhami",3
"paratype of lygosoma spinauris",3
"paratype of lymnaea decollata",3
"paratype of lyssomanes parki",3
"paratype of lytechinus crassus",3
"paratype of mabuya bontocensis",3
"paratype? of mabuya varia nyikae",3
"paratype of machaeraria whittingtoni",3
"paratype of macropholidus ataktolepis",3
"paratype of malacosteus australis",3
"paratype of malanophyllum texanum",3
"paratype of mangora candida",3
"paratype of mangora eberhardi",3
"paratype of mangora fortuna",3
"paratype of mangora zona",3
"paratype of manogea gaira",3
"paratype of marconia lata ruwenzoriensis",3
"paratype of marmosa fulviventer",3
"paratype of masoncus pogonophilus",3
"paratype of mastacembelus crassus",3
"paratype of maurolicus weitzmani",3
"paratype of mechanitis isthmia bolivarensis",3
"paratype of mechanitis isthmia kayei",3
"paratype of mediaster australiensis",3
"paratype of melania bicolorata",3
"paratype of melania coracina",3
"paratype of melania dolorosa",3
"paratype of melania inornata",3
"paratype of melania neglecta",3
"paratype of melania translucens",3
"paratype of melania vicina",3
"paratype of melitaea phoebe bethunebakeri",3
"paratype of mephitis spissigrada",3
"paratype of metadagnoceras tobini",3
"paratype of micrarionta brunnea",3
"paratype of micrarionta immaculata",3
"paratype of micrathena lepida| other useful citation of micrathena lepida",3
"paratype of microceramus bermudezi cienfuegosensis",3
"paratype of microlesta major",3
"paratype of micromischodus sugillatus",3
"paratype of microspirobolus belonanus",3
"paratype of microtus (eothenomys) aurora",3
"paratype of microtus (eothenomys) mucronatus",3
"paratype of micrurus affinis mayensis| additional material of micrurus affinis mayensis",3
"paratype of micrurus alleni alleni",3
"paratype of micrurus browni| additional material of micrurus browni",3
"paratype of micrurus nigrocinctus coibensis| additional material of micrurus nigrocinctus coibensis",3
"paratype of mitrella loisae",3
"paratype of moenkhausia browni",3
"paratype of monilimetra bicolor",3
"paratype of morethia obscura",3
"paratype of mormyrus cyaneus",3
"paratype of mulinia pontchartrainensis",3
"paratype of murex thompsoni",3
"paratype of myripristis earlei",3
"paratype of myrmecocystus creightoni",3
"paratype of myrmecocystus kennedyi",3
"paratype of myrmecocystus pyramicus",3
"paratype of myrmecotypus orpheus",3
"paratype of nanochromis splendens",3
"paratype of neolithobius helius",3
"paratype of neurigona banksi",3
"paratype of nolichuckia casteri",3
"paratype of notoglanidium pallidum| voucher of notoglanidium pallidum",3
"paratype of nyctimystes cheesmanae",3
"paratype of nyctimystes daymani",3
"paratype of oabius fratris",3
"paratype of oabius patonius micrus",3
"paratype of ochotona cuppes",3
"paratype of ocrepeira gulielmi",3
"paratype of ocyropsis crystallina guttata",3
"paratype of ocyropsis maculata immaculata",3
"paratype of odocoeleus virginianus louisianae",3
"paratype of oedipus barbouri",3
"paratype of oedipus bellii",3
"paratype of oedipus bromeliacia| additional material of oedipus bromeliacia",3
"paratype of oedipus engelhardti| additional material of oedipus engelhardti",3
"paratype of oedura reticulata",3
"paratype of ogcocephalus declivirostris",3
"paratype of ogcocephalus pumilus",3
"paratype of oncodoceras fusiforme| voucher of oncodoceras fusiforme",3
"paratype of oonops sativus",3
"paratype of ophiacantha adiaphora",3
"paratype of ophiacantha nerthepsila",3
"paratype of ophiacantha rhachophora",3
"paratype of ophiactis acosmeta",3
"paratype of ophiactis pteropoma",3
"paratype of ophiochaeta mixta",3
"paratype of ophiochytra tenuis",3
"paratype of ophiocten charischema",3
"paratype of ophiodoris pericalles",3
"paratype of ophiolebes diaphora",3
"paratype of ophiolepis plateia",3
"paratype of ophiolipus agassizi",3
"paratype of ophiomastix corallicola",3
"paratype of ophiomitra microphylax",3
"paratype of ophiomyxa anisacantha",3
"paratype of ophiopenia disacantha",3
"paratype of ophiophragmus ophiactoides",3
"paratype of ophiophragmus stellatus",3
"paratype of ophiothrix macrobrachia",3
"paratype of ophiothrix rhabdota",3
"paratype of ophiothrix stelligera forma atra",3
"paratype of ophiura clasta",3
"paratype of ophiura cryptolepis",3
"paratype of ophiura stiphra",3
"paratype of opisthosiphon apertum escalerasensis",3
"paratype of oppia durhamensis",3
"paratype of oreosaurus lacertus",3
"paratype of orphnaeus validus",3
"paratype? of otostigmus clavifer",3
"paratype of pachybrachis deceptor",3
"paratype of pachydactylus boehmei",3
"paratype of pachytriton xanthospilos| genetic voucher of pachytriton xanthospilos| genetic voucher of pachytriton xanthospilos",3
"paratype of paleopneustes tholoformis",3
"paratype of papuina novohibernica",3
"paratype of papyridea bayeri",3
"paratype of paracetopsis esmeraldas",3
"paratype of parajulus robustior",3
"paratype of paranepanthia rosea",3
"paratype of parapagurus foraminosus",3
"paratype of paraprososthenia brandti",3
"paratype of paraster doederleini",3
"paratype of parasterina occidentalis",3
"paratype of paratrechina austroccidua",3
"paratype of paratrechina terricola",3
"paratype of parawixia barbacoas",3
"paratype of parmaturus manis| voucher of apristurus manis",3
"paratype of partula cramptoni",3
"paratype of partulina tessellata meyeri",3
"paratype of pectiniunguis amphibius",3
"paratype of pectinura marmorata",3
"paratype of pemphicyclus laminatus",3
"paratype of penitella hopkinsi",3
"paratype of perissodus eccentricus",3
"paratype of persephonaster echinulatus",3
"paratype of persephonaster spinulosus",3
