"waterBody","reps"
"South Atlantic Ocean",2
"Southern Ocean, Straights of Magellan",2
"Strait Of Magellan",2
"Tosa Bay",2
"Western Atlantic Slope",2
"Academy Bay",1
"Arafura Sea",1
"Arctic Ocean, Baffin Bay",1
"Atlantic and Mediterranean",1
"Atlantic Ocean, Baltic Sea",1
"Atlantic Ocean, Brazilian Shelf",1
"Atlantic Ocean; Caribbean Sea",1
"Atlantic Ocean, Delaware Rise",1
"Atlantic Ocean, Gulf of Guinea",1
"Atlantic Ocean, Maine Slope",1
"Atlantic Ocean, Maryland Slope",1
"Atlantic Ocean, Massachusetts Shelf",1
"Atlantic Ocean, South, Argentine Shelf",1
"Atlantic Ocean, South Carolina Slope",1
"Atlantic Ocean, Strait Of Florida",1
"Atlantic Ocean, Virginia Rise",1
"Atlantic Ocean, Virginia Shelf",1
"Bay of Isles",1
"Beaufort Sea",1
"Bohol Sea",1
"Gulf Of California",1
"Gulf of Oran",1
"Gulf Stream",1
"Hudson Strait",1
"Huon Gulf",1
"Kavirondo Bay",1
"Ligurian Sea",1
"Malama Bay",1
"Malay Archipelago",1
"Northwest Channel",1
"Pacific Ocean, Bering Sea",1
"Pacific Ocean, Bismarck Sea",1
"Pacific Ocean, Gulf of Boni",1
"Pacific Ocean, Macassar Straights",1
"Pacific Ocean, Mexican Shelf",1
"Pacific Ocean, Philippine Sea",1
"Pacific Ocean, San Diego Bay",1
"Pacific Ocean, Sea of Okhotsk",1
"Pacific Ocean, Tuamatu Archipelago",1
"Pacific, Western",1
"Persian Gulf, Tarut Bay",1
"Port Gallant",1
"San Diego Bay",1
"Sibutu Passage",1
"Southern Ocean, Ross Sea",1
"Southern Ocean, Weddell Sea, Antarctic Sound",1
"Spencer Gulf",1
"St Andrew Bay",1
"Straits Of Yucatan",1
"Suruga Bay",1
