"typeStatus","reps"
"Syntype of Hydroporus suturalis",2
"Syntype of Hydrotea metatarsata",2
"Syntype of Hyla polytaenia",2
"Syntype of Hylocharis guianensis",2
"Syntype of Hylorana subcoerulea",2
"Syntype? of Hymenitis andreas| Paralectotype of Hymenitis andreas",2
"Syntype of Hyperolius callichromus| Additional Material of Hyperolius callichromus",2
"Syntype of Hyperolius marginatus",2
"Syntype of Hyperolius maximus",2
"Syntype of Hyperolius variabilis",2
"Syntype of Hypolimnas pithoeka fumosus",2
"Syntype of Hypostomus vaillantii",2
"Syntype of Ialtris vultuosa",2
"Syntype of Ichthyoxenus montanus",2
"Syntype of Icterus gualanensis",2
"syntype of Idiocerus goeckei Statz, 1950",2
"Syntype of Illaenus lautus",2
"Syntype of Illaenus valvulus",2
"Syntype of Inyoaster bradleyi",2
"Syntype of Ione brevicauda",2
"Syntype of Iphthimus serratus var. lewisii| Paralectotype of Iphthimus serratus var. lewisii",2
"Syntype of Isotoma nitida",2
"Syntype of Iteaphila orchestris",2
"Syntype of Ixodes latus",2
"Syntype of Iyngipicus pygmoeus clementii",2
"Syntype of Julis lucasanus",2
"Syntype of Junco hyemalis carolinensis",2
"Syntype of Kionoceras fililineatum",2
"Syntype of Laccobius ellipticus",2
"Syntype of Lachnosterna bipartita",2
"Syntype of Lacuna porrecta",2
"Syntype of Laemonema gracillipes| Voucher of Laemonema gracillipes| Voucher of Laemonema gracillipes",2
"Syntype of Laganum dyscritum",2
"Syntype of Lagopus welchi",2
"Syntype of Laminella citrina helvina",2
"Syntype of Lamprogrammus illustris| Voucher of Lamprogrammus niger",2
"Syntype of Lanivireo crassirostris",2
"Syntype of Laphria dispar",2
"Syntype of Laphria vultur",2
"Syntype of Lasius humilis",2
"Syntype of Lasius interjectus coloradensis",2
"Syntype of Lasius niger sitkaensis",2
"Syntype of Lauxania gracilipes",2
"Syntype of Lauxania manuleata",2
"Syntype of Lauxania opaca",2
"Syntype of Leda (Neilonella) corpulenta",2
"Syntype of Leda vitrea (?) var. cerata",2
"Syntype of Leiobunum speciosum",2
"Syntype of Leiodermatium ramosum",2
"Syntype of Leiolopisma austrocaledonicum festivum",2
"Syntype of Leiolopisma smithi",2
"Syntype of Leperditia armata",2
"Syntype of Lepidisis caryophyllia| Voucher of Lepidisis caryophyllia",2
"Syntype of Lepidisis longiflora| Voucher of Lepidisis longiflora",2
"Syntype of Lepidochelys kempii",2
"Syntype of Lepidonotus citrifrons",2
"Syntype of Lepidurus couesii",2
"Syntype of Leptaena raymondi",2
"Syntype of Leptochilus modestus",2
"Syntype of Leptodesmus bohlsi",2
"Syntype of Leptogaster badius",2
"Syntype of Leptomydas bequaerti",2
"Syntype of Leptomyrmex erythrocephalus var. decipiens",2
"Syntype of Leptophycis filifer",2
"Syntype of Leptothorax (Dichothorax) manni",2
"Syntype of Leptothorax muscorum var. sordidus",2
"Syntype of Leptothorax neomexicanus",2
"Syntype of Leptothorax nevadensis rudis",2
"Syntype of Leptothorax nitens var. heathii",2
"Syntype of Leptothorax obturator",2
"Syntype of Leptothorax petiolatus",2
"Syntype of Leptothorax rugatulus var. brunnescens",2
"Syntype of Leptothorax rugatulus var. mediorufus",2
"Syntype of Leptothorax terrigena",2
"Syntype of Lerema pattenii",2
"Syntype of Leucosticte tephrocotis australis",2
"Syntype of Leurocycloceras wisconsinense",2
"Syntype of Liacarus capitatus",2
"Syntype of Limenitis ursula var. albofasciata",2
"Syntype of Limnophora arcuata",2
"Syntype of Limnornis (Thryothorus) unibrunneus",2
"Syntype of Limopsis diegensis",2
"Syntype of Linaria analis",2
"Syntype of Liolaemus alticolor",2
"Syntype of Liopistha libanotica",2
"Syntype of Liopropoma longilepis",2
"Syntype of Liotia variablis microforis",2
"Syntype of Lispa nigromaculata",2
"Syntype of Lissonotus fragilis",2
"Syntype of Lithobius dopaintus",2
"Syntype of Lithobius fungiferopes",2
"Syntype of Lithobius sierravagus",2
"Syntype of Lithobius watsuitus",2
"Syntype of Lithotis rupicola",2
"Syntype of Litigorgia ramulus| Voucher of Leptogorgia ramulus",2
"Syntype of Lonchodomas sublaevis",2
"Syntype of Lordomyrma punctiventris",2
"Syntype of Loripes compressa",2
"Syntype of Loxia curvirostra tianschanica",2
"Syntype of Lucina lingualis",2
"Syntype of Luidia barbadensis",2
"Syntype of Luidia ferruginea",2
"Syntype of Lumbriconereis robusta",2
"Syntype of Lycaena ruberrothei",2
"Syntype of Lycaena theonus floridensis",2
"Syntype of Lycodes anguis| Paralectotype of Lycodes anguis",2
"Syntype of Lycodes paxilloides",2
"Syntype of Lycodes serpens",2
"syntype of Lycoria antennaria (Statz, 1944)",2
"syntype of Lycoria austera (Statz, 1944)",2
"syntype of Lycoria compta (Statz, 1944)",2
"syntype of Lycoria pennata (Statz, 1944)",2
"Syntype of Lygodactylus picturatus keniensis",2
"Syntype of Lygodactylus robustus",2
"Syntype of Lysidice notata",2
"Syntype of Lytocarpus nuttingi",2
"Syntype of Mabuya striata angolensis",2
"Syntype of Macoma yoldiformis",2
"Syntype of Macroceramus claudens",2
"Syntype of Macroceramus jeannereti",2
"Syntype of Macroceramus pictus",2
"Syntype of Macromischa flavidula",2
"Syntype of Macropneustus meneghinii| Voucher of Macropneustus meneghinii",2
"Syntype of Macrurus asper",2
"Syntype of Macrurus gracillicauda",2
"Syntype of Macrurus loricatus",2
"Syntype of Macrurus tenuicauda",2
"Syntype of Mactra marcida",2
"Syntype of Madrepora acuminata",2
"Syntype of Madrepora cytherea| Figured of Madrepora cytherea",2
"Syntype of Madrepora diffusa",2
"Syntype of Madrepora virgata| Figured of Madrepora virgata",2
"Syntype of Malthopsis erinacea| Paralectotype of Malthopsis erinacea",2
"Syntype of Malthopsis erinacea| Paralectotype of Malthopsis erinacea| Voucher of Dibranchus erinaceus",2
"Syntype of Malthopsis sparsa",2
"Syntype of Malthopsis sparsa| Paralectotype of Malthopsis sparsa| Voucher of Dibranchus sparsus",2
"Syntype of Mangilia cymella",2
"Syntype of Mangilia quadrata monocingulata",2
"Syntype of Maretia parvituberculata",2
"Syntype of Margaritana margaritifera",2
"Syntype of Margarita persica",2
"Syntype of Marginella seminula",2
"Syntype of Marginella torticula",2
"Syntype of Marginella yucatecana",2
"Syntype of Mecistocephalus breviceps",2
"Syntype of Mecistocephalus heros",2
"Syntype of Megalixalus unicolor",2
"Syntype of Megascops asio macfarlanei",2
"Syntype of Megascops asio saturatus",2
"Syntype of Megascops aspersus",2
"Syntype of Megistias isus",2
"Syntype of Melania abrupta",2
"Syntype of Melania cognata",2
"Syntype of Melania pagodiformis",2
"Syntype of Melania paucicostata",2
"Syntype of Melania paula",2
"Syntype of Melania plebejus",2
"Syntype of Melania prasinata",2
"Syntype of Melania rigida",2
"Syntype of Melania salebrosa",2
"Syntype of Melania tecta",2
"Syntype of Melania tenebrocincta",2
"Syntype of Melania valida",2
"Syntype of Melophorus ludius sulla",2
"Syntype of Melophorus pillipes",2
"Syntype of Melospiza lincolni striata",2
"Syntype of Menemerus fraternus",2
"Syntype of Meromyza punctifer",2
"Syntype of Merula atro-sericea",2
"Syntype of Merula olivatra",2
"Syntype of Merula protomomelaena yunnanensis",2
"Syntype of Mesapia peloria grayi",2
"Syntype of Metacrinus angulatus",2
"Syntype of Methonella carveri",2
"Syntype of Metriophyllum exiguum| Syntype of Aemuliophyllum exiguum| Syntype of Cyathophyllum exiguum",2
"Syntype of Micraster polygonus| Voucher of Micraster polygonus| Voucher of Micraster polygonus",2
"Syntype of Microceramus angulosus",2
"Syntype of Microceramus longus",2
"Syntype of Micropeza turcana var. ambigua",2
"Syntype of Microphiura decipiens",2
"Syntype of Microstylum galactodes",2
"Syntype of Microstylum morosum",2
"Syntype of Miersia Agassizii",2
"Syntype of Miktoniscus halophilus",2
"Syntype of Mimus bahamensis",2
"Syntype of Minla ignotincta mariae",2
"Syntype of Minunthozetes angusta",2
"Syntype of Mithrax tuberculatus",2
"Syntype of Mixonus caudalis| Voucher of Bathyonus caudalis",2
"Syntype of Moenkhausia lepidurus icae",2
"Syntype of Molge italica",2
"Syntype of Momotus yucatanensis",2
"Syntype of Monadenia fidelis minor",2
"Syntype of Monolene maculipinna",2
"Syntype of Monomorium minimum cyaneum",2
"Syntype of Monomorium minutum ergatogyna",2
"syntype of Mordella indata",2
"Syntype of Morrhua americana",2
"Syntype of Mugil lebranchus",2
"Syntype of Munida refulgens",2
"Syntype of Munidopsis quadrata",2
"Syntype of Munidopsis vicina",2
"Syntype of Muricea aspera",2
"Syntype of Muricea austera",2
"Syntype of Muricea crassa",2
"Syntype of Muricea squarrosa",2
"Syntype of Muricea tenella",2
"Syntype of Muscicapa cinnamomeiventris",2
"Syntype of Muscicapa rufula",2
"Syntype of Muscicapa (Tyrannula) vieillotioides",2
"Syntype of Myacites depressus",2
"Syntype of Myctophum aurolaternatum",2
"Syntype of Myiagra azureocapilla",2
"Syntype of Myiophonus brevirostris",2
"Syntype of Mynes geoffroyi aureodiscus",2
"Syntype of Myonera paucistriata",2
"Syntype of Myopa melanderi",2
"Syntype of Myopias tasmaniensis",2
"Syntype of Myrmarachne bidentata",2
"Syntype? of Myrmarachne piercei",2
"Syntype of Myrmecina latreillei americana",2
"Syntype of Myrmecocystus melliger mimicus",2
"Syntype of Myrmecocystus melliger mimicus var. jesuita",2
"Syntype of Myrmecocystus mexicanus mojave| Paralectotype of Myrmecocystus mexicanus mojave",2
"Syntype of Myrmecocystus mexicanus var. melanoticus",2
"Syntype of Myrmecocystus yuma var. flaviceps",2
"Syntype of Myxicola pacifica",2
"Syntype of Myxine circifrons",2
"Syntype of Myzostoma areolatum",2
"Syntype of Myzostoma cysticolum",2
"Syntype of Nacospatangus gracilis",2
"Syntype of Nampabius georgianus",2
"Syntype of Nasiterna pygmaea geelvinkiana",2
"Syntype of Natica castrensis",2
"Syntype of Nausitora messeli",2
"Syntype of Neaera jeffreysi",2
"Syntype of Neda plutella",2
"Syntype of Nemidia antillicola",2
"Syntype of Nemotelus canadensis",2
"Syntype of Nemotelus unicolor",2
"Syntype of Neoberlesia mexicana",2
"Syntype? of Neolithobius helius| Paratype? of Neolithobius helius",2
"Syntype of Neopanope pourtalesii",2
"Syntype of Neorthroblattina albolineata",2
"Syntype of Neritina amoena",2
"Syntype of Neritina dispar",2
"Syntype of Nerocila acuminata",2
"Syntype? of Nesticus suggerens",2
"Syntype of Nettelrothia crateriforme",2
"Syntype of Niltava davidi",2
"Syntype of Ninoe kinbergi",2
"Syntype of Nothrus furcatus",2
"Syntype of Nothrus rugulosus",2
"Syntype of Notocidaris gaussensis",2
"Syntype of Notomastus pallidior",2
"Syntype of Noturus marginatus",2
"Syntype of Nucleolites major| Voucher of Nucleolites major",2
"Syntype? of Nucula palaestina",2
"Syntype of Nyctiophylax marginalis| Paralectotype of Nyctiophylax marginalis",2
"Syntype of Nyssodesmus nicaraguanus",2
"Syntype of Ocenebra interfossus",2
"Syntype of Ochthedromus mundus",2
"Syntype of Oculina arbuscula",2
"Syntype of Oculina implicata",2
"Syntype of Odontomachus haematoda desertorum",2
"Syntype of Odontomyia nigrirostris",2
"Syntype of Oedipus rex",2
"Syntype of Oeneis mulla tannuola",2
"Syntype of Olivella fuscocincta",2
"Syntype of Omphalina pilsbryi",2
"Syntype of Oncomyia abbreviata",2
"Syntype of Oncopterus darwinii",2
"syntype of Oncopygius oligocaenicus Statz, 1940",2
"Syntype of Ophiacantha abnormis",2
"Syntype of Ophiacantha hirsuta",2
"Syntype of Ophiacantha marsupialis",2
"Syntype of Ophiacantha moniliformis",2
"Syntype of Ophiacantha pacifica",2
"Syntype of Ophibolus triangulus mexicanus",2
"Syntype of Ophidiaster (?) kermadecensis",2
"Syntype of Ophiernus annectens",2
"Syntype of Ophiernus vallincola",2
"Syntype of Ophiocamax polyploca",2
"Syntype of Ophiocreas carnosus",2
"Syntype of Ophiocten pacificum",2
"Syntype of Ophiocten pallidum",2
"Syntype of Ophioglypha ambigua",2
"Syntype of Ophioglypha bullata",2
"Syntype of Ophioglypha confragosa",2
"Syntype of Ophioglypha intorta",2
"Syntype of Ophioglypha ljungmani",2
"Syntype of Ophiolebes asaphes",2
"Syntype of Ophiolebes brevispina",2
"Syntype of Ophiolebes scorteus",2
"Syntype of Ophiolepis carinata",2
"Syntype of Ophiomoeris spinosa",2
"Syntype of Ophiomyxa panamensis",2
"Syntype of Ophiopeza petersi",2
"Syntype of Ophioplax Ljungmani",2
"Syntype of Ophiothela Danae",2
"Syntype of Ophiothela dividua",2
"Syntype of Ophiothrix capillaris",2
"Syntype of Ophiothrix petersi",2
"syntype of Opomyza venusta Statz, 1940",2
"Syntype of Oppia montana",2
"Syntype of Oppia spinipes",2
"Syntype of Opsebius diligens",2
"Syntype of Oreohelix strigosa var. bicolor",2
"Syntype of Oreohelix strigosa var. intersum",2
"Syntype of Oribata arborea",2
"Syntype of Oribata emarginata",2
"Syntype of Oribata longiseta",2
"Syntype of Oribata magna",2
"Syntype of Oribata moesta",2
"Syntype of Oribata robusta",2
"Syntype of Oribatella bidentata",2
"Syntype of Oribatella obesa",2
"Syntype of Oribatella signata",2
"Syntype of Oribatodes mirabilis",2
"Syntype of Orthoceras ortoni",2
"Syntype of Orthotheca cylindrica",2
"Syntype? of Orthotheca cylindrica",2
"Syntype of Orthotomus sutorius inexpectatus",2
"syntype of Oscinella dormescens Statz, 1940",2
"Syntype of Oscinis longipes",2
"Syntype of Ostraconotus spatulipes",2
"Syntype of Ostrea alicula",2
"Syntype of Ostrea lurida",2
"Syntype of Otus choliba thompsoni",2
"Syntype of Pachycheilus vallesensis",2
"Syntype of Pagellus caninus",2
"Syntype of Pagellus humilis",2
"Syntype of Paguristes triangulatus",2
"Syntype of Palaechinus gigas",2
"Syntype of Palaeopneustes cristatus",2
"Syntype of Palæobrissus Hilgardi",2
"Syntype of Paleopneustes Murrayi",2
"Syntype of Palicus faxoni",2
"Syntype of Palpelius arboreus",2
"Syntype of Paludina cincinnatiensis",2
"Syntype of Paludina nuttalliana",2
"Syntype of Pamphila artiei",2
"Syntype of Pamphila cuadrada",2
"Syntype of Pamphila cusillunia",2
"Syntype of Pamphila juba| Paralectotype of Pamphila juba",2
"Syntype of Pamphila vesana",2
"Syntype of Pamphila warreni",2
"Syntype of Panopeus tanneri",2
"Syntype of Papilio glaucus turnus ab. paupercula",2
"Syntype of Papilio machaon ab. spengeli",2
"Syntype of Papilio mencius tsinlingshani",2
"Syntype of Papuina fulakorensis",2
"Syntype of Paraclius pumilio",2
"Syntype of Paracrangon areolata",2
"Syntype of Pararchaster pectinifer",2
"Syntype of Pararchaster spinuliger",2
"Syntype of Paratrechina (Euprenolepis) nuggeti",2
"Syntype of Parechinus angulosus var. pallidus",2
"Syntype of Parnassius acco tagalangi",2
"Syntype of Parnassius actius var. ornatus",2
"Syntype of Parnassius apollo var. kricheldorffi| Paralectotype of Parnassius apollo var. kricheldorffi",2
"Syntype of Parnassius apollo var. linnei| Paralectotype of Parnassius apollo linnei",2
"Syntype of Parnassius boëdromius hohlbecki",2
"Syntype of Parnassius epaphus beiki| Syntype of Parnassius epaphus beicki",2
"Syntype of Parnassius hardwickei pundjabensis",2
"Syntype? of Parnassius hardwicki hardwicki ab. natuposterior",2
"Syntype? of Parnassius jacquemonti actinoboloides",2
"Syntype of Parnassius jacquemonti pamira",2
"Syntype of Parnassius nomion minchani| Syntype of Parnassius nomion minschani| Paralectotype of Parnassius nomion minschani",2
"Syntype of Parnassius phoebus ochotskensis",2
"Syntype of Partula mooreana",2
"Syntype of Partula nucleola",2
"Syntype of Partulina thwingi",2
"Syntype of Parus ater kuatunensis",2
"Syntype of Parus leuconotus",2
"Syntype of Parus major altarum",2
"Syntype of Parus major fohkienensis",2
"Syntype of Parus monticolus yunnanensis",2
"Syntype of Pasiphaeia cristata americana",2
"Syntype of Passerella obscura",2
"Syntype of Passer rutilans yunnanensis",2
"Syntype of Pavonia decussata",2
"Syntype of Pavonia formosa",2
"Syntype of Pavonia lata",2
"Syntype of Pecten (Pseudamussium) reticulus",2
"Syntype of Pelastoneurus laetus",2
"Syntype of Pelia rotunda",2
"Syntype of Pellorneum ruficeps vividum",2
"Syntype of Pentacrinus alternicirrus",2
"Syntype of Pentagonaster affinis",2
"Syntype of Pentagonaster ternalis",2
"Syntype? of Penthaleus bicolor",2
"Syntype of Pericera subparallelum",2
"Syntype of Perichares marmorata",2
"Syntype of Pericrocotus speciosus bakeri",2
"Syntype of Perna orientalis",2
"Syntype of Peropus roseus",2
"Syntype of Petrablattina aequa",2
"Syntype of Petrocincla leucocapilla",2
"Syntype of Petrolystra gigantea",2
"Syntype of Petronia petronia brevirostris",2
"Syntype of Petunculus pectinatus carinatus",2
"Syntype of Phalaenoptilus nuttallii nuttallii",2
"Syntype of Pheidole ampla norfolkensis",2
"Syntype of Pheidole anastasii var. johnsoni",2
"Syntype of Pheidole bambusarum",2
"Syntype of Pheidole batrachorum",2
"Syntype of Pheidole bugi",2
"Syntype of Pheidole caribbaea sloanei",2
"Syntype of Pheidole cockerelli| Paralectotype of Pheidole cockerelli",2
"Syntype of Pheidole crassicornis porcula",2
"Syntype of Pheidole crassicornis var. diversipilosa",2
"Syntype of Pheidole darlingtoni",2
"Syntype of Pheidole davisi",2
"Syntype of Pheidole diana",2
"Syntype of Pheidole emersoni",2
"Syntype of Pheidole fallax r. emiliae",2
"Syntype of Pheidole fantasia",2
"Syntype of Pheidole ghatica",2
"Syntype of Pheidole gilvescens",2
"Syntype of Pheidole gouldi",2
"Syntype of Pheidole hondurensis",2
"Syntype of Pheidole hortensis",2
"Syntype of Pheidole hyatti solitanea",2
"Syntype of Pheidole javana var. desucta",2
"Syntype of Pheidole laevivertex",2
"Syntype of Pheidole latinoda r. angustior",2
"Syntype of Pheidole lighti",2
"Syntype of Pheidole mus",2
"Syntype of Pheidole niapuana",2
"Syntype of Pheidole oregonica",2
"Syntype of Pheidole ovifer",2
"Syntype of Pheidole pilifera artemisia",2
"Syntype of Pheidole pilifera coloradensis var. neomexicana",2
"Syntype of Pheidole pyriformis",2
"Syntype of Pheidole rinae incensa",2
"Syntype of Pheidole sagana| Paralectotype of Pheidole sagana",2
"Syntype of Pheidole sauteri",2
"Syntype of Pheidole schultzei",2
"Syntype of Pheidole skwarrae",2
"Syntype of Pheidole soritis",2
"Syntype of Pheidole spadonia",2
"Syntype of Pheidole subarmata var. nassavensis",2
"Syntype of Pheidole subdentata",2
"Syntype of Pheidole tragica",2
"Syntype of Pheidole triconstricta var. laidlowi",2
"Syntype of Pheidole vafella",2
"Syntype of Pheidole vinelandica longula var. castanea",2
"Syntype of Pheidole walkeri",2
"Syntype of Pheidole wallacei",2
"Syntype of Pheidole williamsi",2
"Syntype of Pheidole wilsoni",2
"Syntype of Philautus gryllus| Additional Material of Philautus gryllus",2
"Syntype of Philophuga castanea",2
"Syntype of Pholas corticaria",2
"Syntype of Phormosoma indicum",2
"Syntype of Phrissocystis multispina",2
"syntype of Phryganea lithophila Statz, 1936",2
"Syntype of Phrynobatrachus versicolor| Additional Material of Phrynobatrachus versicolor",2
"Syntype of Phrynocephalus axillaris klemenzi",2
"Syntype of Phrynocephalus przewalskii",2
"Syntype of Phrynocephalus vlangalii vlangalii",2
"Syntype of Phyllastrea tubifex",2
"Syntype of Phylloscopus proregulus yunnanensis",2
"Syntype of Phyracaces brevis",2
"Syntype of Physiculus longipes",2
"Syntype of Phytalus debilis",2
"Syntype of Picus canus yunnanensis",2
"Syntype of Pileoma zebra",2
"Syntype of Pilumnoides Hassleri",2
"Syntype of Pinacantor vigorsii florida",2
"Syntype of Pionus melanotis",2
"Syntype of Pipilo alleni",2
"Syntype of Pipilo maculatus magnirostris",2
"Syntype of Pipiza australis",2
"Syntype of Pipra pareolides",2
"Syntype of Pipunculus cinctus",2
"Syntype of Pipunculus similis",2
"Syntype of Pityophagus rufipennis",2
"Syntype of Placostylus (Placocharis) hargravesi aukiensis",2
"Syntype of Plaesiomys brevis",2
"Syntype of Plargyrus melanocephalus",2
"Syntype of Platycercus atrogularis",2
"Syntype of Platynereis polyscalma",2
"Syntype of Platyonychus purpureus",2
"Syntype of Platypalpus discifer",2
"Syntype of Platypalpus incurvus",2
"Syntype of Platypalpus lateralis",2
"Syntype of Platypalpus mesogrammus",2
"Syntype of Platypalpus trivialis",2
"Syntype of Platyplacopus dorsalis",2
"Syntype of Platystoma parahybae| Voucher of Platystoma parahybae",2
"syntype of Plecia exigua Statz, 1943",2
"syntype of Plecia vulpina Statz, 1943",2
"Syntype of Plecostomus johnii| Paralectotype of Plecostomus johnii",2
"Syntype of Plectambonites aequistriatus",2
"Syntype of Pleurechinus hawaiiensis",2
"Syntype of Pleurechinus siamensis",2
"Syntype of Pleurotoma (albida var. ?) vibex",2
"Syntype of Pleurotoma gratula",2
"Syntype of Pleurotoma (Leucosyrinx) tenoceras",2
"Syntype of Pleurotoma verrillii",2
"Syntype of Ploas rufula",2
"Syntype of Poabius nankus",2
"Syntype of Pocadius dorsalis",2
"Syntype of Pogonomyrmex apache",2
"Syntype of Pogonomyrmex barbatus rugosus",2
"Syntype of Pogonomyrmex barbatus var. marfensis",2
"Syntype of Pogonomyrmex desertorum",2
"Syntype of Pogonomyrmex imberbiculus",2
"Syntype of Pogonomyrmex occidentalis var. utahensis",2
"Syntype of Pogonomyrmex pima",2
"Syntype of Pogonomyrmex sanctihyacinthi",2
"Syntype of Polygyra andrewsae",2
"Syntype of Polynoëlla pachylepis",2
"Syntype of Polynoe lactea",2
"Syntype? of Polyommatus castro| Paralectotype of Polyommatus castro",2
"Syntype of Polyprion knerii",2
"Syntype of Pomacentrus denegatus| Syntype of Pomacentrus denegatus",2
"Syntype of Pomotis chaetodon",2
"Syntype of Ponera inexorata",2
"Syntype of Pontaster forcipatus",2
"Syntype of Porcellana sigsbeiana",2
"Syntype of Porcellanaster pacificus",2
"Syntype of Porcellanaster waltharii",2
"Syntype of Porocidaris Sharreri",2
"Syntype of Porogadus breviceps",2
"Syntype of Poromya margarita",2
"Syntype of Porphyrops fumipennis",2
"Syntype of Potamon (Potamonautes) johnstoni unisulcatus",2
"Syntype of Potamon (Potamonautes) loveridgei",2
"Syntype of Potamon (Potamonautes) usambarae",2
"Syntype of Potamotrygon circularis",2
"Syntype of Potamotrygon signatus",2
"Syntype of Poteriocrinus angulosus| Syntype of Poteriocrinites angulosus",2
"Syntype of Poteriocrinus bursaeformis",2
"Syntype of Poteriocrinus cincinnatiensis",2
"Syntype of Poteriocrinus decadactylus",2
"Syntype? of Poteriocrinus dilatatus",2
"Syntype of Poteriocrinus dyeri",2
"Syntype of Poteriocrinus posticus",2
"Syntype of Pratincola torquata yunnanensis",2
"Syntype of Prenes hecebolus",2
"Syntype of Prenolepis bruesii",2
"Syntype of Prenolepis imparis var. arizonica",2
"Syntype of Prenolepis imparis var. pumila",2
"Syntype of Prionechinus sculptus",2
"Syntype of Pristipoma cultriferum",2
"Syntype of Pristurus carteri tuberculatus",2
"Syntype of Procambarus (Girardiella) gracilis",2
"Syntype of Progne subis hesperia",2
"Syntype of Prostherapis equatorialis",2
"Syntype of Protaster flexuosus",2
"Syntype of Psammodromus edwardsii",2
"Syntype of Psammolyce floccifera",2
"Syntype of Pselaphus longiclavus",2
"Syntype of Pseudis fusca",2
"Syntype of Pseudocryptopone swezeyi",2
"Syntype of Pseudogarypus banksi",2
"Syntype of Pseudogobio filifer",2
"Syntype of Pseudolasius bayonii",2
"Syntype of Pseudolasius myersi",2
"Syntype of Pseudomyrma championi var. affinis",2
"Syntype of Pseudophidiaster rhysus",2
"Syntype of Pseudopimelodus parahybae",2
"Syntype of Pseudoplatystoma fasciatum nigricans| Voucher of Pseudoplatystoma punctifer",2
"Syntype of Pseudorhiza thocambaui",2
"Syntype of Pseudoscarus lineolatus| Syntype of Pseudoscarus lineolatus",2
"Syntype of Pseudothelphusa jouyi",2
"Syntype of Pseudotremia cavernarum carterensis",2
"syntype of Psilomma pulchellus Statz, 1938",2
"Syntype of Psilopus comatus",2
"Syntype of Psilopus jucundus",2
"Syntype of Psilopus psittacinus",2
"Syntype of Psittacula conspicillata",2
"Syntype of Psittacula cyanopyga pallida",2
"Syntype of Psolus tuberculosus var. destituta",2
"Syntype of Pteronarcys regularis",2
"Syntype of Pteronotus tristichus",2
"Syntype of Pterophila decorus",2
"Syntype of Pupa porrecta",2
"Syntype of Pycnolampas oviformis",2
"Syntype of Pygaster costellatus| Voucher of Anorthopygus costellatus",2
"Syntype of Pyrrhula raptor",2
"Syntype of Pyrrhula ricketti",2
"Syntype of Quedius spelaceus",2
"Syntype of Rafinesquina duplistriata",2
"Syntype of Raia stabuliforis",2
"Syntype of Raja plutonia",2
"Syntype of Ramphocelus dimidiatus",2
"Syntype of Ramphocelus magnirostris",2
"Syntype of Ramphocelus venezuelensis",2
"Syntype of Rana neumanni",2
"Syntype of Rana nigricans",2
"Syntype of Rana tournieri",2
"Syntype of Ranidella signifera",2
"Syntype of Realia costata",2
"Syntype of Registoma brazieri",2
"Syntype of Rhamphomyia angustipennis",2
"Syntype of Rhamphomyia gilvipes",2
"Syntype of Rhamphomyia glabra",2
"Syntype of Rhamphomyia incompleta",2
"Syntype of Rhamphomyia nigricans",2
"Syntype of Rhamphomyia rava",2
"Syntype of Rhamphomyia unimaculata",2
"Syntype of Rhamphomyia vittata",2
"Syntype of Rhinichthys arenatus",2
"Syntype of Rhinichthys marmoratus",2
"Syntype of Rhinichthys obtusus",2
"Syntype of Rhinichthys ocella",2
"Syntype of Rhinophis drummondhayi",2
"Syntype of Rhizocrinus rawsonii",2
"Syntype of Rhodona praepedita",2
"Syntype of Rhopalothrix simoni wighti",2
"Syntype of Rhynchocidaris triplopora",2
"Syntype of Rhyncholophus pilosus",2
"Syntype of Rimella clava",2
"Syntype of Rissoa compacta",2
"Syntype of Rissoa xanthias acuticostata",2
"Syntype of Ristella beddomii",2
"Syntype of Ristella guentheri",2
"Syntype of Sacium lugubre",2
"Syntype of Sacium obscurum",2
"Syntype of Salacia gracilipes",2
"Syntype of Salenia cincta",2
"Syntype of Salmo siscowet",2
"Syntype of Saltator orenocensis",2
"Syntype of Sapromyza macula",2
"Syntype of Saraca opercularis",2
"Syntype of Sargus pourtalesii",2
"Syntype of Sarmatium faxoni",2
"Syntype of Saucropus rubella",2
"Syntype of Saucropus superbiens",2
"Syntype of Saurophagus rufipennis",2
"Syntype of Saurothera bahamensis",2
"Syntype? of Scaeorhynchus armatus",2
"Syntype of Scalaria borealis",2
"Syntype of Scaphechinus mirabilis",2
"Syntype of Scapteira lineolata",2
"Syntype of Scarites californicus",2
"Syntype of Scarus squalidus| Syntype of Scarus squalidus",2
"Syntype of Sceloporus pyrocephalus",2
"Syntype of Schizaster orbignyanus",2
"Syntype of Schizaster (Periaster) limicola",2
"Syntype of Schizocanthus fissilis",2
"Syntype of Schizophrys hilensis",2
"Syntype of Schroderoceras saemanni",2
"Syntype of Scincus scincus cucullata",2
"Syntype of Scleropogon helvolus",2
"Syntype of Scleroptilum gracile",2
"Syntype of Scolecoseps boulengeri",2
"Syntype of Scutinoblattina brongniarti",2
"Syntype of Selenops bifurcatus",2
"Syntype of Semisulcospira libertina",2
"Syntype of Sericomyrmex wheeleri",2
"Syntype of Serilophus lunatus elizabethae",2
"Syntype of Serranus apiarius",2
"Syntype of Serranus jacome| Syntype of Serranus jacome",2
"Syntype of Serranus phoebe| Syntype of Serranus phoebe",2
"Syntype of Sertularella gayi var. robusta",2
"Syntype of Sialia sialis fulva",2
"Syntype of Siboma atraria longiceps",2
"Syntype of Sicyonia affinis",2
"Syntype of Sicyonia picta",2
"Syntype of Sigibius puritanus",2
"Syntype of Sigsbeia lineata",2
