"typeStatus","reps"
"voucher of <a href=\http://arctos.database.museum/name/Nothrotheriops shastensis\>Nothrotheriops shastensis</a>, page 656 in <a href=\http://arctos.database.museum/publication/10007812\>McDonald and Morgan 2011.</a>",46
"Paratype of Anolis olssoni insulanus",45
"Paratype of Boulengerula uluguruensis",45
"Paratype of Pheidole rectispina",45
"Paratype of Phrynobatrachus alleni",45
"Syntype of Camponotus darlingtoni",45
"basis of illustration of <a href=\http://arctos.database.museum/name/Mammuthus\>Mammuthus</a> in <a href=\http://arctos.database.museum/publication/10006666\>Mann et al. 2013</a>",44
"METATYPE",44
"Paratype of Eleutherodactylus urichi euphronides",44
"Paratype of Sphaerodactylus difficilis lycauges",44
"Paratype of Sphaerodactylus macrolepis inigoi",44
"basis of illustration of <a href=\http://arctos.database.museum/name/Bison\>Bison</a> in <a href=\http://arctos.database.museum/publication/10006666\>Mann et al. 2013</a>",43
"Paratype of Anolis distichus properus",43
"Paratype of Emoia physicae purari",43
"Paratype of Heliconius charitonius ramsdeni",43
"Genetic Voucher of Anolis cybotes| Genetic Voucher of Anolis cybotes",42
"Genetic voucher of Pachytriton granulosus",42
"Paratype of Leiocephalus personatus lunatus",42
"Topotype of Loveridgea ionidesii",42
"Topotype of Zygodontomys seorsus",42
"voucher of <a href=\http://arctos.database.museum/name/Neotoma pygmaea\>Neotoma pygmaea</a>, page 564 in <a href=\http://arctos.database.museum/publication/10004544\>Harris 1984</a>",42
"Voucher of Manducus maderensis",42
"Voucher of Phrynobatrachus auritus",42
"Paratype of Agama mossambica montana",41
"Paratype of Leiocephalus schreibersi nesomorus",41
"Paratype of Mustela cicognanii mortigena",41
"Paratype of Tabanus pseudoculus",41
"Voucher of Bryograptus",41
"Voucher of Pentremites rusticus",41
"voucher of Phrynosoma douglassi, page 35 in <a href=\http://arctos.database.museum/publication/10007633\>Holman 1970</a>",41
"MORPHOTYPE",40
"Paratype of Colostethus mittermeieri",40
"voucher of <a href=\http://arctos.database.museum/name/Notiosorex harrisi\>Notiosorex harrisi</a>, page 163 in <a href=\http://arctos.database.museum/publication/10005486\>Carraway 2010</a>",40
"Voucher of Uintacrinus socialis",40
"Paratype of Eleutherodactylus cundalli",39
"Paratype of Eleutherodactylus pantoni",39
"Paratype of Euspondylus josyi",39
"Paratype of Tachys latissimus tinctus",39
"topotypes",39
"Voucher of Cryptolithus lorettensis",39
"Paralectotype of Leptodactylus validus",38
"paratype of <a href=\http://arctos.database.museum/name/Ugrunaaluk kuukpikensis\>Ugrunaaluk kuukpikensis</a> in <a href=\http://arctos.database.museum/publication/10007841\>Mori et al. 2016</a>",38
"Paratype of Eleutherodactylus greyi",38
"Paratype of Epicauta normalis",38
"Paratype of Esenbeckia illota osornoi",38
"Paratype of Liguus crenatus barbouri",38
"Paratype of Sorex personatus miscix",38
"PL-hypotype",38
"Syntype of Ithomia hamlini",38
"Topotype and Holotype",38
"Topotype of Chamaeleo fischeri fischeri",38
"voucher of <a href=\http://arctos.database.museum/name/Cynomys gunnisoni\>Cynomys gunnisoni</a>, page 36 in <a href=\http://arctos.database.museum/publication/10007624\>Goodwin 1995</a>",38
"Paratype of Anolis hendersoni ravidormitans",37
"Paratype of Anolis homolechis jubar",37
"Paratype of Emoia maculata",37
"Paratype of Eurema dina helios",37
"Paratype of Sphaerodactylus townsendi",37
"syntype of Pelopia thienemanni (Statz, 1944)",37
"Paratype of Celestus costatus oreistes",36
"Paratype of Eleutherodactylus cundalli glaucoreius",36
"Paratype of Liguus fasciatus viridis",36
"Paratype of Pheidole nebulosa",36
"Type of Geralophus lassatus",36
"Type of Tipula clauda",36
"Paratype of Ansonia longidigita longidigitata",35
"Paratype of Pheidole juniperae",35
"Paratype of Sphaerodactylus nicholsi",35
"Syntype of Arnioceras obtusiforme",35
"Syntype of Chrysemys picta marginata",35
"Syntype of Myrmica wheeleri",35
"Paratype of Anolis hendersoni dolichocephalus",34
"Paratype of Arthroleptis stenodactylus whytii",34
"Paratype of Litoria spinifera",34
"Paratype of Pheidole laselva",34
"Syntype of Ameiva aquilina",34
"basis of illustration of <a href=\http://arctos.database.museum/name/Troodon formosus\>Troodon formosus</a>, page 677 in <a href=\http://arctos.database.museum/publication/10006882\>Fiorillo and Gangloff 2001</a>",33
"Genetic voucher of Pachytriton brevipes",33
"illustrated",33
"Paratype of Epicauta polingi",33
"Paratype of Leiocephalus psammodromus mounax",33
"Paratype of Pheidole ectatommoides",33
"Paratype of Philiris sappheira manskiei",33
"Type of Palecphora communis",33
"Paratype of Anolis distichus aurifer",32
