"island","reps"
"Atka Island",34
"Pemba Island",34
"Queen Charlotte Island",34
"Samar Island",34
"San Andres",34
"Volcano Islands, Iwo Jima Island",34
"Attu Island",33
"Aunu'u Island",33
"Bering Island",33
"Cabra Island",33
"Floreana",33
"Ibiza",33
"Nelson",33
"Providencia",33
"South Georgia",33
"Tinian",33
"Cape Sable Island",32
"Great Corn",32
"Minorca",32
"Natividad",32
"Reunion Island",32
"Saint Lawrence Island",32
"Sibutu Island",32
"Vate",32
"Chatham Island",31
"Palau",31
"Cayo Mayor",30
"Cayo Menor",30
"Izu Oshima Island",30
"Panay Island",30
"Rennell Island",30
"Aristazabal Island",29
"Chichagof Island",29
"Duke of York Island",29
"Fakarava Atoll",29
"Kosrae Island",29
"Nii-jima Island",29
"Niue Island",29
"Zealand",29
"Espanola",28
"Grahams",28
"Iturup",28
"Kayak Island",28
"Labuan Island",28
"Petit Martinique Island",28
"Principe Island",28
"Rottnest",28
"Spitsbergen",28
"Baltra",27
"Catanduanes Island",27
"Chichi-jima Island",27
"Ellesmere Island",27
"Ladies",27
"Wolf Island",27
"Acklins Island",26
"Bill Of Portland Island",26
"Bird Island",26
"Campobello Island",26
"Iona Island",26
"Kisar Island",26
"Long",26
"Male Atoll",26
"Martinique",26
"Nu'utele Island",26
"Darnley Island",25
"Desecheo Island",25
"Inishvickillane Island",25
"Madre de Deus",25
"Mafia",25
"Mustique Island",25
"Smyth Island",25
"Cozumel",24
"Little Swan",24
"Lummi",24
"Balabac Island",23
"Batanes Group",23
"Liberty",23
"Praslin Island",23
"Wamar",23
"Ymer",23
"Amaknak",22
"Fergusson Island",22
"Goose Island",22
"Highbourne Cay",22
"Mayotte",22
"Palu&#39e Island",22
"Rota Island",22
"Saona Island",22
"Ambergris Cay",21
"Bonacca",21
"Dumaran Island",21
"Erromango Island",21
"Fernandina",21
"Long Cay",21
"Marchena",21
"Redonda Island",21
"Rendova Island",21
"Stratton",21
"Table Island",21
"Taylor Island",21
"Treasury Island",21
"Walrus",21
"Busuanga Island",20
"Douglas",20
"Grande Comore",20
"Great Island",20
"Ildefonso",20
"Isle of Wight",20
"Plum Island",20
"Rum Cay",20
"Aogashima Island",19
"Ascension Island",19
"Berry Islands",19
"Cavilli Island",19
"Clarion",19
"Corfu",19
"Culion Island",19
"Farallon",19
"Great Saint James Island",19
"Guam",19
"Jolo Island",19
"Polillo Island",19
"Princess Royal Island",19
"San Francisco",19
"Sombrero Island",19
"Spoon",19
"Wetar Island",19
"Avery",18
"Deception Island",18
"Deer Isle",18
"Great Wass",18
"Masbate Island",18
"Mikura-jima Island",18
"Roti Island",18
"Sicily",18
"Stage",18
"Tanaga",18
"Tawi-Tawi Island",18
"Todos Santos",18
"Volcano Islands, Kita Iwo Jima Island",18
"Wallis And Futuna",18
"Amelia",17
"Beata Island",17
"Big Pine Key",17
"Calagua Island",17
"Great Exuma",17
"Guimaras Island",17
"Hachijo-jima/Hachijo-kojima Island",17
"Inaccessible Island",17
"Mingan Island",17
"Pinzon",17
"Taveuni Island",17
"Abaiang Island",16
"Breton",16
"Coiba",16
"Dall",16
"Flake",16
"Green",16
"Green Turtle Cay",16
"Hokkaido",16
"Mactan Island",16
"Mahe Island",16
"Malo",16
"Pelee Island",16
"Raso",16
"Socorro",16
"Socotra Island",16
"Storm Island",16
"Tybee Island",16
"Bovril",15
"Capri",15
"Forrester",15
"Great Spruce Head",15
"Mare Island",15
"Moraine Cay",15
"Pinta",15
"Rapa",15
"Stage Island",15
"Staten Island",15
"St. Helena Island",15
"Yaeyama Islands, Iriomote Island",15
"Damba",14
"Elizabeth Islands",14
"Great Gull",14
"Jwycesska Island",14
"Lulu Island",14
"Mioko",14
"Misol Islands",14
"Palma",14
"Sangir Island",14
"San Martin",14
"Seven Islands",14
"Toronto Island",14
"Una-Una Island",14
"Yaeyama Islands",14
"Anjouan",13
"Capers",13
"Ginger Island",13
"Isle of Rhodes",13
"Kadavu Island",13
"Kai Kecil Island",13
"Larat Island",13
"Little Green",13
"Rossel Island",13
"South Pagai Island",13
"Tablas Island",13
"Babar",12
"Clipperton Island",12
"Conception Island",12
"Enggano Island",12
"Golo Island",12
"High Island",12
"Jaluit Atoll",12
"Kimball Island",12
"Kupreanof",12
"Little Corn",12
"Maccarthy Island",12
"Matinicus",12
"Nashawena",12
"North Bass Island",12
"Northumberland",12
"Paramushir Island",12
"Puna",12
"Santa Elena",12
"Seal",12
"Seal Island",12
"Togian Island",12
"Weepecket",12
"Andaman",11
"Cuttyhunk Island",11
"Elbow Cay",11
"Gonave Island",11
"Great Duck",11
"Great Guana Cay",11
"Hachijo-jima Island",11
"Isla La Cancora",11
"Isle Au Haut",11
"Isles of Shoals, Appledore",11
"Jupiter",11
"Lanai",11
"Morotai Island",11
"Peter Island",11
"Rabida",11
"Sardegna",11
"Sea",11
"Silhouette Island",11
"Stewart Island",11
"Swan Key",11
"Tortuga",11
"Tumble Down Dick",11
"Ugi Island",11
"Admiralty",10
"Agattu Island",10
"Alor Island",10
"Baltic Sea",10
"Barbados",10
"Coronado",10
"Edisto",10
"Errol",10
"Formosa",10
"Herald Island",10
"Isla de Ratones",10
"Janitzio",10
"Lobstick Island",10
"Majuro Atoll",10
"Misima Island",10
"Nolsoy",10
"Nomuka Island",10
"Padre",10
"Roma Island",10
"Sapelo",10
"Skopelos",10
"South Bass Island",10
"Tanna Island",10
"Tsushima Island",10
"Wake Island",10
"Wojewodzki Island",10
"Camiguin Island",9
"Farmers Cay",9
"Garden Key",9
"Grady Island",9
"Hooker Island",9
"Hurst Island",9
"Kunashir",9
"Little Kiska Island",9
"New Hanover Island",9
"Pagan Island",9
"Pasque",9
"Vanua Balavu Island",9
"Baillie Island",8
"Bancoran Island",8
"Big Island",8
"Conch Cut Cay",8
"Daphne Major",8
"Dog Island",8
"Elba",8
"Goodenough Island",8
"Gotland",8
"Iona/Lulu Island",8
"James Island",8
"Little Abaco Island",8
"Mambualau Islet",8
"Margarita",8
"Mill Island",8
"Mocha Island",8
"Murray Island",8
"Narcondam Island",8
"Pacheca",8
"Palm Island",8
"Pine Island",8
"Porcher Island",8
"Saint Simon Island",8
"Skipjack",8
"Speedwell",8
"St. Helena",8
"Sucia",8
"Swan Island",8
"Vuatom Island",8
"Wake Islands",8
"Apo Island",7
"Big Sand Cay",7
"Bulls",7
"Bunguran Island",7
"Chowiet",7
"Cobb",7
"Coffin Island",7
"Damar Island",7
"El Callo",7
"Fortune Island",7
"Gannet Rock Island",7
"Grand",7
"Great Caribou",7
