"reproductiveCondition","reps"
"fo",1
"fr & fl",1
"fr.fl",1
"fr, fr",1
"frs.",1
"frs-fl",1
"fr,st",1
"frt, bulbils",1
"frts, buda",1
"frts, flrs",1
"fruis",1
"fruit and flowers",1
"fruit (cones)",1
"fruit, flower",1
"fruit; flower",1
"Fruit, Flower",1
"Fruiting capsules.",1
"fruit nd flowers",1
"fruit or seed",1
"Fruits and Flowers",1
"fruit & seed",1
"fruits & flowers",1
"Fruits green to brown",1
"Fruits green to tan",1
"fruits & seeds",1
"fruting=late",1
"Frutis",1
"Furits",1
"gltd",1
"iamge",1
"image of frts",1
"images inf lr",1
"immature fruit",1
"immature seeds",1
"in bloom",1
"Infertile",1
"inflorescence",1
"[Inflorescence present - bhc 27 June 2012]",1
"In flower and fruit.",1
"in fruit",1
"In fruit",1
"In fruit.",1
"In stamenate",1
"Isotype",1
"late flrs",1
"leaf frags",1
"leaf portion",1
"leaves & stems",1
"leavesw",1
"lfrs",1
"lvs, fr",1
"mature fruits",1
"no specimen on sheet",1
"old flrs, frts",1
"old frts",1
"old fruit",1
"old fruiting stalk",1
"old infl.",1
"old infl, bulbil",1
"old infl, bulbils",1
"old infl, leaf",1
"one bud",1
"Ovulate strobili",1
"peduncles",1
"Petals white, stamens yellow",1
"phenology",1
"Phenology: Buds.",1
"Phenology: Vegetative.",1
"photo",1
"photos only",1
"r",1
"Rays yellow, disk black",1
"Remnants",1
"roots",1
"Roots, stems, heads",1
"Roots, stems, leaves, flowers",1
"rosette",1
"R. Taylor",1
"small flowers",1
"sporangium",1
"spore",1
"Spores",1
"srrobili",1
"stamenate",1
"staminate cone",1
"Staminate cones",1
"staminate flowers",1
"stem",1
"stems and fruit",1
"Stems, leaves, flower",1
"sterile plants",1
"st,fl",1
"st,fl,fr",1
"stobili",1
"strobilil",1
"Vegetation",1
"very early fruits",1
"With flowers",1
"With flowers.",1
"With flowers, male",1
"With fruits.",1
"with staminate cones",1
"with storbili",1
"yellow flowers",1
"young fruit",1
