"nomenclaturalCode","reps"
"tooth, molar; tooth, premolar; maxilla; premaxilla",4
"tooth, premolar; maxilla; tooth, canine",4
"unknown; exoskeleton",4
"unknown; tooth",4
"vertebra; vertebra sample",4
"bone; exoskeleton",3
"dentary; dentary",3
"dentary; maxilla",3
"dentary; maxilla; tooth",3
"dentary; tooth, canine; tooth, premolar",3
"dentary; tooth, incisor; tooth, molar",3
"dentary; tooth, molar; palate",3
"dentary; tooth; tooth, premolar",3
"dentary; tooth; tooth sample; dentary sample",3
"feather",3
"feces",3
"mandible; tooth",3
"maxilla; frontal",3
"maxilla; maxilla sample",3
"maxilla; tooth, canine; tooth, premolar; tooth, incisor",3
"maxilla; tooth, molar; tooth, premolar; tooth, incisor",3
"palate; dentary",3
"skull; skull",3
"splenial",3
"sternal",3
"tibiofibula; femur",3
"tooth, canine; dentary",3
"tooth, incisor; tooth, molar; tooth, premolar",3
"tooth; maxilla; tooth, molar",3
"tooth, molar; tooth, incisor",3
"tooth, molar; tooth, premolar; dentary; maxilla",3
"tooth; tooth, incisor",3
"zygomatic arch",3
"alisphenoid",2
"angular; angular",2
"articular; angular",2
"astragalus; calcaneum",2
"calcaneum; astragalus",2
"calcaneum; calcaneum sample",2
"carapace; pelvic girdle; long bone",2
"cone",2
"coracoid; humerus",2
"cranium; cranium sample",2
"dentary; palate; tooth",2
"dentary; tooth; maxilla",2
"dentary; tooth, premolar; tooth, canine",2
"exoccipital; exoccipital; exoccipital sample",2
"femur; femur",2
"femur; humerus",2
"femur; humerus; tibia",2
"frontal; maxilla",2
"frontal; parietal; squamosal",2
"frontal; premaxilla",2
"innominate; ischium",2
"laterosphenoid; laterosphenoid; laterosphenoid sample",2
"mandible; quadrate",2
"maxilla; maxilla",2
"maxilla; maxilla sample; maxilla sample; maxilla sample",2
"maxilla; squamosal",2
"maxilla; tooth, canine; tooth, molar; tooth, premolar",2
"maxilla; tooth, molar; tooth, premolar; premaxilla",2
"metapodial; phalanx",2
"metatarsal; femur",2
"metatarsal; metapodial",2
"nasal; nasal",2
"needle",2
"palate; tooth, molar; tooth, premolar; tooth, canine",2
"pectoral girdle",2
"plastron; carapace",2
"postorbital; postorbital",2
"predentary",2
"prefrontal; prefrontal",2
"prootic",2
"pygostyle",2
"quadratojugal; quadratojugal",2
"rib; rib",2
"rib; rib sample",2
"rostrum",2
"scapulocoracoid",2
"sediment; sediment",2
"skin",2
"skull; maxilla",2
"skull; maxilla; dentary",2
"skull; tooth, canine; tooth, incisor; tooth, premolar; tooth, molar; mandible",2
"skull; tooth; dentary",2
"skull; tooth; dentary; tooth sample",2
"skull; tooth, premolar; tooth, incisor",2
"skull; tympanic bulla",2
"squamosal; tympanic bulla",2
"stem; leaf",2
"supraoccipital; supraoccipital; supraoccipital",2
"synsacrum; innominate",2
"temporal; tympanic bulla",2
"tendon, ossified; tendon, ossified",2
"tibia; radius",2
"tibia; tibia sample; tibia sample",2
"tibiofibula; humerus",2
"tibiofibula; metatarsal",2
"tooth, carnassial",2
"tooth, incisor; maxilla",2
"tooth, incisor; tooth, canine; tooth, premolar; dentary",2
"tooth, molar; dentary; tooth, incisor; maxilla",2
"tooth, molar; maxilla; premaxilla",2
"tooth, molar; rostrum; tooth, premolar",2
"tooth, molar; tooth, premolar; tooth, incisor; maxilla",2
"tooth, premolar; palate",2
"tooth; tooth, premolar",2
"tympanic bulla; squamosal",2
"ulna; dentary",2
"ulna; humerus",2
"vertebra, atlas; vertebra, atlas sample",2
"vertebra, axis; vertebra, axis sample",2
"vertebra; long bone",2
"vertebra, lumbar; vertebra, thoracic",2
"antler; frontal",1
"astragalus; astragalus sample",1
"astragalus; radius",1
"astragalus; tooth",1
"basioccipital; basioccipital",1
"basioccipital; exoccipital",1
"basisphenoid; basisphenoid sample",1
"bone; bone; bone",1
"bone; bone sample",1
"bone; egg shell",1
"bone; tooth, premolar",1
"bone; vertebra",1
"calcaneum; astragalus; metapodial",1
"carapace; plastron; long bone",1
"carpometacarpus; metacarpal",1
"centrum, dorsal; rib; centrum, dorsal; centrum, dorsal",1
"coracoid; scapula",1
"coracoid; vertebra",1
"cranium; maxilla",1
"cranium; skeleton, postcranial",1
"cuboid; metatarsal; vertebra; innominate; calcaneum",1
"dentary; femur",1
"dentary; frontal",1
"dentary; frontal; maxilla; premaxilla",1
"dentary; frontal; premaxilla",1
"dentary; humerus; long bone",1
"dentary; maxilla; cranium; squamosal; parietal; frontal",1
"dentary; maxilla; premaxilla",1
"dentary; maxilla; tooth, molar; tooth, premolar; rib",1
"dentary; maxilla; tooth, molar; tooth, premolar; tooth, incisor",1
"dentary; metatarsal; tooth",1
"dentary; parietal; dentary",1
"dentary; parietal; frontal",1
"dentary; parietal; maxilla",1
"dentary; premaxilla; maxilla",1
"dentary; premaxilla; palate",1
"dentary; premaxilla; skeletal element; squamosal; frontal; tooth, incisor",1
"dentary; premaxilla; tooth, premolar",1
"dentary; radius",1
"dentary; skeleton; dentary sample",1
"dentary; squamosal; frontal; maxilla",1
"dentary; squamosal; maxilla",1
"dentary; tooth, canine; tooth, incisor; premaxilla",1
"dentary; tooth, canine; tooth, premolar; tooth, molar; tooth, canine sample; dentary sample",1
"dentary; tooth, incisor; tooth, molar; tooth, premolar",1
"dentary; tooth, incisor; tooth; premaxilla; frontal",1
"dentary; tooth, molar; dentary sample",1
"dentary; tooth, molar; premaxilla; maxilla",1
"dentary; tooth, molar; tooth, incisor; maxilla",1
"dentary; tooth, molar; tooth; maxilla",1
"dentary; tooth, molar; tooth, molar; tooth, premolar",1
"dentary; tooth; premaxilla",1
"dentary; tooth, premolar; maxilla",1
"dentary; tooth, premolar; tooth, molar; palate",1
"dentary; tooth; tooth, incisor",1
"dentary; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; tooth; dentary",1
"dentary; ulna; scapula",1
"dentary; ulna; tooth",1
"dentary; vertebra",1
"ectopterygoid; ectopterygoid; ectopterygoid sample",1
"egg shell; skeletal element",1
"exoskeleton; exoskeleton sample",1
"exoskeleton; sediment; tooth",1
"femur; dentary; tooth, incisor",1
"femur; humerus; radius",1
"femur; humerus; scapula",1
"femur; humerus; tooth",1
"femur; innominate; metatarsal; tibiofibula; tooth, premolar",1
"femur; metapodial; tibia; radius",1
"femur; radius; metapodial; tympanic bulla; tooth",1
"femur; skeletal element",1
"femur; tibiofibula; radius",1
"femur; tooth, molar; dentary",1
"fibula; calcaneum",1
"fibula; fibula sample",1
"foot",1
"frontal; frontal sample",1
"frontal; maxilla; squamosal",1
"frontal; tibia; radius; squamosal",1
"frontal; tooth, premolar; premaxilla; tooth, molar",1
"guard; guard",1
"hoof wall",1
"humerus; bill",1
"humerus; carpometacarpus",1
"humerus; clavicle; scapula",1
"humerus; dentary",1
"humerus; femur; phalanx; metatarsal; tarsal",1
"humerus; fibula; innominate; femur",1
"humerus; humerus",1
"humerus; humerus sample; humerus sample",1
"humerus; innominate; tibia; tooth",1
"humerus; maxilla",1
"humerus; metatarsal; tibia",1
"humerus; phalanx",1
"humerus; plastron",1
"humerus; premaxilla; zygomatic arch; tooth, premolar; mastoid",1
"humerus; tooth; ulna",1
"humerus; vertebra; ulna; coracoid; radius; scapula; synsacrum; rib; innominate",1
"ilium; femur; rib; vertebra; fibula; tibia",1
"ilium; vertebra, axis",1
"incus",1
"innominate; dentary",1
"innominate; femur",1
"innominate; humerus",1
"innominate; innominate",1
"innominate; long bone",1
"innominate; rib; rib",1
"innominate; sacrum",1
"innominate; synsacrum",1
"innominate; tibia",1
"ischium; pubis; femur",1
"jugal; jugal",1
"jugal; jugal; jugal sample",1
"lacrimal; lacrimal",1
"lacrimal; lacrimal sample",1
"lacrimal; malar",1
"lithified wood; exoskeleton",1
"long bone; carapace",1
"long bone; dentary",1
"long bone; femur",1
"long bone; long bone",1
"long bone; long bone sample",1
"long bone; metapodial; calcaneum",1
"lunar; astragalus; magnum",1
"magnum; trapezoid",1
"malar",1
"mandible; angular",1
"mandible; humerus",1
"mandible; tooth, incisor; tooth, molar; tooth, premolar; tooth, canine",1
"mandible; tooth, molar; tooth, premolar",1
"manus",1
"mastoid",1
"mastoid; parietal; frontal",1
"maxilla; humerus",1
"maxilla; maxilla; maxilla sample",1
"maxilla; parietal; tooth, molar; tooth, premolar",1
"maxilla; squamosal; frontal; parietal",1
"maxilla; tooth; dentary; humerus",1
"maxilla; tooth; maxilla sample; maxilla sample",1
"maxilla; tooth, molar; maxilla",1
"maxilla; tooth, molar; premaxilla",1
"maxilla; tooth, molar; tooth, canine",1
"maxilla; tooth, molar; tooth, canine; tooth, incisor",1
"maxilla; tooth, premolar; palate",1
"maxilla; tooth, premolar; tooth, canine",1
"maxilla; tooth, premolar; tooth, molar",1
"maxilla; tooth, premolar; tooth, molar; tooth, premolar",1
"maxilla; tooth; tooth, molar; tooth, premolar",1
"maxilla; tooth; tooth sample; maxilla sample",1
"metacarpal; metacarpal sample; metacarpal sample",1
"metapodial; tibia",1
"metatarsal; femur; metatarsal; metatarsal; calcaneum; tibia; bone; calcaneum; phalanx; tibia; femur; phalanx",1
"metatarsal; humerus",1
"metatarsal; metacarpal",1
"metatarsal; metacarpal; phalanx",1
"metatarsal; metatarsal sample; metatarsal sample",1
"metatarsal; phalanx; ulna",1
"nasal; frontal",1
