"nomenclaturalCode","reps"
"unknown; unknown; unknown; unknown; unknown; unknown; unknown",1
"unknown; unknown; unknown; unknown; unknown; unknown; unknown; unknown; unknown; unknown; unknown",1
"vertebra, atlas; vertebra; vertebra, axis",1
"vertebra, caudal; neural arch",1
"vertebra, cervical; metapodial; innominate",1
"vertebra, lumbar; femur",1
"vertebra, lumbar; pelvic girdle; sacrum",1
"vertebra, lumbar; sacrum",1
"vertebra, lumbar; vertebra, lumbar",1
"vertebra; skeletal element",1
"vertebra, thoracic; calcaneum; dentary; tooth, incisor",1
"vertebra, thoracic; tibia; calcaneum; metapodial; vertebra, axis; vertebra, cervical; pelvic girdle; femur; radioulna; sacrum",1
"vertebra, thoracic; vertebra, thoracic",1
"vertebra; vertebra",1
"vomer; vomer",1
"zygomatic arch; femur; vertebra; metatarsal; radius",1
