"scientificNameAuthorship","reps"
"Enzmann, J., 1947",1127
"Gmelin, 1789",1123
"(Muller, 1774)",1118
"Forel, 1893",1115
"Matthew",1109
"(Blackburn 1888)",1107
"Duellman, 1969",1106
"Lochman",1103
"Perkins 2007",1091
"Laurenti, 1768",1087
"(Reinhardt, 1837)",1080
"Miller",1078
"Cockerell",1071
"Dunbar",1071
"(J. K. Townsend, 1837)",1058
"(Swainson, 1832)",1058
"Carpenter",1055
"(Leidy)",1052
"Brady",1051
"(Nichols & Mowbray)",1050
"Hwass \in\ Bruguiere, 1792",1049
"Wheeler, W.M., 1915",1048
"Fontaine",1043
"Grinnell",1043
"(J. R. Forster, 1772)",1039
"(Günther, 1878)",1034
"Reuss",1034
"Lam",1033
"Cope, 1861",1032
"Mayr, 1884",1028
"Moll, 1935",1026
"(Hall, 1843)",1021
"(Jordan and Williams, 1895)",1019
"(Bonnaterre, 1789)",1018
"Forel, 1886",1018
"(Keyserling, 1887)",1018
"Brongniart",1007
"(Wilckens, 1769)",1002
"Pfeiffer",996
"Sarle",996
"(Schlotheim)",994
"Marsh",991
"Clark",990
"Latreille, 1802",976
"Wright, 1864",976
"Duméril and Bibron, 1841",968
"Kampen, 1913",963
"(Quatrefages, 1849)",960
"(Walbaum, 1792)",956
"(Roemer)",955
"Sellards",948
"(Vieillot, 1817)",947
"(Barbour and Loveridge, 1929)",946
"Woodring",944
"Scudder",941
"(Godart, [1824])",940
"(Parker, 1936)",937
"(Roding, 1798)",934
"(Sauvage, 1879)",929
"Weaver, 1912",928
"(Esmark, 1871)",925
"Rve.",923
"Say, 1824",923
"Keyserling",917
"(Smith, 1849)",917
"(Zugmayer, 1911)",916
"(Müller, 1774)",915
"(Wagler, 1829)",915
"Carpenter, 1864",912
"Schepman, 1919",912
"(Meyer, 1874)",911
"Mertens, 1939",904
"(Lightfoot, 1786)",890
"Scudder 1890",890
"Schlotheim",887
"Bruguiére, 1789",883
"Davis",883
"(Hall, 1858)",883
"Rathbun",883
"(Cope, 1862)",882
"(Parr, 1928)",882
"Billings, 1861",881
"Nicholls, 1949",881
"(Lowe, 1839)",880
"Wheeler, W.M., 1917",880
"Parr, 1928",875
"S. F. Baird, 1858",869
"Bangs, 1898",868
"Valenciennes, 1849",867
"(Muller, 1776)",866
"Bangs, 1896",865
"(Walbaum)",865
"Weaver & Palmer, 1922",865
"(Bartsch, 1908)",860
"(Carpenter, 1864)",860
"Morton",855
"(Weaver), 1916",855
"(Greer and Parker, 1974)",853
"Banks, 1892",851
"Landman & Waage",850
"Sby",849
"Perkins 2014",847
"(Johnson, 1890)",845
"(Born, 1778)",842
"Marsh, 1873",841
"(Tyler, 1968)",838
"Kerr, 1792",833
"Rafinesque",832
"(James)",831
"(Lichtenstein, 1823)",830
"Bartsch",829
"(Bechstein, 1798)",829
"(Billings, 1865)",828
"Sby.",827
"Roger, 1863",826
"Tschudi, 1838",826
"(Emerton, 1885)",824
"(Keyserling, 1877)",823
"Emerton",820
"(Smith, 1853)",819
"Mayr, 1855",818
"Stanton",816
"Douglass",815
"Hay",813
"(Waagen)",813
"Lamarck, 1799",811
"d'Orbigny, 1853",807
"(Mayr)",805
"Wood",803
"Barnes",799
"(Brauer, 1906)",799
"Harlan",799
"Harris",799
"von Sternberg",797
"Regan and Trewavas, 1929",795
"Roemer",795
"Cooke",793
"Bermudez",786
"(De Geer)",786
"(Evans & Shumard)",784
"(Montagu, 1803)",781
"Stimpson",780
"Wilson, 1955",780
"Pilsbry",779
"Van Boskirk",779
"Richardson, 1848",778
"(Linnaeus, 1771)",777
"Morton, 1836",777
"Raymond",777
"Vieillot, 1819",777
"(Gapper, 1830)",776
"Stejneger, 1904",776
"Zwick 1977",776
"Lutken 1892",770
"Say, 1829",770
"Brown and Myers, 1949",768
"Lamarck, 1818",768
"Johnson et al.",767
"Risso, 1826",766
"(Marcou)",763
"Phil.",762
"(Bruguiere, 1789)",760
"(Vieillot, 1819)",759
"Cuvier, 1816",758
"Wheeler, W.M., 1906",757
"LeConte 1852",756
"(Hall & Whitfield)",755
"Wheeler",752
"(Cuvier, 1829)",751
"(Cramer, [1775])",749
"(Brongniart)",748
"Arnold",746
"Chamberlin",745
"Röding, 1798",745
"Fedorowski",742
"Prime",739
"(Schneider, 1799)",739
"(Santschi, 1936)",738
"Fabricius, 1804",737
"(Whitfield)",737
"(LeConte, 1825)",736
"(Marsh)",736
"Gulick",735
"(Peters, 1877)",735
"Cope, 1869",733
"Desh.",733
"(Norwood & Pratten)",732
"(Poll, 1953)",732
"Viereck, 1903",731
"Carpenter 1930",730
"Binney",729
"Hall, 1847",727
"Olsson",725
"(Nafpaktitis and Nafpaktitis, 1969)",723
"(Cramer, 1780)",721
"(Conrad, 1831)",720
"(White)",720
"Wheeler, W.M., 1912",719
"Twenhofel",718
"(Drury, 1773)",715
"Goode & Bean, 1896",714
"Mansfield",712
"(Boettger, 1892)",710
"Chamberlin, 1922",710
"Gould, 1841",709
"(Ulrich & Bassler)",704
"(White, 1790)",703
"(Deane 1931)",702
"(Peters and Doria, 1878)",702
"Forel, 1892",701
"Gazin",701
"(Fabricius, 1787)",697
"(Miller)",696
"Loeblich & Tappan",695
"Ward, 1898",695
"Godart, 1819",692
"(Risso, 1810)",692
"(Goldfuss)",691
"(Duméril and Bibron, 1836)",690
"Mayr, 1886",690
"(d'Orbigny, 1826)",689
"(Thorell, 1856)",687
"Say 1917",686
"Kier",685
"Tilley and Mahoney, 1996",685
"Newcomb, 1854",684
"(Dalman, 1827)",682
"(Schlegel, 1837)",680
"Buckley, 1866",679
"(Conrad), 1849",676
"Bonaparte, 1838",675
"Gordon",675
"Mor.",675
"Edwards & Haime",674
"Brauer, 1902",672
"Latham, 1790",672
"(Robertson)",672
"(Conrad, 1834)",668
"(Shumard, 1855)",667
"(Boisduval, 1836)",666
"Broc.",666
"(Dall)",666
"(Laurenti, 1768)",666
"Dunbar & Condra, 1932",664
"(Lamarck)",664
"(Peters, 1854)",664
"Lamarck, 1822",661
"(Cramer, [1777])",659
"(Gunther)",659
"Cushman & Todd",657
"(Gould)",657
"(Mitchill, 1818)",657
"Baird, 1858",656
"(Jerdon, 1851)",656
"(Blyth, 1842)",655
"Merriam",655
"(Gilbert 1913)",654
"Mull",654
"(Rossmassler, 1836)",654
"(Baird and Girard, 1852)",653
"Bonaparte, 1840",653
"Foreman",653
"(Gould, 1841)",653
"LeConte, 1825",651
"(Leidy, 1848)",650
"(Forster, 1772)",649
"Flower",648
"(Grose-Smith, l894)",648
"(Cramer, [1779])",647
"(Lesson, 1829)",647
"Boisduval, 1832",646
"Ridgway, 1887",646
"(Gray, 1831)",645
"(Lesueur, 1817)",644
"Garman, 1899",643
"(Walsh, 1863)",643
"WARTHIN",643
"Brauer, 1906",639
"Ulrich et al.",639
"Jespersen and Tåning, 1926",636
"(Sowerby, 1839)",636
"Ridgway, 1885",634
"T.",633
"Thompson",632
"(Bonaparte, 1850)",631
"Wang",631
