"scientificNameAuthorship","reps"
"C. & R. Felder, 1864",48
"Cushman & Kleinpell 1934",48
"da Costa",48
"Dall, 1902",48
"Des?",48
"D'Orbigny, 1840",48
"(Esper, 1781)",48
"Faxon, 1884",48
"Ferr.",48
"(Finlay)",48
"(Finlay, 1939)",48
"(F.O.P.-Cambridge, 1901)",48
"(Fornasini)",48
"(Forster, 1844)",48
"Gazin, 1956",48
"(Gmelin), 1791",48
"Gould 1846",48
"Gray, 1857",48
"Griscom, 1934",48
"(Hallowell, 1854)",48
"(Hartlaub, 1844)",48
"Hertlein",48
"H.L. Clark, 1941",48
"(Horn 1872)",48
"Howell & Duncan",48
"Hwass 1792",48
"Johnson & Kaska",48
"(Jordan and Gilbert, 1880)",48
"Keyserling, 1887",48
"Kuroda",48
"Latreille",48
"(Lawrence, 1874)",48
"(Linnaeus, 1760)",48
"L. Pfeiffer, 1821",48
"Lutz, 1925",48
"Lydekker, 1888",48
"Marsh, 1876",48
"(Mattoni, [1966])",48
"(Menke, 1843)",48
"Michelin",48
"Michener 1942",48
"(Middendorff)",48
"Mlldf.",48
"Muma",48
"Munroe",48
"(Oberholser, 1918)",48
"Peale, 1848",48
"(Pelzeln, 1868)",48
"(Pfeiffer, 1858)",48
"Phillips, 1836",48
"Resser in McKee & Resser",48
"Rhoads, 1893",48
"(Roelofs)",48
"Saul",48
"(Schmidt)",48
"Simonetta",48
"(Springer)",48
"(Taczanowski, 1871)",48
"(Taylor, 1922)",48
"(von Martens, 1868)",48
"Waterhouse & Lyell, 1912",48
"(W. H. Edwards, 1883)",48
"Yeh & Pessagno",48
"A. Agassiz, 1869",47
"(Allan)",47
"Axelrod, D.I. 1952",47
"Bagg",47
"Barbour and Shreve, 1937",47
"Billings, 1860",47
"(Bloch, 1785)",47
"Boettger, 1892",47
"Bonnaterre, 1792",47
"Bosc.",47
"Bousquet",47
"Chamberlin & Ivie",47
"Clark & Campbell 1942",47
"Clark in Clark & Twitchell",47
"Cole, 1955",47
"CONKIN, CONKIN",47
"Connolly 1928",47
"(Coryell)",47
"Defrance",47
"(DeGeer, 1773)",47
"Denison",47
"(Desmarest, 1822)",47
"(Dixon, 1789)",47
"Duj.",47
"E. A. Smith, 1880",47
"Elles",47
"(Elliot, 1878)",47
"Flem.",47
"G. B. Sowerby I, 1834",47
"(Gervais, 1856)",47
"Gibbs, 1960",47
"Gm.",47
"(Goode and Bean, 1885)",47
"Gray, 1850",47
"Guérin-Méneville, [1831]",47
"(Guérin-Méneville, [1832])",47
"(Hartlaub, 1855)",47
"(Hewitson, 1869)",47
"(Hopffer, 1874)",47
"Jacoby 1899",47
"J. B. Lamarck, 1822",47
"(J. G. Cooper, 1861)",47
"Jordan, 1877",47
"(Köhler & McCranie, 2001)",47
"Kiener, 1841",47
"L",47
"Laubmann & Gotz, 1926",47
"Loomis, 1907",47
"Macurda",47
"(Mann, 1921)",47
"Mayr, 1876",47
"McLean, 1970",47
"(Meyer)",47
"Miller, 1898",47
"(Mitchell)",47
"Molina, 1782",47
"(Moore, 1878)",47
"(Moore, 1884)",47
"Muller, 1822",47
"M & W",47
"Newberry, 1857",47
"Oberholser, 1898",47
"Oberthür, 1879",47
"O. P.-Cambridge",47
"Owen & Shumard",47
"(Perkins 1980)",47
"Peters and Doria, 1878",47
"Pfeiffer, 1861",47
"(Plotz, 1884)",47
"(Reinhardt, 1843)",47
"Remond, 1863",47
"Ridgway, 1898",47
"Saporta",47
"Savigny, 1818",47
"(Schaus, 1902)",47
"(Schlegel, 1851)",47
"Sclater",47
"Sowerby 1834",47
"Sowerby 1835",47
"Sternberg 1825",47
"Tate, 1888",47
"(Thomas, 1897)",47
"Thorpe, 1921",47
"Tosk & Anderson",47
"(Toula)",47
"(Valenciennes, 1831)",47
"van Someren, 1957",47
"von Reuss",47
"(Wahlenberg, 1821)",47
"Wieder & Feldmann",47
"Wilckens, 1912",47
"Zhao et al., 2007",47
"(Zweifel, 1956)",47
"(Ahl, 1930)",46
"Anderson, 1929",46
"Audubon, 1835",46
"Badcock, 1982",46
"Barrande, 1865",46
"(Bates, 1868)",46
"(Bermudez)",46
"(Boettger in Mole and Urich, 1894)",46
"(Bonaparte, 1854)",46
"Bp.",46
"(Brandt, 1847)",46
"Branson",46
"Brazier",46
"Buckland",46
"(Cabanis, 1873)",46
"Carpenter 1857",46
"Caster & Kjellesvig-Waering",46
"C.B. Ads",46
"Chapman, 1923",46
"Chickering, 1971",46
"(C. L. Brehm, 1857)",46
"Comstock & Brown 1950",46
"(Conant and Lazell, 1973)",46
"(Cope, 1885)",46
"Creighton, 1934",46
"Cushman 1919",46
"Cushman 1929",46
"Cushman & Gray",46
"(Cushman & Ponton)",46
"C & V",46
"C. Zimmermann, 1869",46
"(Dana, 1846)",46
"(De Geer, 1778)",46
"Dejean, 1825",46
"(de Villalta Comella & Crusafont-Pairo, 1944)",46
"Durbin in Eigenmann, 1918",46
"(Eaton, 1876)",46
"(Elliot)",46
"Esper, 1788",46
"(Fischer, 1856)",46
"(Forster, 1773)",46
"Fruhstorfer, 1903",46
"Günther, 1860",46
"Galloway & Morrey",46
"Garden, 1821",46
"Gertsch, 1964",46
"Gidley, 1923",46
"Gordon & Pojeta",46
"(Gould, 1840)",46
"Gould, 1857",46
"Gray & Gray, 1863",46
"Grunow",46
"Gurley, 1884",46
"Haque",46
"Hayasaka",46
"Hds",46
"Jarocki, 1819",46
"(Jimenez de la Espada, 1872)",46
"Jones, 1981",46
"Joubin",46
"Keen 1943",46
"(Klug, 1836)",46
"Kroyer",46
"L., 1767",46
"(Lafresnaye, 1850)",46
"Leidy, 1850",46
"(Loven, 1846)",46
"Lynn, 1937",46
"Magginetti et al.",46
"Merian",46
"Merriam & Turner 1937",46
"M. + P.",46
"Osten Sacken 1875",46
"Parsons 1969",46
"(Pavlow)",46
"Pease, 1860",46
"Pease, 1861",46
"(Perner)",46
"(Pfeiffer, 1845)",46
"Pilsbry & Vanatta, 1895",46
"Puckett & Colin",46
"Q. & G.",46
"(Rang, 1828)",46
"(Redfield, 1841)",46
"Reeve, 1852",46
"(Reichenow, 1892)",46
"Ridgway",46
"(Ridgway, 1905)",46
"(Salvin, 1861)",46
"Santschi, 1921",46
"Santschi, 1928",46
"(Say, 1832)",46
"Say, 1834",46
"(Schomburgk, 1841)",46
"Severtsov, 1873",46
"(Shelley, 1885)",46
"(Simon, 1898)",46
"S. I. Smith, 1882",46
"Siveter & Williams",46
"(Sparrman, 1786)",46
"Stimpson, 1851",46
"Stinchcomb",46
"(Strickland, 1849)",46
"(Subbotina)",46
"Sweet",46
"(Temminck & Schlegel, 1849)",46
"Traquair, 1899",46
"(Tuomey)",46
"Turner, 1972",46
"(Werner, 1910)",46
"Whitley, 1931",46
"A. Agassiz, 1863",45
"Abe and Hotta, 1963",45
"Able, 1973",45
"A. Milne-Edwards & Bouvier, 1893",45
"Anderson & Heemstra, 1980",45
"(André, 1890)",45
"Andrews, 1901",45
"(Arnold, 1980)",45
"(Audubon, 1835)",45
"Bangs, 1906",45
"Banks 1913",45
"Bartsch, 1909",45
"(Bates, 1861)",45
"Beauvois, 1799",45
"(Berthold, 1846)",45
"(Bishop, 1896)",45
"Bishop, 1912",45
"(Blumenbach, 1799)",45
"Blumenbach, 1803",45
"(Blyth, 1847)",45
"Bors.",45
"Bowles, 1860",45
"Brown, 1943",45
"Bulman",45
"(Carpenter), 1857",45
"Carpenter 1940",45
"(C.B. Adams, 1852)",45
"(Clarke, 1961)",45
"Cockerell, 1901",45
"Conrad, 1858",45
"C. & R. Felder, 1861",45
"Cushman & Cederstrom",45
"(de Koninck, 1883)",45
"(DeLong)",45
"Dickey & Van Rossem, 1928",45
"Donovan",45
"Donovan, 1798",45
"Etherington 1931",45
"Felix & Burbridge",45
"(Fenton & Fenton)",45
"FISCHER, 1888",45
"Flower & Gordon",45
"Forster, 1961",45
"(Fuessly, 1775)",45
"(Günther, 1865)",45
"Geinitz",45
"Goss.",45
"Gray, 1870",45
"(G. R. Gray, 1845)",45
"(Griscom, 1932)",45
"Grote, 1864",45
"H. Adams and A. Adams, 1853",45
"Haldeman, 1867",45
"(Hall, 1862)",45
"(Hallowell, 1857)",45
"(H. A. Pilsbry, 1905)",45
"(Harris, 1897)",45
"Hawle & Corda, 1847",45
"Hidalgo",45
"Hodgkinson Et Al",45
"(Hopffer, 1855)",45
"(Israelsky)",45
"(J. A. Allen, 1891)",45
"Keyserling, 1886",45
"(Kiener, 1834)",45
"Kraepelin",45
"(Krauss)",45
"(Kuhl, 1817)",45
"Leidy, 1857",45
"Lowe, 1935",45
"(Lucas, 1846)",45
"Müll.",45
"Mackay, 1973",45
"Malinky",45
"Møller, 1774",45
"Masters",45
"Meek & Worthen, 1869",45
"Merrill",45
"Mitchill, 1815",45
"(Moore, 1857)",45
"Moric",45
"Newport, 1845",45
"Nomland",45
"n. sp.",45
"(Oppenheim)",45
"Orbigny 1840",45
"Osgood, 1901",45
"Packard 1922",45
"Pease, 1868",45
"Peters, 1866",45
"Pfeiffer, 1848",45
"Pilsbry, 1893",45
"Pojeta",45
"Rafinesque, 1817",45
"Rienh.",45
"Rippon, 1906",45
"Risso, 1810",45
"Salvadori, 1895",45
"Schuchert & Cooper",45
"(Sharpe, 1877)",45
"Sharp & Pilsbry in Pilsbry & Sharp, 1897",45
"(Shaw and Nodder, 1798)",45
"Silberling & Nichols",45
"Simons, 1972",45
"Smith, 1937",45
"(Smith, F., 1877)",45
"(Steindachner, 1875)",45
"(Stoll)",45
"Storer, 1845",45
"Théel, 1886",45
"Thomas, 1892",45
"(Troschel, 1852)",45
"(Van Beneden)",45
"Van Winkle, 1918",45
"von Huene, 1920",45
"Weaver 1912",45
"(Wright)",45
"A. H. Howell, 1930",44
"(Bailey)",44
"Bangs, 1918",44
"Bangs & Barbour, 1922",44
"Banks 1930",44
"Basterot",44
"Bate, 1888",44
"(Boettger, 1877)",44
"Boisduval, [1836]",44
"Brenckle et al.",44
"Burma",44
"Carpenter 1935",44
"Cassin, 1848",44
"Cassin, 1857",44
"(Chamisso & Eysenhardt, 1821)",44
"Clench & Aguayo, 1940",44
"Conrad, 1854",44
"Cooper & Kindle",44
"(Curtis)",44
"(Dall, 1897)",44
"(Deshayes, 1833)",44
"DeVries, 2005",44
"d'Orbigny, 1840",44
"(Druce, 1907)",44
"(Dyar, 1913)",44
"Emerton, 1891",44
"Emery, 1896",44
"(Eschscholtz, 1829)",44
"Fahay, 1992 (MS)",44
"(Forel, 1899)",44
"(Forel, 1915)",44
"Forskal",44
"Forster, 1795",44
"(Frembly, 1827)",44
"Frey",44
"Fruhstorfer, 1898",44
"(Günther, 1882)",44
"(Galloway & Morrey)",44
"(Gervais, 1843)",44
"G. O. Sars, 1866",44
"Hübner, [1821]",44
"Hübner, [1822]",44
"(Herrick & Johnson)",44
"Hewitson, 1866",44
"(Hofker)",44
"Horn 1874",44
"(Huckriede)",44
"Hyatt & Smith, 1905",44
"(Johnston)",44
"Kilian and Reboul, 1909",44
"King, 1931",44
"(Lamarck, 1803)",44
"Landau & daSilva, 2006",44
"(Linnaeus 1758)",44
"(Loeblich & Tappan Loeblich)",44
"Lund, 1840",44
"(Lydekker, 1877)",44
"Müller and Henle, 1837",44
"Marsh, 1888",44
"Matsumoto",44
"Matthew, 1918",44
"Meigen",44
"(Methuen, 1920)",44
"(Metzelaar, 1919)",44
"(Meyer, 1885)",44
"Moore, 1877",44
"Moore, 1899",44
"(Moreno, 1882)",44
"(Natland)",44
"(Nehring, 1898)",44
"Nilss.",44
"(Osborn)",44
"(Palmer in S�nchez Roig, 1949)",44
"Peterson, 1906",44
"(Philippi, 1845)",44
"(Raf.)",44
"(Ranzani, 1842)",44
"(Ridgway, 1888)",44
"Riedel",44
"(Romer)",44
"Sabins & Ross",44
"(Saenger, 1869)",44
"Said",44
"(Sars, 1851)",44
"Schmidt, 1862",44
"Schwarz",44
"Scudder, 1872",44
"Seegers 2008",44
"Simon, 1879",44
"Smith, 1883",44
"Smith, F., 1857",44
"Smith, M.R., 1927",44
"(Smith, M.R., 1939)",44
"(Spix & Agassiz, 1829)",44
"(Spix and Agassiz, 1829)",44
"(Stejneger, 1915)",44
"Stinchcomb & Darrough",44
"Swainson, 1825",44
"Taylor, 1952",44
"Taylor, 1965",44
"Thomas, 1906",44
"(Tomes, 1858)",44
"Torre and Bdz variety",44
"Tschudi, 1846",44
"(von Ettingshausen)",44
"(Ward, 1988)",44
"Werner, 1901",44
"(Whitfield, 1865)",44
"ALEGRET, THOMAS",43
"Arnold & Clark",43
"(Ayres, 1860)",43
"Banks 1897",43
"Bernardi",43
"Berry, 1957",43
"(Bielz, 1853)",43
"Binney, 1857",43
"Blyth, 1863",43
"Boisduval, 1869",43
"(Bourcier, 1851)",43
"(Brady, 1880)",43
"Breimer & Macurda",43
"Broderip, 1837",43
"(Burmeister, 1878)",43
"(C. Felder & R. Felder, 1865)",43
"Chapman, 1924",43
"(Cole, 1957)",43
"Collignon",43
"C.& R. Felder, 1867",43
"Cushman 1938",43
"(Defrance, 1826)",43
"(Dunker, 1846)",43
"(Edwards, 1873)",43
"Evans, B. J. et al",43
"(Forel, 1895)",43
"(Gill, 1863)",43
"Glenn",43
"Goode and Bean, 1882",43
"Grinnell, 1876",43
"Gurney, 1876",43
"(Hanna) 1923",43
"Hartert, 1912",43
"Hartert, 1913",43
"Hill & Vaughan, 1898",43
"Hoare et al. 2002",43
"Horn 1877",43
"Horn 1879",43
"Isaacson",43
"(Keferstein, 1867)",43
"Kirchner",43
"Lath.",43
"L.E. Couchman, 1949",43
"Lesueur",43
"Longacre",43
"Loven",43
"Lutkin, 1871",43
"Lyman, 1879",43
"MacLeay, 1826",43
"Marsson",43
"Meek & Worthen, 1865",43
"Melander",43
"Metcalf 1938",43
"Miller, 1894",43
"(Miller & Faber)",43
"(Moore, 1879)",43
"Nuetzel",43
"Nuttall 1930",43
"(Oberthür, 1876)",43
"Patterson",43
"(Peters, 1865)",43
"Peters, 1871",43
"Petrunkevitch, 1942",43
"Phillips & Felix",43
"Putnam, 1867",43
"Rathke 1833",43
"Reimann",43
"Rhoads, 1894",43
"Robinson",43
"Schloth.",43
"(Shreve, 1938)",43
"(Sowerby II, 1833)",43
"(Stache) 1865",43
"Stone, 1896",43
"Straneo 1951",43
"Stud.",43
"(Studer, 1820)",43
"(Szalay, 1969)",43
"(Taczanowski & Berlepsch, 1885)",43
"(Taylor, 1933)",43
"Temm.",43
"(T. J. Moore, 1859)",43
"(Trewavas, 1935)",43
"Turton and Kingston, 1830",43
"(Waterhouse, 1941)",43
"(Watson & Comstock, 1920)",43
"Weyrauch",43
"(W. H. Edwards, 1877)",43
"White, 1876",43
"(Wurmb, 1787)",43
"(Zieten)",43
"Zimmer, 1949",43
"Allman, 1877",42
"Ameghino, 1893",42
"(Baird and Girard, 1855)",42
"Banks, 1904",42
"Banks 1941",42
"Barrande, 1867",42
"Bates, 1868",42
"(Beede & Rogers, 1899)",42
"(Blainville, 1829)",42
"Blake & Zinsmeister",42
"Bowditch 1923",42
"Burckhardt",42
"Cabanis, 1860",42
"Chamberlin, 1909",42
"Champion",42
"(C. L. Brehm, 1831)",42
"(Cory, 1892)",42
"Creighton & Gregg, 1955",42
"C. & R. Felder, 1863",42
"(Dall, 1902)",42
"David",42
"Dean",42
"deKon.",42
"De Muizon",42
"Deshayes, 1863",42
"Dillwyn 1817",42
"Duchassaing & Michelotti, 1860",42
"Dunbar, 1925",42
"(Dunker, 1860)",42
"Etheridge",42
"(Euphrasen, 1788)",42
"(Gabb, 1866)",42
"(Garman, 1885)",42
"G.B. Sowerby I, 1835",42
"Gould, 1834",42
"(Gould, 1844)",42
"(Gould, 1856)",42
"(Gray, 1829)",42
"(Griscom, 1929)",42
"Guilday",42
"(Gutschick & Treckman)",42
"Hadding",42
"(Hargitt, 1881)",42
"(Harris, 1896)",42
"Hartley, 1894",42
"Hatch 1965",42
"Heer, 1861",42
"(Heine, 1863)",42
"Hend.",42
"Horn 1896",42
"Howe & Wallace 1932",42
"J. A. Allen, 1893",42
"(Jiménez de la Espada, 1872)",42
"(Johnson, 1901)",42
"Kaup, 1856",42
"Keen, 1971",42
"(Kiener, 1838)",42
"Kingsley, 1878",42
"Kullander, 1983",42
"Lacepède, 1801",42
"Lamarck 1801",42
"(Lea, 1830)",42
"(Lea, 1839)",42
"Lea, 1850",42
"Lea, 1861",42
"(Lesquereux) Brown",42
"(Lesson & DeLattre, 1839)",42
"Lucas, 1892",42
"Mann, 1922",42
"(Matsumura)",42
"(Mattoni, 1955)",42
"(Menke, 1847)",42
"Menke, 1847",42
"Michael J. Novacek 1977",42
"Miller, 1906",42
"(Milne-Edwards, 1871)",42
"Mts.",42
"(Norwood & Pratten, 1854)",42
"(Oberholser, 1896)",42
"O.P.-Cambridge",42
"P.",42
"(Pallas, 1810)",42
"Palmer 1954",42
"(Pfeiffer, 1842)",42
"Pfeiffer, 1855",42
"(Rüppell, 1840)",42
"Reeve 1846",42
"Retzius, 1788",42
"Richardson",42
"Ridgway & Baird, 1873",42
"Rogers",42
"(Rosenstock, 1885)",42
"(Rowley)",42
"Russell, 1929",42
"Sadlick & Nielsen",42
"(Schinz, 1821)",42
"(Schreber, 1775)",42
"(Sheppard, 1934)",42
"(Simon, 1897)",42
"(S.I. Smith, 1882)",42
"(Smith, 1882)",42
"Someren, 1919",42
"(Sowerby I, 1832)",42
"(Staudinger, 1887)",42
"Stauffer",42
"Stearns, 1871",42
"Steindachner, 1864",42
"(Stichel, 1910)",42
"Stoll 1782",42
"(Swinhoe, 1864)",42
"(Thunberg, 1811)",42
"(Todd, 1926)",42
"Valenciennes, 1830",42
"Verreaux, 1869",42
"Wade, 1926",42
"Ward, 1885",42
"(Waterhouse)",42
"Weaver & Palmer 1922",42
"(Wright,1924)",42
"Zheng",42
"A. Adams, 1860",41
"(Adams & Reeve)",41
"(Agassiz, 1829)",41
"Alexander & Smith",41
"Aliev",41
"Ami",41
"(Bangs, 1908)",41
"Bangs & Van Tyne, 1931",41
"(Banks, 1904)",41
"Barbour",41
"(Berry, 1960)",41
"Bishopp & Smith, 1937",41
"Boheman",41
"(Boisduval, 1875)",41
"Bosc",41
"Bosc, 1801",41
"Boul. 1898",41
"Broderip, 1836",41
"Bruguiere 1789",41
"Carp.",41
"(Carpenter MS, Dall, 1879)",41
"Carroll & Gaskill, 1978",41
"C. B. Adams, 1850",41
"Chamberlin, 1914",41
"(C. H. Townsend, 1890)",41
"Cole, 1952",41
"Cole & Bermudez",41
"(Dall, 1917)",41
"De Leon, 1965",41
"Deshayes, 1838",41
"(Deslongchamps)",41
"Dillwyn, 1817",41
"(D'Orbigny, 1846)",41
"(Drap.)",41
"(Edwards, 1861)",41
"Emerton, 1884",41
"(Esper, [1779])",41
"Fowler and Dunn, 1917",41
"(Fraser, 1840)",41
"(G.B. Sowerby II, 1838)",41
"(G. B. Sowerby II, 1879)",41
"Gidley & Gazin",41
"(Girty, 1911)",41
"G. M. Allen, 1911",41
"Gmelin, 1786",41
"Grant, 1946",41
"Gray, 1856",41
"(Gray, 1862)",41
"Gundlach, 1860",41
"(Hagenow)",41
"Hanzawa",41
"Harlan, 1826",41
"Hemph",41
"Hopffer, 1874",41
"Huddle in Huddle & Repetski",41
"Hutt.",41
"Hyatt, 1867",41
"Jago & Webers",41
"Janssens, 1967",41
"Jordan and Evermann, 1898",41
"Kay, G.",41
"Kesling & Smith, 1962",41
"Keyserling, 1880",41
"Kiaer",41
"(Krefft & Maul, 1955)",41
"(LACÉPÈDE, 1804)",41
"Lane & Ausich",41
"(Latreille, [1813])",41
"(Lawrence, 1861)",41
"(LeConte 1850)",41
"LeConte 1875",41
"(Leidy, 1855)",41
"Lepeletier",41
"Lindley & Hutton",41
"(MacGillivray)",41
"Mansfield & Lesquereux",41
"(McCoy, 1844)",41
"McEwan, 1919",41
"McLean, 1988",41
"Mello-Leitão, 1929",41
"Morelet, 1849",41
"(Nettelroth, 1889)",41
"Nichols, 1920",41
"Oberholser, 1919",41
"Oppel, 1811",41
"Owen, 1858",41
"(Owen & Shumard, 1850)",41
"(Pease, 1871)",41
"Pet.",41
"(Pettibone, 1957)",41
"Pfeiffer, 1828",41
"(Pfeiffer, 1852)",41
"(Pfeiffer, 1854)",41
"(Plummer) 1927",41
"Plusquellec & Sandberg",41
"Quatrefages, 1865",41
"Rafinesque-Schmaltz, 1820",41
"Reeve, 1854",41
"(Reichenow, 1884)",41
"(R. Felder, 1869)",41
"(Rocheburne)",41
"Ross-Jr.",41
"Rothschild, 1898",41
"Rue",41
"Sartenaer",41
"(Schultze)",41
"(Scudder 1894)",41
"Semper",41
"Silhavy, 1979",41
"Sinclair",41
"Solander \in\ Lightfoot, 1786",41
"Stejneger, 1885",41
"Stempell, 1899",41
"(Stimpson, 1855)",41
"(Subbotina, 1953)",41
"(Swainson, 1825)",41
"Swallow, 1908",41
"Thomas, 1928",41
"Townsend, 1890",41
"Trapido, 1944",41
"Uhler 1872",41
"(Unger) Bůžek & Kotlaba (1843) 1979",41
"(Van Den Bold)",41
"(Verrill, 1880)",41
"(von Buch)",41
"Weaver & Palmer",41
"Wheeler, W.M., 1923",41
"Whiteaves, 1881",41
"Whittington, 1965",41
"(Wood, 1863)",41
".",40
"Agnarsson, 2006",40
"Allen & Turner, 1974",40
"Ball",40
"Ball 1963",40
"Banks 1936",40
"Bart.",40
"Beddard, 1886",40
"Bennett, 1833",40
"Berlepsch, 1907",40
"Berry, 1931",40
"(Bleeker, 1857)",40
"Bloch, 1787",40
"Blow & Banner",40
"Bolli et al.",40
"Bolt.",40
"born",40
"Bowditch 1915",40
"Bowditch 1925",40
"(Brauer, 1902)",40
"(Brewster, 1882)",40
"Brochu, 1997",40
"(Bush, 1885)",40
"(Butler, 1875)",40
"(Calvet)",40
"(Campbell & Clark)",40
"Carleton & Olson",40
"Chamberlin, 1929",40
"Coddington, 1986",40
"Collett, 1905",40
"Cope, 1896",40
"CORYELL, MOSSMAN",40
"Davidson, 1862",40
"(De Vis, 1898)",40
"Dickerson 1913",40
"Du Bus de Gisignies, 1847",40
"(Eastman)",40
"Ellison",40
"Emry & Gawne",40
"(Esper, 1805)",40
"Fabricius, 1787",40
"(Férussac, 1824)",40
"Férussac, 1824",40
"(Fischer)",40
"Fisher",40
"F.P.-Cambridge",40
"Freminville, 1835",40
"Günther, 1874",40
"Günther, 1880",40
"Gandolfi",40
"Gill, 1859",40
"Goodyear & Gibbs, 1969",40
"(Gould, 1848)",40
"Gould, 1853",40
"(Gould, 1854)",40
"Grant & Eaton 1941",40
"(Grose-Smith & Kirby, 1896)",40
"Gunnerus, 1765",40
"(Gurney, 1863)",40
"(Hübner, 1804)",40
"(Hagen)",40
"(Hall in Hall & Whitney)",40
"Hansen",40
"Harper, 1979",40
"Hartert & Goodson, 1917",40
"(Hewitson, [1876])",40
"(Holandre, 1825)",40
"Holmer et al.",40
"(Holmes, 1859)",40
"Horsfield, 1821",40
"Hyman, 1937",40
"(Illiger, 1811)",40
"Jacoby 1904",40
"J.E. Gray, 1832",40
"(Johnston, 1832)",40
"Keferstein, 1866",40
"Kust",40
"Kutorga, 1842",40
"Lane et al.",40
"Lönnberg and Gyldenstolpe, 1925",40
"(Latreille, 1809)",40
"(Latreille, 1824)",40
"Lattke, 2011",40
"Lea, 1856",40
"(Leidy, 1856)",40
"Lichtenstein, 1823",40
"Loumont and Kobel, 1991",40
"Lucas, 1852 (1805)",40
"(Lucas, 1892)",40
"(Marsh, 1877)",40
"Marsh, 1891",40
"Mayr 1861",40
"McCoy, 1848",40
"Meade",40
"(Mello-Leitão, 1930)",40
"(Miller & Dyer)",40
"Moore, [1875]",40
"Oberthür, 1894",40
"Pennant",40
"(Peters, 1857)",40
"Philippi, 1848",40
"Phipps",40
"Pourtales, 1867",40
"Rathbun 1926",40
"(Rathke \in\ Eschscholtz, 1833)",40
"(Reagan)",40
"(Reeve, 1863)",40
"Ridgeway, 1871",40
"(Risso, 1826)",40
"Roewer, 1915",40
"Rohmer",40
"(Rothschild, 1916)",40
"Ruthven, 1917",40
"Salvin & Godman, 1883",40
"Sands, 1980",40
"Seilacher",40
"(Selenka and de Man, 1883)",40
"Sharma, 2012",40
"Stanley",40
"Stebbing, 1888",40
"Sternberg",40
"(Stevens and Boring, 1906)",40
"(Sykes, 1832)",40
"Sykes, 1832",40
"(Taczanowski, 1874)",40
"Thomas, 1909",40
"Tindale, 1953",40
"(Trewavas, 1933)",40
"(Tschudi, 1845)",40
"Verrill, 1872",40
"von Buch",40
"von Quenstedt",40
"(von Salis, 1793)",40
"Weaver, 1943",40
"Werner 1941",40
"(W. H. Edwards, 1884)",40
"Wheeler 1934",40
"Wheeler, W.M., 1927",40
"Williams and Rivero, 1965",40
"Wind & Clench, 1947",40
"(Zinken, 1831)",40
"A. Adams, 1854",39
"ABBOTT",39
"Agassiz, 1853",39
"(A H Clark, 1909)",39
"Alcock",39
"Ald.",39
"Bangs, 1913",39
"Baur, 1895",39
"Blainville, 1825",39
"(Boehlke, 1957)",39
"Bolli et al., 1957",39
"Bowsher & Strimple",39
"Brezinski",39
"(Broderip & Sowerby I, 1829)",39
"Brown, 1978",39
"(Bryant, 1943)",39
"Busanus & Hoare",39
"Bush, 1899",39
"C.",39
"(C.B. Adams, 1840)",39
"Church",39
"Ciriacks",39
"C & K",39
"Clench, 1935",39
"Clessin",39
"Cooke and Pilsbry, 1920",39
"CORYELL, ROGATZ",39
"Cushman 1923",39
"(Cushman & Schenck) 1928",39
"(Dahlbom)",39
"(Dana, 1852)",39
"Darlington 1936",39
"(de Basterot, 1825)",39
"(de Blainville, 1825)",39
"d'Orbigny 1846",39
"Du Bus, 1847",39
"(Dumeril, 1851)",39
"Edwards 1877",39
"Eigenmann, 1909",39
"F. A. A. Meyer, 1794",39
"Férussac, 1807",39
"Foerste, 1924",39
"Günther, 1877",39
"Gazin, 1955",39
"(Gilliams, 1824)",39
"Gingerich & Simons, 1977",39
"Girard, 1859  (ex. Agassizi)",39
"Girty, 1909",39
"Goode and Bean, 1879",39
"(Goode & Bean, 1881)",39
"Gray, 1849",39
"(Gray, 1865)",39
"Gray, 1867",39
"Gregorio, 1884",39
"Grote, 1874",39
"(Hahn, 1819)",39
"(Harlan, 1837)",39
"(Heinz)",39
"(Hewitson, [1853])",39
"Hitchcock, 1865",39
"(I. Lea, 1842)",39
"Imlay & Jones",39
"(Jameson, 1835)",39
"J. C. Chamberlin, 1930",39
"Knechtel",39
"(Kner, 1854)",39
"Latreille, 1789",39
"(Leidy, 1853)",39
"(Lichtenstein, 1819)",39
"Lichtenstein, 1839",39
"Lillegraven et al.",39
"(Lochman)",39
"(Loveridge, 1932)",39
"Mattson & Waren, 1977",39
"(Mawe, 1823)",39
"(Meek, 1871)",39
"Meek & Hayden, 1856",39
"(Menke)",39
"Middour in Frizzell & Middour",39
"Mitchill, 1825",39
"Morlet 1888",39
"Morris et al.",39
"(Morris & Sharpe)",39
"(Muir-Wood & Cooper)",39
"MUNSEY",39
"(Oberthür, 1886)",39
"(O. Boettger, 1883)",39
"Olsson, 1916",39
"(O. Pickard-Cambridge, 1899)",39
"Pall.",39
"P. and V.",39
"Perkins, 1979",39
"Perry 1811",39
"Pessagno & Hull",39
"Pilsbry & Ferriss, 1909",39
"Platnick & Shadab, 1978",39
"Poey, 1861",39
"Rathke, 1843",39
"(Ross & Ross)",39
"Sands, 1997",39
"Schiodte",39
"Schwartz, 1958",39
"Schweitzer",39
"(Sclater & Salvin, 1868)",39
"Shattuck",39
"Sidebottom",39
"(Smith, 1843)",39
"Stejneger",39
"(Todd & Sutton, 1936)",39
"Tripp & Evitt",39
"Ubaghs, 1941",39
