"phylum","reps"
"Corvus cryptoleucus",44
"Reithrodontomys sp.",44
"Tamias sp.",44
"Camelops hesternus",43
"Chaetognatha",43
"Lepus californicus",43
"Chrysophyta",42
"Cycadophyta",41
"Filicophyta",41
"Notiosorex sp.",41
"Scaphiopus or Spea",41
"Vulpes vulpes",41
"Invertebrate Phylum incertae sedis",40
"Progymnospermae",40
"Sciuridae sp.",40
"Sigmodon sp.",40
"Ornithopoda",39
"Sceloporus cf.",39
"Sigmodon hispidus",39
"Ugrunaaluk kuukpikensis",39
"Acila",38
"Spisula",38
"Canis latrans cf.",37
"Grus canadensis",37
"Nemertina",37
"Onychomys leucogaster",37
"Priscofusus stewarti",37
"Rotifera",37
"Troodon formosus",37
"Archaeocyathid",36
"Capromeryx sp.",36
"Geomys sp.",36
"Lepus californicus cf.",35
"Microtus longicaudus",35
"Sorex neomexicanus",35
"Diatoms",34
"Reptilia",34
"Euceratherium collinum",33
"Neotoma lepida",33
"Sialia sp.",33
"Sipunculida",33
"Bison ?",32
"Breagyps clarki",32
"Corvus cf.",32
"Mammut americanum",32
"Acanthocephala",31
"Actinopoda",31
"Anatidae sp.",31
"Bison antiquus cf.",31
"Lepus townsendii",31
"Salvadora sp.",31
"Urocitellus elegans",31
"Bubo virginianus",30
"Capra hircus",30
"Carnivora",30
"Cynomys or Spermophilus",30
"Gallus gallus cf.",30
"Gopherus morafkai",30
"Microtus mogollonensis cf.",30
"Phoronida",30
"Puma concolor",30
"Sylvilagus cf.",30
"Ovibos ?",29
"Pinna",29
"Sylvilagus floridanus or Sylvilagus nuttallii",29
"Urocyon cinereoargenteus",29
"Crotaphytus collaris cf.",28
"Myotis velifer cf.",28
"Ostreida",28
"Scleractinia",28
"Bogertophis subocularis",27
"Sceloporus undulatus cf.",27
"Balanus",26
"Camelops sp.",26
"Equus occidentalis",26
"Holbrookia maculata",26
"Laqueus californianus",26
"Neotoma mexicana cf.",26
"Serripes",26
"Spea multiplicata",26
"Stylemys nebrascensis",26
"Actinopterygii",25
"Canidae sp.",25
"Dromaeosauridae",25
"Neotoma findleyi",25
"Petrochelidon fulva or Petrochelidon pyrrhonota",25
"Scaphopoda",25
"Testudinidae sp.",25
"Bison sp.",24
"Cophosaurus texanus",24
"Equus scotti ?",24
"Ovis or Capra",24
"Panthera",24
"Phrynosoma sp.",24
"Tardigrada",24
"Angiosperms - Eurosids II (Malvids)",23
"Hiatella arctica",23
"Mammut",23
"Neotoma cinerea cf.",23
"Neptunea lyrata",23
"Peromyscus nasutus",23
"Spermophilus parryii",23
"Stockoceros conklingi cf.",23
"Urocyon or Vulpes",23
"Vulpes",23
"Cratogeomys or Geomys",22
"Dentalium",22
"Euspira",22
"Inoceramus",22
"Thomomys bottae cf.",22
"Ursus",22
"Aspidoscelis sp.",21
"Gymnospermophyta",21
"Lampropeltis getula",21
"Mammuthus sp.",21
"Nemocardium lorenzanum",21
"Neotoma stephensi",21
"Odocoileus cf.",21
"Onychomys arenicola",21
"Ostrea",21
"Peromyscus maniculatus",21
"Priscofusus",21
"Protista",21
"Tympanuchus pallidicinctus",21
"Vetulicolia?",21
"Aquila chrysaetos",20
"Callipepla cf.",20
"Patinopecten",20
"Rhinocheilus lecontei",20
"Therapoda",20
"Accipitridae sp.",19
"Agmata",19
"Ascomycota",19
"Cryptotis parva",19
"Mytilus",19
"Nectosaurus sp.",19
"Perognathus flavus cf.",19
"Peromyscus laceianus",19
"Portlandia",19
"Vulpes cf.",19
"Agelaius phoeniceus",18
"Cyanocitta ?",18
"Cyclocardia ventricosa",18
"Entoprocta",18
"Glyptotherium texanum",18
"Microtus pennsylvanicus cf.",18
"undefinable",18
"Yoldia",18
"Antilocapra americana cf.",17
"Branta canadensis",17
"Canis sp.",17
"Dipodomys spectabilis cf.",17
"Equus conversidens ?",17
"Lepus townsendii cf.",17
"Mustelidae",17
"Onychomys or Peromyscus",17
"Pachyrhinosaurus",17
"Pteridospermatophyta",17
"Uncertain",17
"Arctodus simus",16
"Buteo sp.",16
"Equus occidentalis cf.",16
"Euceratherium cf.",16
"Falco mexicanus",16
"Fulica americana cf.",16
"Leporidae",16
"Myotis lucifugus",16
"Papyridea",16
"Phaeophyta",16
"Picea mariana",16
"Pipilo fuscus",16
"Pseudocardium pabloensis",16
"Sorex sp.",16
"Troodon",16
"Vermes",16
"Zosterophyllophyta",16
"Arvicolinae sp.",15
"Buchia",15
"Camelops cf.",15
"Canis familiaris cf.",15
"Capromeryx cf.",15
"Cervus elaphus",15
"Chelonia",15
"Desmodus stocki",15
"Echinoidea",15
"ichnofossil",15
"Macoma calcarea",15
"Macoma incongrua",15
"Metasequoia",15
"Neptunea tabulata",15
"Pantherophis emoryi",15
"Rangifer ?",15
"Sylvilagus floridanus",15
"Thomomys talpoides cf.",15
"Trimermophytophya",15
"Unionidae",15
"Ursidae",15
"Vulpes ?",15
"Anserinae",14
"Byrozoa",14
"Canidae",14
"Chaetodipus or Perognathus",14
"Conchocele disjuncta",14
"Cryptonatica affinis",14
"Euceratherium ?",14
"Hemiauchenia macrocephala cf.",14
"Lobopodia?",14
"Mephitis mephitis cf.",14
"Myotis cf.",14
"Ovis canadensis",14
"Sceloporus sp.",14
"Speleothem",14
"Strophatrypa skaflestadi",14
"Sylvilagus audubonii or Sylvilagus floridanus",14
"Symbos cavifrons",14
"Urosaurus ornatus",14
"Anaxyrus woodhousii woodhousii",13
"Antilocapridae sp.",13
"Brachylagus idahoensis",13
"Cancellaria",13
"Cetacea",13
"Chaetodipus sp.",13
"Clinocardium hannibali",13
"Cnidaria?",13
"Corynorhinus townsendii",13
"Cynomys ludovicianus",13
"Ictidomys tridecemlineatus",13
"Lama cf.",13
"Lithobates pipiens",13
"Mustela nigripes",13
"Mya truncata",13
"Odocoileus hemionus",13
"Ovis",13
"Passeriformes",13
"Peromyscus maniculatus cf.",13
"Phrynosoma hernandesi cf.",13
"Podiceps or Podilymbus",13
"Proboscidia",13
"Sorex neomexicanus cf.",13
"Taxidea taxus cf.",13
"Tympanuchus pallidicinctus cf.",13
"Xerospermophilus spilosoma",13
"Zenaida macroura",13
"Anas cf.",12
"Angiosperms - Eudicots",12
"Arthropoda?",12
"Aspidoscelis tigris cf.",12
"Calamospiza melanocorys",12
"Camelops ?",12
"Canis cf.",12
"Chaetodipus hispidus",12
"Charadriiformes sp.",12
"Chelonia sp.",12
"Corvus brachyrhynchos",12
"Dipodomys ordii cf.",12
"Equus cf.",12
"Eremophila alpestris",12
"Geomyidae sp.",12
"Gopherus cf.",12
"Hemiauchenia sp.",12
"Ichthyosauria",12
"Lagomorpha",12
"Lepus",12
"Lithobates sp.",12
"Mammuthus ?",12
"Mycetozoa",12
"Neotoma mexicana ?",12
"Neotoma micropus ?",12
"Ostrea idrianensis",12
"Sialia ?",12
"Sigmodon hispidus ?",12
"Urocyon cf.",12
"Alces ?",11
"Anas sp.",11
"Anatinae",11
"Anthropoda",11
"Aztlanolagus agilis cf.",11
"Camelidae sp.",11
"Canidae ?",11
"Canis familiaris",11
"Clinocardium ciliatum",11
"Corvus neomexicanus cf.",11
"Cynomys cf.",11
"Dinoflagellata",11
"Dipodomys ordii",11
"Equus ?",11
"Equus asinus",11
"Falco sparverius",11
"Geococcyx californianus conklingi",11
"Geomyidae",11
"Lepidophorus",11
"Mephitis sp.",11
"Mustela sp.",11
"Myotis lucifugus cf.",11
"Nannippus ?",11
"Neotoma cf.",11
"Panomya arctica",11
"Panthera atrox",11
"Panthera leo",11
"Panthera onca",11
"Periploma",11
"Perognathus cf.",11
"Pinnipedia",11
"Rhynchonellata",11
"Tabulata",11
"Trimorphodon vilkinsonii",11
"Ursus americanus cf.",11
"Actinobacteria",10
"Arizona elegans",10
"Beringius hertleini",10
"Bos taurus",10
"Canis lupus cf.",10
"Capra or Ovis",10
"Carnivora ?",10
"Chione",10
"CHRYSOPHYCOPHYTA",10
"Corvus ?",10
"Cynomys gunnisoni cf.",10
"Dentalium porterensis",10
"Dipodomys cf.",10
"Equus caballus",10
"Equus occidentalis ?",10
"Gopherus morafkai cf.",10
"Hypsiglena torquata",10
"Leptoceratopsidae",10
"Macoma arctata",10
"Nucella",10
"Odocoileus ?",10
"Odocoileus hemionus cf.",10
"Peromyscus cf.",10
"Peromyscus leucopus",10
"Pseudacris triseriata",10
"Puma concolor cf.",10
"Rugosa",10
"Sigmodon ochrognathus",10
"Tellina",10
"Thescelosauridae",10
"Thracia schencki",10
"Unranked",10
"Antilocapridae cf.",9
"Asio flammeus",9
"Astarte",9
"Canidae cf.",9
"Canis dirus cf.",9
"Clethrionomys rutilus",9
"Cynomys ludovicianus cf.",9
"Fulgoraria",9
"Fusinus stewarti",9
"Lagopus",9
"Macoma moesta moesta",9
"Macrocallista pittsburgensis",9
"Menispermites septentrionalis",9
"Neotoma goldmani ?",9
"Odobenus",9
"Ovibos moschatus",9
"Panomya",9
"Saxidomus popofianus",9
"Sceloporus undulatus",9
"Sorex merriami cf.",9
"Sus scrofa cf.",9
"Sylvilagus floridanus cf.",9
"Sylvilagus floridanus or Sylvilagus robustus",9
"Thescelosaurinae",9
"Ursus sp.",9
"Vulpes vulpes cf.",9
"Anaxyrus cf.",8
"Angiosperms - Monocotyledons",8
"Annelida?",8
"Aztlanolagus agilis ?",8
"Castor canadensis",8
"Cathartes aura",8
"Centrocercus urophasianus",8
"Colubridae",8
"Coragyps ?",8
"Corynorhinus cf.",8
"Cycliophora",8
"Cynomys mexicanus cf.",8
"Declinognathodus",8
"Ectoprocta",8
"Eocylindroteuthis riegrafi",8
"Equus calobatus",8
"Equus calobatus ?",8
