"index.specificepithet","reps"
"ninemilnsis",39
"nordenskioldi",39
"notoflorida",39
"obliteratus",39
"ockelmanni",39
"olympicus",39
"opisthacus",39
"opisthodon",39
"ortholucasi",39
"oweniana",39
"pailoloana",39
"palea",39
"pallatangae",39
"pauciloculata",39
"pectinoides",39
"pelzelni",39
"perfervida",39
"perpusilla",39
"pertusis",39
"poeganum",39
"polyacantha",39
"praelonga",39
"presanguinea",39
"proavus",39
"pseudogramen",39
"punjabiensis",39
"ravindra",39
"resimus",39
"rotella",39
"rubrigastra",39
"rubrocristatus",39
"rucksorum",39
"rudallensis",39
"rueppellii",39
"rugatula",39
"ruppellii",39
"saxivadum",39
"schmidtae",39
"schreibersi",39
"schroeteri",39
"schwarzii",39
"semigranosa",39
"semilaevis",39
"senegallus",39
"septemlineatus",39
"sessilicauda",39
"setiger",39
"sigma",39
"sigsbei",39
"sterea",39
"stiriatum",39
"stuarti",39
"stumburi",39
"sturgisi",39
"subulatum",39
"sundaicum",39
"tanki",39
"tenuidens",39
"tenuinodis",39
"terminatus",39
"testis",39
"thoracata",39
"tweedledee",39
"umbellifer",39
"unitaeniatus",39
"vatonnei",39
"velamen",39
"ventriculus",39
"vulcanoides",39
"wardii",39
"weymouthi",39
"yuanchuensis",39
"actuosa",38
"aguilerae",38
"aguimp",38
"amazilia",38
"anatomica",38
"arberi",38
"arctoimbricata",38
"aruna",38
"asaphoides",38
"atherinoides",38
"auga",38
"auriculatoides",38
"bacillus",38
"backmani",38
"balaenopsis",38
"baleata",38
"barclayi",38
"barrettii",38
"beaufortius",38
"bicinctus",38
"biguttatus",38
"bipunctatus",38
"biturbinatus",38
"blanfordii",38
"blochii",38
"boldi",38
"bonaerensis",38
"brandi",38
"brevilabiatus",38
"calcarulatus",38
"campanisona",38
"canens",38
"cara",38
"carbonatus",38
"catullus",38
"cecilia",38
"cecropia",38
"ceophloei",38
"chelicuti",38
"cineraria",38
"cistellaeformis",38
"coeligena",38
"colossalis",38
"columnare",38
"concisa",38
"connexa",38
"cornigerus",38
"cotinados",38
"crocuta",38
"cuneolus",38
"desjardinsii",38
"didymum",38
"discoideus",38
"discursans",38
"dissonum",38
"ecuadorensis",38
"egorowi",38
"elegantoides",38
"enca",38
"engonatum",38
"ensatus",38
"eocenicus",38
"erippus",38
"eva",38
"exacuous",38
"flabellula",38
"flavipennis",38
"floridae",38
"foersteri",38
"fraxinensis",38
"fulvigula",38
"futilis",38
"gliriformis",38
"glyptopoma",38
"goudkoffi",38
"grosseorum",38
"gubernator",38
"harpula",38
"hawkinsae",38
"hexagonus",38
"hosii",38
"hulenensis",38
"ianthis",38
"ignotincta",38
"inops",38
"intercalare",38
"irene",38
"itys",38
"jepi",38
"judithae",38
"juglandis",38
"juxtaparvulus",38
"knightorum",38
"korros",38
"kypsi",38
"lacunatus",38
"lanuginosa",38
"lappacea",38
"leanus",38
"lehanus",38
"leucops",38
"lintea",38
"lividum",38
"loganensis",38
"longitarsis",38
"macrocarpum",38
"maculifrons",38
"mango",38
"mariarum",38
"martiniana",38
"maxillata",38
"mayeri",38
"mclearni",38
"megommata",38
"merrilli",38
"mesoamericanus",38
"micropoma",38
"molitor",38
"moschata",38
"multicornutus",38
"napaea",38
"napii",38
"neumani",38
"niedhauki",38
"nigrorufa",38
"novum",38
"novus",38
"nubica",38
"obstetricans",38
"occlusa",38
"oedicnemus",38
"ojanchalensis",38
"otaheitana",38
"otisi",38
"paramorum",38
"pealeii",38
"peckorum",38
"pelodes",38
"perspectalis",38
"phoxinus",38
"piochii",38
"planotecta",38
"praecedens",38
"praslini",38
"procris",38
"proprius",38
"proto",38
"pterocarpa",38
"pulchera",38
"pulcra",38
"pulicaria",38
"puritanus",38
"remifer",38
"revinetum",38
"rimarum",38
"roddai",38
"roeweri",38
"rosa",38
"roscidum",38
"ruckerae",38
"ruedemanni",38
"rugosissimum",38
"salicifolia",38
"scorpiurus",38
"seminulina",38
"semmesi",38
"semperi",38
"sericans",38
"sertulariarum",38
"shiloensis",38
"sierra",38
"silbinense",38
"solovjevae",38
"sparsus",38
"sphaericus",38
"sproulei",38
"stenops",38
"stevensana",38
"striatellus",38
"subperuviana",38
"subuculus",38
"sundancensis",38
"tadorna",38
"telmateia",38
"terranovica",38
"torrefactus",38
"trapezia",38
"treadwelli",38
"tristriatus",38
"trossula",38
"tuberculosum",38
"tugidakensis",38
"turdus",38
"undula",38
"unica",38
"urukhai",38
"urumelia",38
"varigata",38
"veraguensis",38
"veriabilis var. exaltata",38
"vexillarium",38
"waltonianum",38
"wapanuckensis",38
"wigginsii",38
"williardi",38
"xiphiphora",38
"yanagidai",38
"yochelsoni",38
"zela",38
"zelandiae",38
"achoros",37
"aconthea",37
"aemulus",37
"aequivalva",37
"affinimorgani",37
"alboterminatus",37
"altipinnis",37
"altissima",37
"altissimus",37
"amarula",37
"amaurocephalus",37
"amplexoides",37
"anale",37
"angulicollis",37
"angulocostata",37
"antipodum",37
"arae",37
"arcoensis",37
"argyrosperma",37
"ariel",37
"aselloides",37
"astriata",37
"atramentosa",37
"atropurpurea",37
"auronitens",37
"avellana",37
"awunensis",37
"ayresiana",37
"baccatus",37
"balao",37
"barabensis",37
"barbirostris",37
"bipuncticeps",37
"bouziguensis",37
"bruta",37
"buckmani",37
"burgessi",37
"byatti",37
"caerulhians",37
"callosum",37
"cannoni",37
"carbonifera",37
"carlsbergi",37
"catahoulensis",37
"cava",37
"celatum",37
"cf. m. obsoletus",37
"chariclea",37
"chipolae",37
"cicatricosa",37
"cinera",37
"clupeola",37
"colossea",37
"corticola",37
"coryi",37
"craigae",37
"craspedonia",37
"crassicorne",37
"craura",37
"cricki",37
"cucurrupiensis",37
"culmula",37
"curticei",37
"cyanomelas",37
"davisoni",37
"decaocto",37
"dehaartii",37
"detectum",37
"dialeucum",37
"dinota",37
"dispansa",37
"dissona",37
"diversicolor",37
"dixoni",37
"dooleyensis",37
"dufresnoyi",37
"dux",37
"elia",37
"emmonsia",37
"eoligniticus",37
"esterius",37
"eurekaensis",37
"euthenius",37
"evoluta",37
"expatriatus",37
"extensum",37
"facetus",37
"favorum",37
"femurrubrum",37
"flabellifer",37
"flabelliformis",37
"flotator",37
"fluens",37
"foliatus",37
"foreliana",37
"francisca",37
"fratrorum",37
"fulgetrum",37
"gabar",37
"gatesensis",37
"genovensium",37
"glendivensis",37
"goniorhynchus",37
"gormani",37
"grandaeva",37
"grandstandensis",37
"grunus",37
"guibei",37
"haimei",37
"halosydne",37
"harmonica",37
"hazeli",37
"helias",37
"helicaformis",37
"helicinum",37
"hesitata",37
"heterophyllum",37
"hispidulus",37
"hypoxantha",37
"idonium",37
"imperatoris",37
"iredalei",37
"jeffreysii",37
"jucundum",37
"karsandra",37
"katapsyxis",37
"lanceola",37
"larvaeformis",37
"lawrencii",37
"laytoni",37
"leptodon",37
"limatulus",37
"linguifera",37
"lubricus",37
"lucorum",37
"luteofasciatus",37
"lychnia",37
"maclovianus",37
"macrura",37
"mahali",37
"malelas",37
"manimbe",37
"marquamensis",37
"matsoni",37
"meirsanus",37
"menetriesii",37
"metria",37
"microporum",37
"micrurus",37
"mina",37
"modicella",37
"modicus",37
"monspessulanum",37
"nastes",37
"nasutum",37
"nudicaudatus",37
"obliterata",37
"octobrachiatus",37
"oligocenica",37
"optatum",37
"oshaughnessyi",37
"pachyphyllum",37
"pagodum",37
"pannosum",37
"parrhassus",37
"pawniensis",37
"petenense",37
"phicomone",37
"philipi",37
"planiextensus",37
"plaurembona",37
"plumbeiceps",37
"pontotocensis",37
"portesiana",37
"porulosum",37
"powellii",37
"priscinalis",37
"psittacus",37
"pullata",37
"pulsatrix",37
"quatalensis",37
"raphana",37
"rexroadensis",37
"rhombus",37
"rhothon",37
"robertsoni",37
"rodriguezi",37
"rotiforme",37
"rubellum",37
"saclava",37
"sauvagei",37
"saxea",37
"schoutedeni",37
"semicomplanata",37
"seminolis",37
"semiplumosa",37
"senticosus",37
"sephaena",37
"serricosta",37
"setifera",37
"sexdentata",37
"simpsonii",37
"sinuatipes",37
"speciosissima",37
"sphaeroides",37
"squamiformis",37
"stantonii",37
"stigmaeus",37
"stomaticus",37
"strelzowi",37
"strigilecula",37
"strongyle",37
"strophia",37
"subaequalis",37
"submoniliferus",37
"subsulcata",37
"subtilicostatum",37
"subventricosus",37
"sullivani",37
"tetrix",37
"thalassicola",37
"thermophilus",37
"thienemanni",37
"thoracites",37
"transenna",37
"tribrachiatus",37
"triodontoides",37
"tubuliferus",37
"vexillarius",37
"viburnifolia",37
"vindobonensis",37
"voigti",37
"waltonense",37
"woodburnei",37
"worthensis",37
"zeuschneri",37
"zoster",37
"acuticostatus",36
"adairensts",36
"adria",36
"adrianoi",36
"aesop",36
"afsmi",36
"alaskanum",36
"alaskense",36
"alberta",36
"allionealis",36
"alteranda",36
"altitalonidus",36
"angustia",36
"antigua",36
"anulata",36
"apollinus",36
"auriga",36
"aurinia",36
"australasia",36
"basaltica",36
"beata",36
"bifurcatum",36
"bittneri",36
"bowdenensis",36
"bradfordensis",36
"brazieri",36
"brewi",36
"broggii",36
"brosgei",36
"buchanani",36
"buchianus",36
"bunichus",36
"calculosum",36
"calvertense",36
"canagica",36
"carbonarium",36
"caribbea",36
"ceciliae",36
"cephalum",36
"ceylanica",36
"chalcedona",36
"churchi",36
"clinei",36
"collina",36
"coloradense",36
"congroides",36
"conida",36
"coritus",36
"cornucopiae",36
"costifera",36
"czizeki",36
"denisoni",36
"densestriata",36
"densicostatum",36
"dentellum",36
"desticata",36
"dichotomous",36
"dilophus",36
"dipsycha",36
"discrepans",36
"dumoga",36
"eglanteria",36
"elevatum",36
"ellipsiprymnus",36
"eminulus",36
"erinaceoides",36
"etheocles",36
"euhyphodon",36
"exaratus",36
"fernandi",36
"fibratum",36
"fiscella",36
"fishii",36
"frigidus",36
"gambensis",36
"gerontica",36
"gibbsi",36
"gradicosta",36
"hallensis",36
"harlanensis",36
"harleyi",36
"haysiana",36
"helmanni",36
"hermes",36
"hexagonalis",36
"hircus",36
"hondurense",36
"humphriesianum",36
"hypipamee",36
"ignicauda",36
"impejanus",36
"incipiens",36
"indet",36
"individens",36
"inequale",36
"inexorata",36
"ingenua",36
"inscriptum",36
"iodes",36
"iolas",36
"jaculus",36
"khoda",36
"kroyeri",36
"labiosus",36
"laetus",36
"lamporea",36
"laubei",36
"laugieri",36
"lemniscata",36
"leptodus",36
"lithophila",36
"longipalpa",36
"lowi",36
"lucionensis",36
"lunicollis",36
"lutarius",36
"lutraria",36
"macrospinus",36
"macrostriatus",36
"margaritae",36
"mariasensis",36
"menapia",36
"microdisca",36
"miseneri",36
"mocinii",36
"modestiformis",36
"monostigma",36
"multiannulatus",36
"multicamerata",36
"nassoides",36
"natlandi",36
"nemorensis",36
"noduliferus",36
"nototaenia",36
"nuptus",36
"obesulus",36
"ocyurus",36
"opiparis",36
"oppilatus",36
"opsitelotus",36
"opulenta",36
"ostiolata",36
"parexilis",36
"paromola",36
"paucicostatus",36
"paxillosus",36
"perciformis",36
"perpunctus",36
"persulcata",36
"picilabris",36
"pigmentaria",36
"pinnatus",36
"placentula",36
"planocorrugata",36
"platypyga",36
"pluteus",36
"polixenes",36
"polypum",36
"posticatus",36
"praecipta",36
"pseudomera",36
"queenslandiae",36
"ranzanii",36
"rhodogaster",36
"ricketti",36
"rigens",36
"rimula",36
"rude",36
"russa",36
"salinarius",36
"salmonea",36
"samoensis",36
"schreibersiana",36
"scissuratus",36
"semiannulatus",36
"semisimplex",36
"sepulcralis",36
"severus",36
"shotwelli",36
"sibogae",36
"speculiger",36
"spiratissimum",36
"stissingensis",36
"stoliczkana",36
"strasburgensis",36
"stygia",36
"stylura",36
"subperegrina",36
"subradiatus",36
"substriatus",36
"subtilata",36
"succissa",36
"succorensis",36
"sueurii",36
"suspensa",36
"tamatia",36
"tectonatica",36
"tegula",36
"terebriformis",36
"tortula",36
"trapeziceps",36
"trilobus",36
"trimaculatus",36
"tubifera",36
"unicum",36
"varicosus",36
"variolata",36
"viscivorus",36
"wassi",36
"wimmeriana",36
"adelaidae",35
"aegeri",35
"alboniger",35
"alicula",35
"alveatus",35
"amabile",35
"amata",35
"anthracina",35
"aquilaensis",35
"atrotibialis",35
"balanoidea",35
"barroti",35
"batesvillae",35
"bauckhorni",35
"beaumonti",35
"bergquisti",35
"beusekomii",35
"bifossatus",35
"bipustulata",35
"bispinata",35
"blainianus",35
"blanfordianus",35
"bolaris",35
"breviformis",35
"brissonii",35
"bristolensis",35
"bryani",35
"caledonica",35
"catallus",35
"cemptoni",35
"cepa",35
"chacei",35
"champlainensis",35
"cimarronensis",35
"cistellula",35
"cloanthus",35
"clydensis",35
"cochlearius",35
"colma",35
"corticinus",35
"cretaceus",35
"cryptolimifrons",35
"cumingsii",35
"curtulus",35
"curvilateralis tanoensis",35
"custodiens",35
"cyclofenestrata",35
"decornis",35
"delia",35
"denticulatum",35
"denudatus",35
"deperditus",35
"descoidea",35
"diophrys",35
"dominguensis",35
"draparnaudi",35
"dunckeri",35
"ellida",35
"ellisense",35
"emersonii",35
"erlangeri",35
"erosum",35
"erugata",35
"euglyptum",35
"eustoma",35
"excaecatus",35
"felix",35
"feronia",35
"ferragus",35
"fimbricostata",35
"fitzsimonsi",35
"flavilatus",35
"flavinucha",35
"fountaini",35
"fraterculus",35
"frumentum",35
"fulicatus",35
"garberii",35
"glauerti",35
"goeldii",35
"gonagra",35
"goodenbeani",35
"gracilispinis",35
"graffhami",35
"gregoryi",35
"grillus",35
"guizhouensis",35
"gutschicki",35
"hanapepe",35
"harii",35
"henryhousense",35
"heuglini",35
"hilgardi",35
"homocurvatus",35
"imbecillus",35
"impennis",35
"indistinctus",35
"inequalis",35
"intestinum",35
"isidroensis",35
"isthmus",35
"jaekeli",35
"kaasai",35
"kakuki",35
"kendalli",35
"labradus",35
"lambei",35
"larga",35
"laricinus",35
"larsoni",35
"leonense",35
"lepis",35
"leucospilota",35
"libbeyi",35
"lisboa",35
"littledalei",35
"longissima",35
"ludersi",35
"lunatum",35
"macar",35
"macei",35
"macgillivrayi",35
"macrophora",35
"marcus",35
"marianosi",35
"marquettii",35
"mays",35
"medicornutum",35
"melanoptera",35
"melanopterus",35
"meniscioides",35
"microcostata",35
"miliaria",35
"minicephalus",35
"mipartitus",35
"moellendorffi",35
"moodiei",35
"moricandi",35
"mormonum",35
"moussoni",35
"multiporosum",35
"napoleonis",35
"navicella",35
"nesiotum",35
"newcombiana",35
"newsomensis",35
"nigricauda",35
"noctivagus",35
"obtrita",35
"obtusiforme",35
"ochsneri",35
"oligomedianum",35
"olrikii",35
"oolina",35
"opalina",35
"opella",35
"oregonia",35
"pabloensis",35
"pactilis",35
"pala",35
"paradisea",35
"paratumula",35
"parceramosa",35
"parvulifolia",35
"patagiatus",35
"patersoni",35
"patricius",35
"peasei",35
"peggyae",35
"percrassus",35
"perfectus",35
"perlatum",35
"perugata",35
"phaseolina",35
"platyrhinos",35
"plicodon",35
"podagrina",35
"pomonae",35
"porites",35
"preslii",35
"pressa",35
"pseuderos",35
"pumilo",35
"pyelodes",35
"pyrope",35
"quinifolia",35
"ramseyi",35
"redbirdensis",35
"rediviva",35
"relicta",35
"remscheidensis",35
"rhodopsis",35
"roatanensis",35
"roryi",35
"rubicellus",35
"rubiginosum",35
"salemensis",35
"sappheira",35
"sarsi",35
"saxosus",35
"schoenobaenus",35
"scorpio",35
"seminolus",35
"septempunctata",35
"shumardiana",35
"sigaretina",35
"sima",35
"siquijorensis",35
"spadonia",35
"sphenurus",35
"spinescens",35
"stipatus",35
"stipes",35
"strumosus",35
"subaraucana",35
"subbarbatus",35
"subdepressus",35
"sublaeve",35
"sublevis",35
"suborbiculata",35
"subtransversa",35
"subventricosa",35
"sumatranus",35
"suspicor",35
"tageliformis",35
"taitana",35
"talquinensis",35
"tenaculum",35
"tethys",35
"theristes",35
"tornatus",35
"tribulus",35
"trinodosus",35
"tritonidea",35
"trochilirostris",35
"truncorum",35
"valvula",35
"varifolia",35
"vitruvia",35
"vizcainoensis",35
"voluta",35
"warmani",35
"whitesidei",35
"wisconsinensis",35
"xainzaensis",35
"xenostoma",35
"achates",34
"acuspidatus",34
"adolphina",34
"aenone",34
"affirmata",34
"albuginosa",34
"alburna",34
"almiensis",34
"altifluminis",34
"amazonarum",34
"ananas",34
"angusticostata",34
"anonyx",34
"antica",34
"apollinis",34
"ara",34
"arctous",34
"aruanus",34
"arundinum",34
"aster",34
"asteris",34
"asteroides",34
"atomarius",34
"aurigera",34
"austeni",34
"beloiti",34
"bifarcinatus",34
"bistrinotata",34
"boultoni",34
"bradleyae",34
"brasiliense",34
"braziliana",34
"brazosensis",34
"brunnicolor",34
"bulimiformis",34
"burmeisteri",34
"burnhamae",34
"cainodon",34
"candata",34
"carinifer",34
"catalinensis",34
"caudolineatus",34
"caudospinosa",34
"cavator",34
"cf. s. santafeensis",34
"cheyennensis",34
"chiguanco",34
"christneri",34
"clathrodon",34
"clavifrons",34
"clymene",34
"coalescens",34
"contriarius",34
"coosense",34
"corallicola",34
"cortina",34
"couria",34
"cubanianus",34
"curvilabris",34
"curvipennis",34
"cuvillieri",34
"cyclica",34
"dallii",34
"dero",34
"desmaresti",34
"diltsi",34
"discurus",34
"dolabelloides",34
"doliumis",34
"dorsisulcata",34
"ectyphus",34
"endospinus",34
"equilaterale",34
"equina",34
"ergoella",34
"eriomma",34
"eubulus",34
"euterpe",34
"exfoliata",34
"fascigera",34
"fecundus",34
"fenestralis",34
"ferina",34
"foremani",34
"foveata",34
"freneixae",34
"frondsicola",34
"fumicolor",34
"gainesvillensis",34
"galerita",34
"galloprovincialis",34
"garnettensis",34
"gatunense",34
"gerhardti",34
"gibbiceps",34
"gonavensis",34
"grateloupii",34
"haematodes",34
"halkyardi",34
"harkerianum",34
"harveyensis",34
"hawayana",34
"helleri",34
"hellmayri",34
"hoerleae",34
"hulenense",34
"illidgei",34
"imporcata",34
"incei",34
"jerdoni",34
"kickapooensis",34
"kirkianus",34
"klaasi",34
"kofordi",34
"kottlowski",34
"lacus",34
"lamborni",34
"laticornis",34
"lehmanni",34
"leptocarpa",34
"limaciformis",34
"lissotropis",34
"littoni",34
"longibarbatus",34
"loricatus",34
"louisiadensis",34
"lutreola",34
"malea",34
"mammillata",34
"manniensis",34
"marianae",34
"marklandensis",34
"massette",34
"matthesii",34
"meekanus",34
"megala",34
"megalophthalma",34
"megastropha",34
"meges",34
"meloryphus",34
"metensis",34
"millhorni",34
"milvina",34
"mitchellii",34
"monstrosa",34
"mortenseni",34
"multibrachiatus",34
"murcianus",34
"musschenbroekii",34
"nacrea",34
"navarroense",34
"nevei",34
"nokomis",34
"oedipus",34
"osmonti",34
"osteni",34
"oviplagalis",34
"oxynotum",34
"pagodula",34
"pallidicinctus",34
"papago",34
"paradelpha",34
"pardalina",34
"paronai",34
"peripherica",34
"perspinosus",34
"peslutrae",34
"pholus",34
"planobasalis",34
"platinus",34
"platyrorstris",34
"plautum",34
"poliosoma",34
"polydorus",34
"porcellus",34
"prelobata",34
"prinus",34
"proavia",34
"prodroma",34
"pseudopuma",34
"pudica",34
"pustulifera",34
"pyriphlogos",34
"pyrropus",34
"quenseli",34
"racemosa",34
"racovitzae",34
"retiporosa",34
"rhynchonella",34
"ridens",34
"rina",34
"rivolii",34
"roanokensis",34
"robisoni",34
"roosevelti",34
"saginata",34
"sallaei",34
"sarae",34
"saturinus",34
"satyra",34
"scalariforme",34
"schultzi",34
"schuppi",34
"scriptellus",34
"seabeensis",34
"secristi",34
"senile",34
"serta",34
"sespeensis",34
"shrevoides",34
"shuckardi",34
"sigmoidea",34
"silacea",34
"siphunculus",34
"slackiana",34
"sp 4",34
"spio",34
"squalidens",34
"steinmanni",34
"sternbergiana",34
"strigatella",34
"subevolutus",34
"subintegrifolius",34
"subrotundata",34
"suecicum",34
"suwanneensis",34
"sylvesterbradleyi",34
"tabularis",34
"takanoshimensis",34
"talmadgei",34
"tampae",34
"tapetus",34
"taurina",34
"tetraspis",34
"texasensis",34
"thiollierei",34
"timotheanus",34
"tippana",34
"topilensis",34
"torcasiana",34
"transvaalensis",34
"triangularispinosa",34
"tricticea",34
"trilocularis",34
"trimmata",34
"trinotatus",34
"tripartita",34
"triporiceps",34
"tripunctatus",34
"trivirgata",34
"tubulata",34
"tumidosus",34
"vanikorensis",34
"vaquerosensis",34
"variegatoides",34
"variolatus",34
"ventricola",34
"verticillatus",34
"vigintimaculata",34
"wehrii",34
"willeyi",34
"wilmottii",34
"wislizenii",34
"wisneri",34
"wymanii",34
"zigzag",34
"aculus",33
"aesopi",33
"alemanica",33
"aleutica",33
"alloiteaui",33
"altila",33
"ananchytes",33
"angrandi",33
"angulifer",33
"anomiaeformis",33
"antediluvianus",33
"anthracoideus",33
"apicata",33
"architae",33
"arquatrix",33
"artedi",33
"asperella",33
"astartoides",33
"astur",33
"bacca",33
"bacchus",33
"bacillum",33
"balanoides",33
"bastardi",33
"basteroti",33
"bergeri",33
"bernhardi",33
"bicanaliculata",33
"bitorquata",33
"bituberculata",33
"bocapanensis",33
"boehmi",33
"bojeri",33
"botterii",33
"bucephala",33
"budaensis",33
"burchellii",33
"cabanisi",33
"carvalhoi",33
"casina",33
"ceratites",33
"cerrejonensis",33
"chalybeata",33
"chavani",33
"cheneyi",33
"chinkopensis",33
"chlorolophus",33
"chlorophaea",33
"citrensis",33
"coeruleocephala",33
"comptula",33
"conara",33
"conjugans",33
"corindum",33
"coypus",33
"crex",33
"crimesi",33
"crispa simplex",33
"cristonensis",33
"cryptocephala",33
"curvatura",33
"cyrila",33
"declive",33
"devillei",33
"dilecta",33
"disparile",33
"dorisae",33
"drummondii",33
"dunklei",33
"duprei",33
"echinulata",33
"ecuadoriana",33
"ethelda",33
"etheringtoni",33
"everndeni",33
"ewekoroensis",33
"exanimis",33
"exploitensis",33
"farleyensis",33
"favus",33
"fayettevillense",33
"finei",33
"finlayi",33
"follis",33
"foremanianus",33
"forulata",33
"fossulatus",33
"fricki",33
"furunculus",33
"gabonica",33
"glaphycompus",33
"glaucopis",33
"grandifolium",33
"guadelupensis",33
"gymnorhinus",33
"haffi",33
"hartmeyeri",33
"haueriana",33
"hauxwellianus",33
"haywardi",33
"heteroclita",33
"hugeli",33
"humanica",33
"hupeanus",33
"hydrochaeris",33
"hypomelas",33
"iliolophus",33
"infarctus",33
"intersepta",33
"jani",33
"javali",33
"jimzimkusi",33
"jubata",33
"jurensis",33
"keplerorum",33
"lacertinum",33
"laertes",33
"lagena",33
"lativittata",33
"laurencii",33
"leioderma",33
"lepidota",33
"leuciscus",33
"lewisanus",33
"librarius",33
"lictor",33
"limbatum",33
"limirivuli",33
"longicosta",33
"louderbacki",33
"loyani",33
"lutra",33
"maculicollis",33
"margaritaceus",33
"mariguanae",33
"marrowi",33
"martinensis",33
"metaformis",33
"milii",33
"mimeticus",33
"moniliferum",33
"montereyana",33
"moreletiana",33
"navis",33
"nicaisei",33
"nigeriensis",33
"nigrigenys",33
"nigrimenta",33
"nodiger",33
"noetlingi",33
"nonius",33
"norcrossi",33
"oblita",33
"odorata",33
"okhotskensis",33
"omalii",33
"opacus",33
"operosus",33
"oralensis",33
"orbignyianus",33
"oschneri",33
"otiarca",33
"owthropensis",33
"oxytropis",33
"pachytesta",33
"paliferum",33
"pallidinucha",33
"parvipes",33
"parvipinnis",33
"percarinata",33
"picipes",33
"pictipes",33
"planicostatus",33
"platystomus",33
"pleurostigma",33
"pluvialis",33
"pocillata",33
"podarces",33
"pondicerianus",33
"porcellanus",33
"praetexta",33
"proxicostellata",33
"pseudonodosoides",33
"pulligo",33
"pulverulenta",33
"punctatissimus",33
"quadricuspis",33
"quadrigatum",33
"quinquecostata",33
"reductus",33
"remediensis",33
"rhenana",33
"rixosa",33
"romani",33
"rosana",33
"rosecanyonensis",33
"rubiformis",33
"rubribarbus",33
"russatus",33
"salmo",33
"saxuosus",33
"schadenbergi",33
"sciron",33
"scutulatus",33
"sella",33
"semilineata",33
"semimarmorata",33
"senoculata",33
"seraphini",33
"serpillifolia",33
"shellyi",33
"siegerti",33
"simplicicollis",33
"smileyi",33
"sofiae",33
"sohli",33
"spatulifera",33
"stellifer",33
"stercoraria",33
"stonei",33
"strangei",33
"subangulatus",33
"sufflatus",33
"sugillatus",33
"suttkusi",33
"talcosa",33
"tanae",33
"terminata",33
"texticeps",33
"teyou",33
"thomi",33
"thumbelina",33
"timidum",33
"tivius",33
"topei",33
"triacantheis",33
"trialata",33
"trilix",33
"trojana",33
"troosti",33
"tulipifera",33
"tumulensis",33
"turgidunculus",33
"umbellifera",33
"uncas",33
"unguiculatus",33
"urania",33
"valeriae",33
"valhosierr",33
"vauvleeti",33
"vehiculum",33
"vesca",33
"vexilium",33
"vicinus nr.",33
"volutata",33
"vulcani",33
"xanthogenys",33
"xanthornus",33
"zadrai",33
"zuninoi",33
"acuminatum",32
"acuticornis",32
"albertisii",32
"alcocki",32
"aldenense",32
"ambiguum",32
"amchickeringi",32
"amethistinus",32
"andraemon",32
"anisae",32
"antistriatum",32
"apusoides",32
"aquiensis",32
"arcaeformis",32
"arkansasensis",32
"asopialis",32
"aspensis",32
"atticus",32
"aureum",32
"auriscati",32
"aurulenta",32
"barberi",32
"batia",32
"bazochii",32
"bengalus",32
"bifunda",32
"bimarginata",32
"binoda",32
"birchi",32
"blanquillanus",32
"blommersae",32
"bollii",32
"burnetti",32
"callippe",32
"canifrons",32
"canonicus",32
"canora",32
"capillosum",32
"catalpae",32
"centrifuga",32
"centronotus",32
"cernica",32
"chathamensis",32
"chesnelii",32
"chiriquiensis",32
"chromus",32
"chrysogenys",32
"chrysolaus",32
"civetta",32
"climena",32
"coccifer",32
"colliei",32
"coloratus",32
"conifrons",32
"connata",32
"contra",32
"corticarius",32
"crassipilis",32
"craticulatus",32
"cronini",32
"cydippe",32
"cythereoides",32
"dakotense",32
"darlingi",32
"decidua",32
"decollatensis",32
"densum",32
"diardi",32
"dichroa",32
"dissiticostella",32
"diversifolium",32
"dixie",32
"domorictus",32
"donaldi",32
"dumicola",32
"ebenum",32
"echinus",32
"edgariana",32
"eocaenicus",32
"epetrima",32
"epithore",32
"eugenia",32
"eungella",32
"evergladei",32
"evexum",32
"exsertus",32
"fettkei",32
"fichteli",32
"filatovae",32
"filicauda",32
"flemingii",32
"fuciphagus",32
"fulvipes",32
"furmaniana",32
"galae",32
"galeritus",32
"gananensis",32
"gibberum",32
"goniogyrus",32
"gregoryensis",32
"gurlti",32
"hamulus",32
"harmandi",32
"hartleyi",32
"hecate",32
"heidingeri",32
"hexadactyla",32
"hirschi",32
"holdeni",32
"huronense",32
"hydaspes",32
"iconspicua",32
"icterica",32
"immaturus",32
"immersa",32
"incessa",32
"incognitus",32
"interjuncta",32
"jabiensis",32
"jeffersonensis",32
"jemineus",32
"jorgeorum",32
"josephinae",32
"julie",32
"julii",32
"kellettii",32
"klauberi",32
"kobelti",32
"lebanonensis",32
"leporinum",32
"lessigiana",32
"leucacanthus",32
"leucopodus",32
"liberiana",32
"licta",32
"linaria",32
"litoglyphus",32
"longiforma",32
"longleyi",32
"lory",32
"lucayanus",32
"lupanaria",32
"maia",32
"marielinum",32
"medilobatus",32
"melanostigma",32
"melleri",32
"mogota",32
"moranianus",32
"morrisonensis",32
"multinervis",32
"nigella",32
"niobe",32
"nodicinctus",32
"nortoni",32
"numismalis",32
"octaviana",32
"olokun",32
"optabilis",32
"oxylophus",32
"oxyrhyncus",32
"parthenopion",32
"pax",32
"pennatula",32
"peregra",32
"petalia",32
"phainops",32
"phaseli",32
"philippi",32
"philolaus",32
"plagiodon",32
"platyphyllos",32
"pleuronectes",32
"praecincta",32
"praecipua",32
"praestans",32
"pribiloffensis",32
