"genus","reps"
"Sylvochoerus",13
"Synaptocochlea",13
"Syneta",13
"Synsphyronus",13
"Syringa",13
"Sysciophlebia",13
"Tachytrechus",13
"Tanytarsus",13
"Taranis",13
"Taxymys",13
"Teichertina",13
"Temnotrema",13
"Teratelasma",13
"Tetradactylus",13
"Teudis",13
"Tevnia",13
"Texmelanatria",13
"Thalassema",13
"Thalassornis",13
"Thelodus",13
"Thrincopyge",13
"Thryonomys",13
"Thyropygus",13
"Thysanophyllum",13
"Timorphyllum",13
"Tinodon",13
"Tinospora",13
"Tirumala",13
"Tonkinaria",13
"TORNATELLAEA",13
"Trachymaia",13
"Trachyteuthis",13
"TREMOGASTERINA",13
"Triadaspis",13
"Trichopodus",13
"Trichuris",13
"Trigonobalanoidea",13
"Tristylospyris",13
"Tritonofusus",13
"Trochodota",13
"Trogonophis",13
"Tryospira",13
"Trypanosyllis",13
"Tuberitina",13
"Turrinosyrinx",13
"TURRIS",13
"Ulrichicrinus",13
"Umbilia",13
"Undulabucania",13
"Uroctea",13
"Urucoptis",13
"Ustarte",13
"Valenciennea",13
"Vallatotheca",13
"Vanuxemella",13
"Vasticardium",13
"Verticumbo",13
"Vespa",13
"Villogorgia",13
"Virginulina",13
"Vitiphyllum",13
"Vokesinotus",13
"VOLUTA",13
"Volviceramus",13
"Wapkia",13
"Watsonulus",13
"Wattebledia",13
"Welwitschia",13
"Wilkingia?",13
"Wormaldia",13
"Wyattia",13
"Xanthilites",13
"Xenichthys",13
"Xenophalium",13
"Xenorophus",13
"Xenotilapia",13
"Xenoturris",13
"Xenuroturris",13
"Xystocheir",13
"Yangtzeella",13
"Yatsengia",13
"Yunnania",13
"Zasphinctus",13
"Abathomphalus",12
"Acadoparadoxides",12
"Aceratophallus",12
"Acernaspis",12
"Acidota",12
"Acme",12
"Acmella",12
"Acrocera",12
"Acrolepis",12
"Acroloxus",12
"Acrosomoides",12
"Acrostichopteris",12
"Acutitectonica",12
"Adelphobolbina",12
"Adnatoceras",12
"Aegopinella",12
"Aenigmacaris",12
"Aeschnopsis",12
"Aethiomastacembelus",12
"Aethocephalichthyes",12
"Aganides",12
"Agaricoerinus",12
"Agnocardia",12
"Albertoceras",12
"Allantopora",12
"Allodelphis",12
"Allodiscus",12
"Allonema",12
"Alticamelus",12
"Alvinocaris",12
"Ambiococlia",12
"Americoncha",12
"Amesoneuron",12
"Amiopsis",12
"AMMONITES",12
"Amphiaraus",12
"Amphilagus",12
"Ampullinopsis",12
"Anadoras",12
"Anahoplites",12
"Anania",12
"Anapella",12
"Anaspis",12
"Anaxeocythere",12
"Ancillopsis",12
"Ancorina",12
"Anctus",12
"Anomalon",12
"Anteos",12
"Anthoceras",12
"Anthomastus",12
"Antillaster",12
"Antrimops",12
"Anyuanestheria",12
"Aperostoma",12
"Aphananthe",12
"Aplousina",12
"Aporinellus",12
"Apothyris",12
"Apotropteris",12
"Arabatia",12
"Araliopsis",12
"Aratus",12
"Arcas",12
"Archaelurus",12
"Archeampelos",12
"ARCOPERNA",12
"Arellanella",12
"Arugisa",12
"Asaphes",12
"Ascosphaera",12
"Asillahyllos",12
"Asolene",12
"Aspidelaps",12
"Asteroptychius",12
"Asymblepharus",12
"Atelestocrinus",12
"Atomosia",12
"Aubria",12
"Auchenoglanis",12
"Aulina",12
"Aulostoma",12
"Australiosoma",12
"Austrochares",12
"Bagotum",12
"Baikalia",12
"Baltisphaeridium",12
"Banasa",12
"Baphetes",12
"Baropus",12
"Bathyanthias",12
"Bathycythere",12
"Bathylaco",12
"Batrachostomus",12
"BAYANIA",12
"Bdelloidina",12
"Bebrina",12
"Beella",12
"Bensonomys",12
"Beyrichiatia",12
"Bicorbis",12
"Bicornella",12
"Bighornia",12
"Bigranulella",12
"Binghamichthys",12
"Biotoecus",12
"Bispira",12
"Bistomiacystis",12
"Bithynella",12
"Blastammina",12
"Bobasatrania",12
"Bordenia",12
"Boucotinskia",12
"Brachychirotherium",12
"Brachygalaxias",12
"Brevicardium",12
"Bridgerocrinus",12
"Brockocystis",12
"Bubo?",12
"Bucanoceras",12
"Bulungamaya",12
"BYSSOARCA",12
"BYTHOCYPRIS",12
"Caenolambda",12
"Caerulea",12
"Calcar",12
"Callanthias",12
"Callibaetis",12
"Callichirus",12
"Callospermophilus",12
"Calocycloma",12
"Cannapora",12
"Capnophyllum",12
"Capoeta",12
"Caprascolex",12
"Capys",12
"Cardioecia",12
"Carmelus",12
"Carphacis",12
"Carposphaera",12
"Cassidulinella",12
"Catasticta",12
"Catoma",12
"Celastrinites",12
"Centurus",12
"Ceramophyllum",12
"Ceratozamia",12
"Cererithyris",12
"Ceriodaphnia",12
"Cerostoma",12
"cf. Pseudosalix",12
"Chaetacis",12
"Channomuraena",12
"Charionella",12
"Chasmagnathus",12
"Cheila",12
"Chelonus",12
"Chendytes",12
"Chenoprosopus",12
"Chilosia",12
"Chilotrypa",12
"Chirodamus",12
"Chliaria",12
"Cholopilus",12
"Chone",12
"Choriotis",12
"CHORISTODON",12
"Chovanella",12
"Chrysalidina",12
"Chubbina",12
"Cincosaurus",12
"Circomphalus",12
"Cladolabes",12
"Cladoselache",12
"Cleodictya",12
"Cleodora",12
"Closterocoris",12
"Cluthia",12
"Clypidina",12
"Cochlespirella",12
"Cocytinus",12
"Coeloconus",12
"Coelopeltis",12
"Collyritis",12
"Colognathus",12
"Coloradia",12
"COLPANTYX",12
"Concavella",12
"Concinnithyris",12
"Conilithes",12
"Conohyus",12
"Conotoma",12
"Contogenys",12
"Coprolite?",12
"Coproporus",12
"CORONULA",12
"Corynoneura",12
"Coryphella",12
"COSCINARAEA",12
"Cosmosoma",12
"Costazia",12
"Covracythere",12
"Coxliella",12
"Crabro",12
"Crenilabium",12
"Crenulites",12
"Crepidacantha",12
"CREPIPATELLA",12
"Cribrilaria",12
"Cricetops",12
"Cricetus",12
"Crucilobiceras",12
"Cryphiocrinus",12
"Cryptantha",12
"Cryptospirifer",12
"Cryptothele",12
"Crytina",12
"Cyathocidaris",12
"Cycadeospermum",12
"Cycadopites",12
"Cyclomedusa",12
"Cycloseris",12
"Cyclozyga",12
"Cymaenes",12
"Cymbiolacca",12
"Cynodon",12
"Cynomolgus",12
"Cypraeolina",12
"Cyrtotoma",12
"Cystoid",12
"Dasyonthus",12
"Dayia",12
"Deconychura",12
"Dentiblastus",12
"Dermacentor",12
"Deroptyus",12
"Desmidocrinus",12
"Dictyophycus",12
"Dictyopselloides",12
"Dicymbium",12
"DIENTOMOCHILUS",12
"Dinocyon",12
"Diopatraites",12
"Dipassalus",12
"Diplacanthopoma",12
"Diplocolenus",12
"DISCUTIOLIRA",12
"Disporella",12
"Dobsonia",12
"Doescherina",12
"Dolichoctes",12
"Donacaula",12
"Drapetis",12
"Drasterius",12
"Dromicodryas",12
"Dryophylax",12
"Drypetes",12
"Ductor",12
"Dunderbergella",12
"Duslia",12
"EBURNEOPECTEN",12
"Eccyliopterus",12
"Ectodus",12
"Ellipsaria",12
"Ellychnia",12
"Elpidocrinus",12
"Engoniophos",12
"Enoclerus",12
"Eocarpilius",12
"Eocephalites",12
"Eoryctes",12
"EOSCAPHELLA",12
"Eosigmoilina",12
"Episcynia",12
"Epomops",12
"Eremaeus",12
"Eresia",12
"Eressella",12
"Ericlotrypa",12
"Eriphyla",12
"Euaesthetus",12
"Eugralla",12
"Eulacestoma",12
"Eulimastoma",12
"Eumenes",12
"Eunoe",12
"Euomphalia",12
"Euphorbiophyllum",12
"Euroxenomys",12
"Eurybolbina",12
"Euryptyxis",12
"Fanninoceras",12
"Favicella",12
"Favoidioseris",12
"Feistmantelia",12
"Ferresium",12
"Fidia",12
"Figularia",12
"Firola",12
"Fistuliporella",12
"Flavohelodes",12
"Florometra",12
"Foliomena",12
"Fontannesia",12
"Fordinia",12
"Forstercooperia",12
"Fossuliella",12
"Fragarites",12
"Fritzaspis",12
"Galidia",12
"Gamakia",12
"Gazza",12
"Gemelliporidra",12
"Gen. indet.",12
"Geotrupes",12
"Gesseletina",12
"Gibbonsia",12
"Gilia",12
"Girtyocelia",12
"Glabratellina",12
"Glyptina",12
"Glyptometopsis",12
"Goldringia",12
"Gorgonisphaeridium",12
"Goura",12
"Graminocarpon",12
"Gramma",12
"GRANOTURRIS",12
"Grewgiphyllum",12
"Grypophyllum",12
"Gwynia",12
"Gynandrophthalma",12
"Gyroptychius",12
"Hadronector",12
"Haetera",12
"Haimesiastraea",12
"Hanleya",12
"Hapalogaster",12
"Haploceras",12
"Hassa",12
"Healdiacypris",12
"Hebomoia",12
"Hediste",12
"Hefriga",12
"Helianthaster",12
"Helicoplacoids",12
"Helina",12
"Heliophryne",12
"Hemiaspis",12
"Hemibagrus",12
"Hemicosmites",12
"Hemiculter",12
"Hemigymnus",12
"Hemimeryx",12
"Hemiphractus",12
"Heptastylis",12
"Heriades",12
"Herpetodryas",12
"Hetaerius",12
"Heterocaninia",12
"Heteropneustes",12
"Heterosternuta",12
"Hibbertia",12
"Hintziella",12
"Hippoglossus",12
"Histanocerus",12
"Histocidaris",12
"Historbitoides",12
"Holarchus",12
"Holcocrinus",12
"Homalenotus",12
"Homocystites",12
"Hoploplites",12
"Horaga",12
"Hostimella",12
"Hsiuannania",12
"Hydrops",12
"Hymanella",12
"Hypaeus",12
"Hypogastrura",12
"Hypogramma",12
"Illilepas",12
"Indet. Spiriferid Brachiopod",12
"Isis",12
"Isjuminella",12
"Isopodichnus",12
"Joanellia",12
"Johndearia",12
"Juniper",12
"Kaestlea",12
"Kallimoides",12
"Karakaschiceras",12
"Karreria",12
"Kheraiceras",12
"Kingaspis?",12
"Klamathites",12
"Kleinpella",12
"Knightites (cymatospira)",12
"Koneprusia",12
"Koronioceras",12
"Kumbadjena",12
"Labroides",12
"Lagopsis",12
"Lametila",12
"Laminatia",12
"Lamprosphaerus",12
"Lankascincus",12
"Laxitextella",12
"Lebiasina",12
"Lepidechinus",12
"Lepidophorus",12
"Leptipsius",12
"LEPTOCYTHERE",12
"Leptoria",12
"Lescuropteris",12
"Lesqueria",12
"Leucotabanus",12
"Leuronychus",12
"Leurostega",12
"Limnophora",12
"Linanthus",12
"LINDERINA",12
"Liohippelates",12
"Lissodus",12
"Lissopecten",12
"Lithochytris",12
"Lithostrontionoides",12
"Litocarpon",12
"Litsea",12
"Lobatopteris",12
"Loganograptus",12
"Longaconcha",12
"LORIPINUS",12
"Loxorhynchus",12
"Lucifuga",12
"Lumbricus",12
"Lupira",12
"Lychnocanium",12
"Lycodonus",12
"Lyobasis",12
"Lyrioceras",12
"Lyrogyrus",12
"Macropis",12
"Macropodia",12
"Makapania",12
"Malacomys",12
"Manteoceras",12
"Margaretes",12
"Marieita",12
"Marshallites",12
"Marshallora",12
"Martella",12
"Marwickcythereis",12
"Matonidium",12
"Medusaster",12
"Megacamelus",12
"Megachasma",12
"Megapenthes",12
"MEIOCARDIA",12
"Melagraphia",12
"Meloe",12
"MENESTHO",12
"Meniscolophus",12
"Mercimonia",12
"Meristosoma",12
"Mestognathus",12
"Metacyphocaris",12
"METAXIA",12
"Metrogaster",12
"Michelina",12
"Micrelenchus",12
"Micromelo",12
"Micromys",12
"Micropsitta",12
"Microstylum",12
"Microtoscoptes",12
"Miocidaris",12
"Mionictis",12
"Mississippina",12
"Mohoua",12
"Molanna",12
"Molge",12
"Molluscs",12
"Moniana",12
"Monocirrhus",12
"Monocraterion",12
"Monodechenella",12
"Monolepidorbis",12
"Morefieldella",12
"Morrisithyris",12
"Morrowcrinus",12
"Mucronella",12
"Multidentodus",12
"Muraenichthys",12
"Murrayoceras",12
"Muscigralla",12
"Mycetophila",12
"Myiodioctes",12
"Myonia",12
"Myriotheca",12
"Myxococcoides",12
"Naedyceras",12
"Nanillaenus",12
"Nannodiella",12
"Narona",12
"Narudasia",12
"Neacomys",12
"Negundo",12
"Nekrolagus",12
"Nelltia",12
"Nemesia",12
"Neomeris",12
"Neomultithecopora",12
"Neophylax",12
"Neophyllobius",12
"Neopilumnoplax",12
"Neopurcellia",12
"Neoschwagerina",12
"Nesomys",12
"Ningulella",12
"Nonomys",12
"Notholithocarpus",12
"Notiphila",12
"Notiphilides",12
"Novosatsuma",12
"Nudiorstra",12
"Nyctosaurus",12
"Ochthodromus",12
"Odontobasis",12
"Odontostomia",12
"Ogcodes",12
"Oligomerus",12
"Oniscia",12
"Onymagnostus",12
"Oodeia",12
"Ophidioceras",12
"Ophiolimna",12
"Ophiophthalmus",12
"Ophiosemnotes",12
"Oppia",12
"Oracanthus",12
"Orbipora",12
"Orbithele",12
"Oregonia",12
"Oricardinus",12
"Ornix",12
"Oroscena",12
"Orthomorpha",12
"Orthosphaeridium",12
"Osteobrama",12
"Ozotobrachion",12
"Pachycormus",12
"Pachylobius",12
"Pachymerinus",12
"Pachyoncus",12
"Paelopatides",12
"Palaeochrysa",12
"Palaeoprionodon",12
"Paleophycus",12
"Palliolatella",12
"Palmenella",12
"Palmetolepis",12
"Pandinus",12
"Parabathymyrus",12
"Parabigotites",12
"Paracharnia",12
"Paraderma",12
"Paragastroplites",12
"Parajuresania",12
"Paramarginifera",12
"Paramphithoe",12
"Paramya",12
"Paranerilla",12
"Parapontocaris",12
"Parapostibulla",12
"Parasilesites",12
"Parasporotheca",12
"Parastirpulina",12
"Parauchenoglanis",12
"Parnopes",12
"Paroeneis",12
"Parrina",12
"PARTHENINA",12
"Passiflora",12
"Patelloidea",12
"Peachocaris",12
"Pectinid",12
"Pectorhyncha",12
"Pedostibes",12
"Pegias",12
"Pelodiscus",12
"Pelseneeria",12
"Pemphixipollenites",12
"Penetrantia",12
"Periderm",12
"Petalochlamys",12
"Peytoia",12
"Pezoporus",12
"Phasia",12
"Phodopus",12
"Pholcophora",12
"Pholidechinus",12
"Pholoe",12
"Phrygilocrinus",12
"Phryidothyris",12
"Phyllodictya",12
"Phyllopora",12
"Phymatopleura?",12
"Phytalus",12
"Phytonomus",12
"Picnotreta",12
"Pierella",12
"Pinguitellina",12
"Pirabasoporella",12
"Pirascca",12
"Piscicola",12
"Pista",12
"Pithanotaria",12
"PLAESIOMYS",12
"PLAGIOPTYCHA",12
"Platydesmus",12
"Platysmurus",12
"Plectorhinchus",12
"Plesiocolopirus",12
"Pleurodapis",12
"Pleuromamma",12
"Pleurorthoceras",12
"Pleurotamaria",12
"Plocoscyphia",12
"Poeciliidae",12
"Pogonichthys",12
"Poiretia",12
"Pollostosperma",12
"Polusocrinus",12
"Polycelis",12
"Polydeltoides",12
"Polydolops",12
"Polymites",12
"Polyphylla",12
"Polystichum",12
"Pomatia",12
"Pontia",12
"Potimirim",12
"Preflorianites",12
"Prenaster",12
"Priolepis",12
"Prionorhynchia",12
"Prisodon",12
"Pristerodon",12
"Proanoplia",12
"Procassidulus",12
"Procellaria",12
"Procythereis",12
"Prodromites",12
"Proetus (pudoproetus)",12
"Promacrus",12
"Propleopus",12
"Prosapia",12
"Proscorpius",12
"Protaxocrinus",12
"Protengonoceras",12
"Proteroiulus",12
"Protimesius",12
"Protopsium",12
"Pseudaganides",12
"Pseudobranchiomma",12
"Pseudochroniades",12
"Pseudocrenilabrus",12
"Pseudofusulus",12
"Pseudogavelinella",12
"Pseudoglomospira",12
"Pseudolingulina",12
"Pseudoscops",12
"Pseudostichopus",12
"Pseudotechnophorus",12
"Psilocamara",12
"Psilonichnus",12
"Psychosaura",12
"Psylla",12
"Psylophyton",12
"Pterobairdia",12
"Ptiloncodus",12
"Ptiloscelys",12
"Pulmonata",12
"Pycnaspis",12
"Pycnotropis",12
"Pyrenestes",12
"PYRGO",12
"Pyrrhuloxia",12
"Quinquecapsularia",12
"RABDOTUS",12
"Rachiosoma",12
"Randallia",12
"Raumeria",12
"Remelana",12
"Remondia",12
"Reptonodicava",12
"Reteograptus",12
"Rhabdinopora",12
"Rhabdornis",12
"Rhinoraja",12
"Rhizopalmoxylon",12
"Rhodopis",12
"Rhombella",12
"Rhombotrypella",12
"Rhopalithes",12
"Rhynchpygus",12
"Rhytiodus",12
"Rhytisoria",12
"RICTAXIS",12
"Robustum",12
"Rudixylon",12
"Sabella",12
"Saccamminopsis",12
"Saccodon",12
"Sacculina",12
"Saidovina",12
"Saldula",12
"Samea",12
"Sarguinolites",12
"Sarsia",12
"Saucrophyllum",12
"Sauropsis",12
"Saxinis",12
"Scaphicarpum",12
"Scelidotherium",12
"Schellweinella",12
"Schilbe",12
"Schilderia",12
"Schizochiton",12
"SCHIZOMAVELLA",12
"Schizophrys",12
"Schizoretepora",12
"Schizostomella",12
"Schlotheimophyllum",12
"Sciadopitys",12
"Scinocephalus",12
"Scintilla",12
"Sciophyllum",12
"Sciponiceras",12
"Sciuroides",12
"Scleractinian",12
"Scolochrus",12
"Scyphophorus",12
"Sebastira",12
"Seelya",12
"Semicossyphus",12
"Sericoderus",12
"Sespia",12
"Sethocapsa",12
"Shantungaspis",12
"Simochromis",12
"Singa",12
"Siniperca",12
"Siparuna",12
"Smilorhis",12
"Solecardia",12
"Soleniscus?",12
"Solenocheilus",12
"Solomonosoma",12
"Sosticus",12
"Spandelina",12
"Sparodus",12
"Spathochlamys",12
"Spathorhynchus",12
"Sphaerapus",12
"Sphenoeacus",12
"Sphenolepsis",12
"Sphenotomorpha",12
"Sphenotus?",12
"Spiladopygia",12
"Spiroplectinella",12
"Spirotextularia",12
"Stainbrookia",12
"Stainforthia",12
"Starksia",12
"Staurodictya",12
"Staurognathus",12
"Steatogenys",12
"Steeriana",12
"Stegophiura",12
"Stenopamera",12
"Stephanolepis",12
"Stephanosella",12
"Stereoderma",12
"Sternarchogiton",12
"Stilosoma",12
"Stipiturus",12
"Stizoides",12
"Stomhypselosaria",12
"Storeia",12
"Stratiomys",12
"Strauzia",12
"Striatostyliolina",12
"Strictocostella",12
"Striithyris",12
"Strobilospongia",12
"Stroprhynchus",12
"Stylometra",12
"Subvishnuites",12
"Sulcatina?",12
"Sulcobasis",12
"Svratkina",12
"Symmachia",12
"Synastrea",12
"Syringopora?",12
"Syrnolopsis",12
"Syrrophus",12
"Syspira",12
"Syzygioides",12
"Tanaodus",12
"Tapocyon",12
"Technocrinus",12
"Tellina?",12
"Tentratilla",12
"Tentratula",12
"Terrakea",12
"Tessaradoma",12
"Teudopsis",12
"Thaanumella",12
"Thalictrum",12
"Thecesternus",12
"Themone",12
"Theodoxis",12
"Thesbia",12
"Thinodromus",12
"Thomasaria",12
"Throscus",12
"Thyonidium",12
"Tigoma",12
"Tilurus",12
"Tinoporus",12
"Tischeria",12
"Titanichthys",12
"Toeplitzella",12
"Tonganoxichnus",12
"Tortaxis",12
"Torynifera(reticularia",12
"Tosaia",12
"Totanus",12
"Townrovia",12
"Tracheoniscus",12
"Trachichthyidae",12
"Trachischium",12
"Trachydoma",12
"TRACHYLEBERIS",12
"Tremadictyon",12
"Treposella",12
"Trichodes",12
"Trichoniscus",12
"Trichopicus",12
"Tricladiodus",12
"TRINODUS",12
"Trioracodon",12
"Triplophyllites",12
"Tripneustes",12
"Trirrhabda",12
"Trochifusus",12
"Trochograptus",12
"Trocholina",12
"Tropidoceras",12
"Trujillina",12
"TRUNCATELLA",12
"Trymataspis",12
"Turnagra",12
"\Ulmaceae leaf\",12
"Unionites",12
"Urnulina",12
"Uropoda",12
"Urosticte",12
"Utahia",12
"Vasula",12
"Ventigo",12
"VENUS",12
"Venustaconcha",12
"Vermiliopsis",12
"Vibracellina",12
"VIRGULINELLA",12
"Volocephalina",12
"VOLUTICELLA",12
"VOLUTOMORPHA",12
"Wahpia",12
"Warthinia",12
"WATERSTONELLA",12
"Weeksina",12
"Weichselia",12
"Winnipegoceras",12
"Worm tubes?",12
"Worthenoceras",12
"Wortmania",12
"Xeroplexa",12
"Xestia",12
"Xyela",12
"Xystriphyllum",12
"Yarrella",12
"Yezoites",12
"Ypsilocucumis",12
"Zacanthopsis",12
"ZAFRONA",12
"Zalembius",12
"ZEBINELLA",12
"Zenatia",12
"Acanthogonatus",11
"Achelia",11
"Achorutes",11
"Acidiscus",11
"Acorus",11
"Acratus",11
"Acromycter",11
"Actineda",11
"Actinocucumis",11
"Actinodictya",11
"Actinopterella",11
"Actinostromella",11
"Acylocrinus",11
"Adkinsia",11
"Adontosternarchus",11
"Aetiocetus",11
"Affinocrinus",11
"Afghanella",11
"Agathomyia",11
"Agomphus",11
"Alderina",11
"Alectura",11
"Allantus",11
"Allocatillocrinus",11
"Allomengea",11
"Alocolytoceras",11
"Alopochen",11
"ALVEOLITES",11
"Alwoodia",11
"Ambloctonus",11
"Amblyderus",11
"Amblypharyngodon",11
"Amblypygus",11
"Amblytochiton",11
"Amentotaxus",11
"Ampelioides",11
"Amphicentrum",11
"Amphiporella",11
"Amphiroa",11
"Amphitherium",11
"Amplexusis",11
"Anaspides",11
"Anax",11
"Anchicrinus",11
"Ancistrorhynchia",11
"Anelaphus",11
"Ankistrosperma",11
"Anotheca",11
"Anthenea",11
"Antholites",11
"Anthonya",11
"Antisabia",11
"Aphelocephala",11
"Aphera",11
"Apostolepis",11
"Archaeoglenes",11
"Archaeonassa",11
"Archaepyrgus",11
"Archaster",11
"Archiclimacograptus",11
"Archimyrmax",11
"Arcthoplites",11
"Arctogalidia",11
"Armiger",11
"Arthracantha",11
"Arthrorhachis",11
"Aschnaoonops",11
"Aspidagnostus",11
"Aspidodiadema",11
"ASTEROSMILIA",11
"Asthenoceras",11
"Asthenothaerus",11
"Astrapogon",11
"Atalopegaster",11
"Atalotriccus",11
"Atomyia",11
"Atopichthys",11
"Attalea",11
"Auliscus",11
"Australosomus",11
"Avascutellum",11
"Avenia",11
"Aviculopectinid",11
"Baeomorpha",11
"Baggatella",11
"Baicalia",11
"Bakeriella",11
"Balanerodus",11
"Balclutha",11
"Barasaurus",11
"Barrandia",11
"Batagur",11
"Bathopora",11
"Bathypecten",11
"Bathystoma",11
"Batonota",11
"Bekoma",11
"Belba",11
"Bellacartwrightia",11
"Bellornatia",11
"Bennettites",11
"Benthamaspis",11
"Biarritzina",11
"Birostrina",11
"Bivalvia",11
"Biziura",11
"Blaesospira",11
"Bonellia",11
"Boocercus",11
"Botryllopora",11
"Bouleiceras",11
"Brachythrina",11
"Brancoceras",11
"Branisella",11
"Brasiliscincus",11
"Bryconaethiops",11
"Buccinaria",11
"Buccinium",11
"Bucculatrix",11
"Bulia",11
"Buteo?",11
"Butreron",11
"Bythocyproidea",11
"Cabassous",11
"Caberea",11
"CADELLA",11
"Caducifer",11
"Calathospermum",11
"Calcitornella",11
"Callidium",11
"CALLISTOCHITON",11
"Callonetta",11
"Calluella",11
"CALORHADIA",11
"CALUSACYPRAEA",11
"CAMAROTOECHIA",11
"Candacia",11
"Canutrypa",11
"Capparis",11
"Capsus",11
"Carangopsis",11
"Carcinophyllum",11
"Carnegiella",11
"Carniferella",11
"Carphodactylus",11
"Caryogyps",11
"Cassidirostrum",11
"Cathaya",11
"CATIVELLA",11
"Cavaria",11
"Centronea",11
"Centronelloidea",11
"Ceutholestes",11
"Chalarostrepsis",11
"Chamaebatia",11
"Champlainia",11
"Chapoda",11
"Charliea",11
"Cheirurus?",11
"Chelon",11
"Cherokia",11
"Chilades",11
"Chilodus",11
"Chinchilla",11
"Chionella",11
"Chlamytherium",11
"Choanomphalus",11
"Chondrothyretes",11
"Choneziphius",11
"Choristoceras",11
"Chromodoris",11
"Chrysocyon",11
"Chunia",11
"Chydaeus",11
"Cirriformia",11
"Citharinus",11
"Clastes",11
"Clathrodrilla",11
"Clepticus",11
"Climacoconus",11
"CLIMACOIDEA",11
"Clinocera",11
"Clinophyllum",11
"Clintonella",11
"Cliotrypa",11
"Cloeosiphon",11
"Clonocrinus",11
"Clusia",11
"Coccolobis",11
"Coeliaxis",11
"Cogia",11
"Colaptomena",11
"COLPOPHYLLIA",11
"Combresomyces",11
"Compsothraupis",11
"Conchoderma",11
"\Cone\",11
"Conocarpus",11
"Conopias",11
"Contortophyllum",11
"Cooperoceras",11
"Corbulomya",11
"Cornutella",11
"Corophium",11
"Corthylus",11
"Coryphistera",11
"Cossmannea",11
"Cotinus",11
"Cotteswoldia",11
"Craugastor",11
"Creciscus",11
"Crioceridea",11
"Crocidopoma",11
"Cryptogoleus",11
"Cryptopterus",11
"Ctenochelys",11
"Cumingsoceras",11
"Cuna",11
"Cunicularius",11
"Cupulella",11
"Cycadopteris",11
"Cyclendoceras",11
"Cycleryon",11
"Cyclocrinus",11
"Cylindromyrmex",11
"Cyllidium",11
"Cylloepus",11
"Cymo",11
"Cyprea",11
"Cypridopsis",11
"Cyrtonybyoceras",11
"Cyrtospirier",11
"Cytharella",11
"Cytheria",11
"Cytherina",11
"Cytherissa",11
"Dakayia",11
"Dalatias",11
"Dalmatolacerta",11
"Damesops",11
"Danubites",11
"Dasmia",11
"Dasystoma",11
"Davidaster",11
"Dearbornia",11
"Deltatreta",11
"Densastroma",11
"Deomys",11
"Dermorrhytis",11
"Desatrypa",11
"Deuterodon",11
"Diademopsis",11
"Diaethria",11
"Diaptomus",11
"DIASTOMA",11
"Diastrophus",11
"Dichocoenia",11
"Didymaulichnus",11
"Didymocentrus",11
"DIENEROCERAS",11
"Dilobocondyla",11
"Dimeropygiella",11
"Dimorphodon",11
"Dinocheirus",11
"Dioxycaris",11
"Diplocardia",11
"Diplocidaris",11
"Diplosphaerina",11
"Discamphiceras",11
"Discitoceras",11
"Distephanus",11
"Ditremaster",11
"Doricha",11
"Dorsoobliquella",11
"Dorvillea",11
"Doryagnostus",11
"Dorytreta",11
"Douvillinoides",11
"Dowlingoceras",11
"Dremotherium",11
"Drepane",11
"Droltus",11
"Dryope",11
"Dryptus",11
"Drysdalia",11
"Dussumieria",11
"Dybowskiella",11
"Dyslobus",11
"Dystactophycus",11
"Echemus",11
"Echinocyanus",11
"Echinodictyum",11
"Echinotiara",11
"Ecnomiophyllum",11
"Ectosteorhachis",11
"Edmontonia",11
"Eifeloceras",11
"Eilica",11
"Eisenia",11
"Elasmosaurus",11
"Eldoradia",11
"Eldredgeia",11
"Electroma",11
"Elektoriskos",11
"Elona",11
"Elymella",11
"Emelinus",11
"Empoascanara",11
"Enicmus",11
"Entomaspis",11
"Eocylindroteuthis",11
"Eogymnotoceras",11
"Eohollina",11
"Eomuscardinus",11
"Eostrotion",11
"Epidomatoceras",11
"Epidromus",11
"Epithemella",11
"Epitragus",11
"Eponidella",11
"Eridophyllum (diphphyllum)",11
"Erismatura",11
"Eroicaspira",11
"Erymnaria",11
"Erythrocebus",11
"Eucamptognathus",11
"Euchirella",11
"Euhapsis",11
"Eumarcia",11
"Eumicrotis",11
"Eumicrotremus",11
"Euoplocephalus",11
"Eurtypterus",11
"Eurycaelon",11
"Eustrophus",11
"Eutermes",11
"Eutreta",11
"Exochella",11
"Exputens",11
"Faberolasma",11
"Falsilyria",11
"Falsipollex",11
"Faraudiella",11
"FARGOA",11
"Fectola",11
"Fendlera",11
"Finmarchinella",11
"Flabellotrypa",11
"Flectorivus",11
"Florinites",11
"Folinella",11
"Fortipecten",11
"Fothergilla",11
"Friersonia",11
"Fulpia",11
"Funiculina",11
"Furcifer",11
"Fusiella",11
"GALACTICUS",11
"Galbalcyrhynchus",11
"Galerus",11
"Galloperdix",11
"Garcinia",11
"Gasconadia",11
"Gasterocoma",11
"Gattendorfia",11
"Gaudeamus",11
"Geckolepis",11
"Geitoneura",11
"Gemellipora",11
"Geminospira",11
"Genota",11
"Geogarypus",11
"Geoteuthis",11
"Gigantiops",11
"Gigantopithecus",11
"Gigantopora",11
"Gingerichia",11
"GISORTIA",11
"Glauconia",11
"Globodoma",11
"Glossosoma",11
"Glycimeras",11
"Glyphodeta",11
"Glysterus",11
"Gnolus",11
"GOGIA",11
"Gomphostrobus",11
"Goniagnostus",11
"Goodrichia",11
"Graminella",11
"Grammonus",11
