"genus","reps"
"Ceraurus",2258
"Chamaeleo",2256
"Lycaena",2254
"Australca",2251
"Zaphrentis",2248
"Carpodacus",2245
"Diaphragmus",2232
"Blarina",2229
"Palaeoneilo",2227
"Carcharias",2223
"Gastrotheca",2218
"Cystiphyllum",2217
"Trachylepis",2216
"Succinea",2212
"Thambetochen",2209
"Alnus",2202
"Alethopteris",2191
"Amia",2185
"MERCENARIA",2176
"Wood",2171
"Spizella",2167
"Melanerpes",2156
"SCLERASTERIAS",2154
"Fistulipora",2150
"Meleagris",2144
"Ambocoelia",2143
"Meekella",2143
"Empidonax",2142
"Ondatra",2139
"Acmaea",2138
"Procamelus",2125
"Pleurotoma",2121
"Ceratoscopelus",2116
"Hebertella",2116
"Leptodactylus",2115
"Nodosaria",2114
"Phenacodus",2112
"Thamnophis",2112
"Unknown",2108
"Rhinoptera",2105
"Pelycodus",2083
"Eremophila",2081
"Apalone",2073
"Lingula",2069
"Pitar",2068
"Merycoidodon",2065
"Mitra",2060
"Terrapene",2044
"Cycadeoidea",2042
"Leiorhynchus",2041
"Thunnus",2031
"Dictyoclostus",2027
"Spisula",2026
"Plant",2016
"Smilodon",2009
"Clethrionomys",2005
"Oreophryne",2004
"Mustela",2000
"Calliostoma",1993
"Sarda",1989
"Chonetinella",1987
"Lophophyllum",1984
"CRUCIBULUM",1977
"Nausitora",1976
"Stropheodonta",1976
"Balanus",1974
"Platanus",1966
"Gonostoma",1963
"Beecheria",1960
"Eptesicus",1952
"Pediomys",1947
"Ictalurus",1944
"Lepidodendron",1943
"Puffinus",1943
"NASSARIUS",1940
"Globigerinita",1925
"Tullimonstrum",1925
"Notophthalmus",1923
"Triarthrus",1922
"Fissispongia",1917
"Paratrechina",1916
"Lymnaea",1912
"Lepidostrobus",1898
"Paramys",1898
"Sitta",1894
"Lingulella",1892
"Sowerbyella",1889
"Worthenia",1889
"Dentalina",1887
"Nyctimystes",1886
"Emberiza",1879
"Platymantis",1879
"Sciurus",1875
"Tyrannus",1875
"Burgessia",1872
"Myiarchus",1872
"Agelaius",1871
"Bulimina",1870
"Rangifer",1869
"Aphelops",1865
"Vermivora",1865
"Ectocion",1864
"Brotomys",1853
"Orbiculoidea",1852
"Cibicides",1846
"Hystriculina",1846
"Euphilotes",1841
"Eurycea",1836
"Odontaspis",1836
"Nylanderia",1834
"Microsyops",1833
"Pleurotomaria",1826
"Sterna",1826
"Placerias",1815
"Arenicolumba",1813
"Corbicula",1813
"Caryocrinites",1811
"Erolia",1807
"Geisonoceras",1799
"Haplomylus",1799
"Afrixalus",1796
"Hymenocaris",1794
"Rhynchotrema",1794
"Phestia",1790
"Strophodonta",1789
"Mammut",1788
"Heliophyllum",1787
"Callianax",1784
"Strumigenys",1774
"Benthosema",1773
"Ammonites",1772
"Cyathophyllum",1766
"Oreolagus",1763
"Paramylodon",1762
"Maeandrostia",1756
"Merluccius",1756
"Rallus",1756
"Turbonilla",1751
"Ficus",1748
"PLICATULA",1744
"Archimedes",1743
"Conostoma",1739
"Michelinia",1738
"Nothokemas",1738
"Calymene",1726
"Lyrodus",1719
"Lanius",1717
"Anthus",1716
"Ectypodus",1716
"Epitonium",1709
"Planorbis",1706
"RHYNCHOLAMPAS",1705
"Sturnella",1703
"Gymnanthelius",1699
"Gonatodes",1694
"Buccinum",1692
"Isotelus",1689
"Plesiadapis",1689
"Finkelnburgia",1668
"Zamites",1667
"Orthostrophia",1664
"MACROCALLISTA",1659
"Anaxyrus",1657
"Dalmanites",1656
"Robulus",1655
"Glaucomys",1648
"Accipiter",1643
"Indet. Bivalve",1643
"Tachycineta",1642
"Uvigerina",1641
"Agama",1635
"Whitfieldella",1633
"Cordaites",1628
"Sphenodiscus",1628
"Piranga",1627
"Quadrula",1620
"Wellerella",1614
"Colostethus",1612
"OLIVA",1611
"CARDITAMERA",1610
"Turbo",1598
"Charadrius",1595
"Terebratula",1594
"Climacograptus",1583
"Venus",1582
"Metasequoia",1579
"Apteribis",1577
"Modiolus",1577
"Vulpes",1569
"Mya",1568
"Antiquatonia",1566
"MULINIA",1565
"Limnebius",1561
"Morania",1560
"Cyclonema",1554
"Nudirostra",1553
"Scalopus",1546
"Jeletzkytes",1539
"Textularia",1537
"Megalonyx",1536
"Passerina",1536
"Zygospira",1536
"Odontomachus",1532
"GLYCYMERIS",1531
"Mesohippus",1529
"Danaus",1528
"PRUNUM",1522
"Nassa",1521
"Helicina",1517
"Neritina",1517
"Phylloscopus",1516
"Lagena",1512
"Tapinoma",1511
"Quinqueloculina",1509
"Xenopus",1506
"Plagiostomoceras",1503
"Troglodytes",1497
"CANCELLARIA",1494
"Sequoia",1488
"Streptelasma",1488
"TEREBRA",1486
"Eucalyptocrinites",1485
"Chama",1482
"Rattus",1482
"Bulimulus",1481
"Discoscaphites",1481
"Paradjidaumo",1481
"Peradectes",1480
"Polymita",1478
"Girtyocoelia",1473
"Achistrum",1472
"Abies",1470
"Squalicorax",1457
"Bolinichthys",1456
"Orthis",1456
"Uncinulus",1454
"Naticopsis",1452
"Purgatorius",1451
"Hypertragulus",1447
"Flexicalymene",1445
"Acanthotelson",1444
"Homotrypa",1438
"Marginella",1436
"Yoldia",1428
"Mactra",1423
"OSTREA",1423
"Pliohippus",1423
"Rhynchonella",1422
"ARCA",1420
"Baptemys",1420
"Sternoptyx",1419
"Satyrium",1402
"Nectarinia",1400
"Lima",1399
"Amazilia",1393
"Lepidophanes",1387
"MELONGENA",1385
"Quiscalus",1384
"Copemys",1379
"Melania",1379
"Tamiasciurus",1376
"Elphidium",1375
"Pisidium",1369
"Cancellaria",1368
"Cretolamna",1367
"Schizodus",1364
"Hemiaster",1363
"Septimyalina",1362
"Sialia",1362
"Fusulina",1359
"Lobianchia",1359
"STROMBUS",1359
"Atractosteus",1358
"Delias",1358
"Gopherus",1358
"Hypoponera",1358
"Macrocranion",1357
"Rhipidomelloides",1354
"Columbella",1353
"Sphaerium",1353
"Hesperorthis",1347
"Liolaemus",1347
"Tangara",1347
"Colaptes",1341
"Coelocladia",1339
"Amphiscapha",1337
"Thryothorus",1332
"Fissurella",1330
"Nuculites",1329
"Schwagerina",1329
"Merycodus",1328
"Vinlandostrophia",1328
"Sternotherus",1324
"Gastrocopta",1323
"Eoasianites",1322
"Obolus",1320
"Trochus",1319
"Erisocrinus",1318
"Geomys",1313
"Helicella",1313
"Callophrys",1304
"Sieberella",1304
"Thyasira",1303
"Ammobaculites",1296
"Plicatula",1296
"Medullosa",1295
"Perognathus",1294
"Osteopilus",1293
"Marginulina",1290
"CHICOREUS",1288
"Contopus",1288
"Elrathia",1288
"Ursus",1286
"Cyrtina",1285
