"index.genus","reps"
"mytilus",2220
"hebertella",2215
"thambetochen",2209
"streptelasma",2206
"lycaena",2204
"fistulipora",2196
"alethopteris",2192
"sclerasterias",2187
"amia",2185
"ondatra",2179
"anodonta",2178
"procamelus",2172
"wood",2171
"spizella",2170
"semele",2167
"acmaea",2166
"meleagris",2157
"paratrechina",2152
"meekella",2150
"rhyncholampas",2146
"merycoidodon",2145
"chicoreus",2141
"platymantis",2138
"lingula",2137
"busycon",2128
"orthis",2118
"ceratoscopelus",2117
"empidonax",2117
"phenacodus",2113
"thamnophis",2111
"pelycodus",2110
"unknown",2108
"rhinoptera",2105
"apalone",2081
"eremophila",2081
"goniobasis",2054
"terrapene",2051
"cycadeoidea",2042
"pleurotoma",2039
"ammodramus",2032
"lophophyllum",2031
"nodosaria",2021
"plant",2016
"viviparus",2015
"smilodon",2009
"chonetinella",2007
"oreophryne",2004
"quadrula",1995
"heliophyllum",1990
"succinea",1989
"sarda",1986
"laevicardium",1983
"nausitora",1979
"platanus",1976
"orbiculoidea",1969
"melongena",1959
"beecheria",1958
"lepidodendron",1957
"emberiza",1951
"notophthalmus",1949
"pediomys",1947
"olenellus",1944
"fissispongia",1943
"puffinus",1939
"fasciolaria",1938
"sowerbyella",1937
"helicina",1933
"triarthrus",1931
"columbina",1929
"mustela",1925
"tullimonstrum",1925
"worthenia",1918
"microsyops",1908
"larus",1907
"lepidostrobus",1905
"pleurotomaria",1905
"paramys",1903
"antiquatonia",1900
"sitta",1894
"eptesicus",1891
"lymnaea",1886
"modiolus",1886
"tyrannus",1886
"leptothorax",1884
"gonostoma",1879
"alnus",1877
"anaxyrus",1874
"eurycea",1873
"rhynchotrema",1873
"burgessia",1872
"myiarchus",1872
"brotomys",1869
"rangifer",1869
"unio",1868
"astartella",1865
"ectocion",1864
"cibicides",1862
"globigerinita",1861
"juresania",1858
"hystriculina",1847
"pectinia",1845
"aphelops",1834
"dentalina",1826
"ictalurus",1824
"placerias",1815
"arenicolumba",1813
"murex",1811
"mammut",1806
"haplomylus",1805
"sciurus",1801
"corbicula",1798
"afrixalus",1796
"hymenocaris",1794
"texigryphaea",1794
"tegula",1792
"callianax",1784
"temnothorax",1784
"benthosema",1773
"caryocrinites",1772
"microporus",1770
"archimedes",1769
"bulimina",1766
"maeandrostia",1764
"oreolagus",1763
"paramylodon",1763
"merluccius",1756
"michelinia",1755
"glaucomys",1754
"plesiadapis",1753
"trachycardium",1748
"agelaius",1744
"ammonites",1743
"carduelis",1742
"conostoma",1739
"nothokemas",1738
"odontaspis",1737
"barbatia",1734
"uncinulus",1734
"ectypodus",1729
"lyrodus",1726
"isotelus",1721
"buccinum",1717
"lanius",1717
"anthus",1716
"bulla",1716
"tamias",1708
"rallus",1705
"dictyoclostus",1703
"sturnella",1703
"gonatodes",1701
"chamaeleo",1700
"gymnanthelius",1699
"tachycineta",1697
"yoldia",1696
"calymene",1691
"charadrius",1680
"lingulella",1679
"anthracospirifer",1677
"orthostrophia",1673
"dalmanites",1672
"zamites",1669
"finkelnburgia",1668
"whitfieldella",1668
"terebratula",1667
"phestia",1662
"mendacella",1650
"accipiter",1644
"indet. bivalve",1643
"robulus",1635
"prunum",1632
"piranga",1629
"cordaites",1628
"cucullaea",1622
"hemiaster",1621
"melampus",1621
"wellerella",1621
"eomarginifera",1620
"erolia",1614
"nucella",1609
"textularia",1605
"cyclocardia",1604
"thynnus",1603
"nylanderia",1598
"spondylus",1598
"mya",1594
"planorbis",1592
"climacograptus",1590
"uvigerina",1589
"flexicalymene",1588
"angeisonoceras",1586
"cyclonema",1582
"metasequoia",1580
"apteribis",1577
"zygospira",1574
"euphilotes",1572
"rhynchonella",1569
"phylloscopus",1567
"obolus",1564
"lagena",1562
"limnebius",1561
"scalopus",1561
"morania",1560
"vulpes",1560
"sphaerium",1548
"neritina",1547
"tagelus",1535
"odontomachus",1532
"rattus",1532
"crassatella",1529
"ambocoelia",1528
"danaus",1528
"mactra",1524
"betula",1523
"tringa",1522
"architectonica",1520
"megalonyx",1520
"quinqueloculina",1518
"caryocorbula",1513
"jeletzkytes",1512
"sterna",1511
"xenopus",1506
"tapinoma",1504
"phacoides",1503
"plagiostomoceras",1503
"troglodytes",1497
"sequoia",1495
"diplodonta",1491
"discoscaphites",1490
"ilyanassa",1489
"naticopsis",1485
"polymita",1485
"eucalyptocrinites",1482
"paradjidaumo",1481
"achistrum",1475
