"identifiedBy","reps"
"M. P. Fahey",1016
"Charles E. Beecher",1011
"Kier",1011
"Lochman, Christina",999
"Gary S. Morgan",993
"Donald S. Chandler",986
"Jason R. Bourque",979
"Andrew E. Jahn",978
"Macurda",977
"Roy R. Snelling",976
"Julie Rousseau",970
"Addicott",965
"Rowland M. Shelley",964
"Moe, AP",956
"Scott, V",945
"Johannes G. Thewissen",928
"Brown, Parker",924
"TC McElrath",924
"Edward I. Leith",923
"Breda M. Zimkus",912
"Adam Brunke",910
"Cass Ariey",904
"André Francoeur",894
"Horacio Higuchi",890
"Tyson R. Roberts",890
"Cushman; Todd",877
"David L. Shores",874
"J.K. Adams",866
"Mr. Jack Wittry : The Field Museum",865
"Nicolay V. Parin",864
"Gladwyn Kingsley Noble",853
"Palmer",835
"William Barker",834
"Russell D. White",824
"Jay Cordeiro",819
"Carrano, Matthew T., Curator (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",816
"Robert  K. Johnson",815
"John T. Longino",814
"Bermudez",811
"Gidley",798
"Kevin C. May",796
"(Hall)",787
"Canu, Ferdinand; Bassler, Raymond S.",786
"Whittington",784
"Allen E. Greer, Jr., Fred S. Parker",783
"Stephenson, Lloyd William",782
"Orr, William",779
"Douglass",774
"Katherine L. Anderson",765
"Hollick",762
"Joseph C. Bequaert",760
"David M. Sherwood",755
"Hubert Lyman Clark",751
"Boucot",749
"Hiro Mori",748
"Serge Laplante",744
"Flavio C.T. Lima",740
"Percy E. Raymond",740
"Mark Omura",734
"Henry J. Messing",733
"Swain",730
"James",719
"Lesquereux, Leo",717
"Brian E. Heterick",710
"Peter W. Bretsky",709
"Bernhard A. Huber",708
"PIRE Interns",706
"Sean M. Kent",706
"Jim Barkley",700
"Richard L. Haedrich",689
"Jennie D. Dart",687
"Knowlton",684
"MacNeil",682
"Olson; James",672
"Othniel C. Marsh",668
"Todd; Low",665
"Judith Marie Chupasko",661
"Morse & Vitek",659
"Rachel L. Hawkins",659
"Samuel Walton Garman",656
"Cristina Rheims",653
"Ben J. Evans",652
"David I. Jablonski",647
"Mary J. Rathbun",642
"Joel Asaph Allen",641
"Kenneth A. Tighe",639
"R. B. Blodgett",635
"Barrande/1846",632
"Lawrence",631
"Thomas Barbour",630
"Huddle",628
"Ross",626
"William H. Dall",625
"Thomas A. Hegna",624
"Richard E. Glor",622
"Foster",612
"Fabio Laurindo da Silva",611
"Bruce B. Collette",609
"Ausich, William I., (OSU), Ohio State University (UNITED STATES)",607
"Leo J. Hickey",607
"Kirk Bryan",606
"Dr. Matthew H. Nitecki",600
"J. Angel Soto-Centeno",600
"Barrande/1852",596
"Chapman Grant",596
"Sohn",596
"Emlong, Douglas Ralph, (UNITED STATES)",595
"Ladd",595
"W. Bryan Jennings",595
"Ben Collins",593
"Samuel J. Ciurca",591
"Thomas E. Savage",588
"Grant",587
"Kunze, F",583
"S. C. Bennett",583
"Shi; Grant",582
"Sohl, Norman Frederick, (USGS), U.S. Department of the Interior - U.S. Geological Survey",582
"Sebastián Vélez",580
"Oriol Lapiedra",577
"Karsten E. Hartel, James E. Craddock",574
"Ernest E. Williams",572
"Boulenger",571
"Patrick McCormack",568
"Edward B. Cutler",566
"Kazar, Emese",564
"Lorenzo Prendini",564
"Cobban; Kennedy",563
"Leckey, Erin",563
"Mound",561
"Frederick A. Braun",560
"Evanoff, E8",557
"Gorochov, Andrej V., Russian Academy of Sciences",557
"Catherine Linnen",556
"Leroy",555
"Shane Campbell-Staton",554
"Fontaine",551
"Cope",547
"Jennifer W. Trimble",546
"Theodore A. Kuhn",545
"James B. Knight",543
"Robert S. Anderson",543
"Greg D. Edgecombe",542
"Georg Statz",541
"Stephen T. Hasiotis",532
"Darling K. Greger",530
"Liz Nesbitt",530
"Auguste-Henri Forel",522
"Byrd, Christina",521
"Gretchen E. Goodbody-Gringley",520
"Elizabeth A. Tabarani",519
"Hotton, Nicholas, III, (UNITED STATES)",517
"Dodd, Jackson",516
"Smith, Jansen",515
"Heather MacFarlane",513
"Ray, Clayton Edward, (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",511
"Vokes",510
"Edwin B. Branson",509
"RICHARD GAISSER",505
"J. William Stubblefield",504
"Bernd Jaeger",503
"Blake",502
"Kendall_1994",502
"Elisabeth Deichmann",500
"Christopher J. Raithel",499
"Pincelli Hull",498
"Sarah Lemer",496
"Myers",495
"Charles W. Thayer",494
"Edward Chatelain",492
"Emmett Reid Dunn",491
"Vaughan",489
"L. Boucher Clark",484
"Van Wallach",484
"Joseph G. Carter",482
"Oliver",482
"Katharina C. Wollenberg",481
"Foreman",478
"Jocelyn A. Sessa",476
"Chester A. Reeds",475
"Thomas Say",474
"Evans",473
"Carter",470
"Briggs",469
"Adam J. Baldinger",468
"Gordon",464
"George C. Waldren",458
"William C. Schroeder",458
"Gardner",452
"Adolf Seilacher",450
"Antony S. Harold",449
"William L. Krinsky",447
"Carlos R. Infante",446
"Schreiber, Kendra",446
"Walter G. Joyce",444
"Karklins",442
"Joanna G. Larson",439
"(Owen+Shumard)",439
"Austin Hendy",437
"Theodore W. Pietsch",437
"Peter Brazaitis",436
"Alpheus Hyatt",435
"Frederic B. Schell",433
"Tyson R. Roberts, Donald J. Stewart",432
"Robert H. Gibbs",431
"Blow, Warren Carter, (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",430
"Cooke",428
"Charles T. Brues",427
"L Fuller",427
"Hoover",425
"Andrea Polanco",423
"George A. Bennett",423
"Katherine Eldridge",423
"Kenneth D. Rose",422
"Jih-Pai Lin",421
"Guenther",420
"Matthew M. Prebus",420
"Jack Shaw",416
"Ulrich Jansen",414
"Charles L. Phillips",413
"John P. Kelly",413
"Mark Mello",413
"Platnick and Duperre",413
"Sando",412
"Alphonse Milne-Edwards",411
"Kellogg",411
"Lindsay Walker",410
"Andrew B. Smith",408
"Bassler, Raymond S",407
"Janet Burke",407
"JOHN T. TROUPE",407
"Cushman; Renz",403
"Linnaeus",403
"University of Rhode Island",402
"Douglas Causey",400
"Ross Secord",400
"Poag, C. Wylie, U.S. Geological Survey (UNITED STATES)",398
"Arthur C. Cole, Jr.",397
"Sara S. Bretsky",397
"Pamela Groves, Michael Kunz, Dan Mann",395
"Vanessa Knutson",395
"Erik Bertelsen",393
"MacNeil; Dockery",391
"McDougall",390
"Daniel Scantlebury",389
"Domning, Daryl Paul, Howard University (UNITED STATES)",388
"Leslie N. Carraway",384
"Jonathan Q. Richmond",382
"Naercio A. Menezes",382
"Adam Clark",381
"Moore",381
"Werner",381
"Harper; Boucot",377
"Conway Morris, Simon, (CAM), University of Cambridge (UNITED KINGDOM)",376
"Elissa S. Martin",375
"Geoff Moser",375
"David E. Schindel",374
"Adalberto J. Santos",371
"Simonetta; Delle Cave",369
"Meghan Shay",368
"Yunke Wu",368
"Christopher P. Kenaley, Karsten E. Hartel",367
"Stephen F.   Norton",366
"Olson; Pregill, Gregory K.; Hilgartner",364
"Willis J. Gertsch",363
"Fairchild",359
"Brent D. Opell",355
"Jesse J. Galloway, Joseph St. Jean",354
"Mansfield",353
"D'ORBIGNY",351
"Rituparna Bose",351
"Silvard P. Kool",350
"Vladimír Šilhavý",350
"Masters",349
"Thomas C McElrath",349
"Wilmot W. Brown, Jr.",349
"Carpenter",347
"Ulrich",347
"Wachsmuth, Charles; Springer",347
"Hendricks, Jonathan",346
"John Allen",346
"John C. Poynton",346
"Meek",346
"Andrews, Jean",345
"Francisco Hita Garcia",343
"Jury A. Rudyakov",343
"B. Snyder",342
"Rasetti, Franco Dino",342
"Renz",342
"F. Christian Thompson",341
"G. J. Bird, ii.1989",341
"Louis Agassiz",341
"A. J. Provenzano",340
"Axelrod",340
"Bowditch",339
"J. S. Ascher",339
"Churkin; Carter",338
"Springer",338
"Resser, Charles Elmer, Smithsonian Institution - (NMNH) National Museum of Natural History",337
"Luciana Musetti",336
"Hass",335
"D. Higgins",334
"Schmidt",334
"Hawle et Corda/1847",333
"Nicholas R. Longrich",333
"Oona M. Takano",333
"Charles Edward Hamlin",332
"Peters",332
"AL",331
"Dennis McGillicuddy",331
"E. T. Nelson",331
"Stanton",329
"Bandy",328
"Silberling; Nichols",324
"Leopold Conradt",323
"Prashant Sharma",322
"William G. Dietz",321
"Cockerell, TDA",320
"Walentine, Collin",320
"William Stimpson",320
"Cushman; Stainforth",318
"Eliza Rorabaugh",318
"Wayne David Sissom",318
"Foerste",317
"Inbar Maayan",316
"Richard E. Dodge",316
"Paul K. Lago",315
"V. T. Chambers",315
"Howell",313
"Lauri L. Lear",312
"Packard",311
"(Barrande)",310
"Clark",310
"Cooper; Dutro",310
"Dekay",309
"Wolfe, Jack A.; Tanai",308
"JEC",307
"Malcolm R. Thorpe",307
"Benjamin Shreve",306
"Cronin",306
"Wahlman, Gregory P., Wahlman Geological Services, LLC (UNITED STATES)",306
"Ronald M. Clouse",304
"Glenn Shea",303
"William Louis Brown Jr.",303
"Ken P. Sebens",302
"Filipe M. Porteiro",301
"Camille Heninger",300
"Flint",299
"Nicholas G. McDonald",298
"James K. Adams",297
"Gary C. B. Poore",296
"Seddon, George",296
"Arnold",294
"Dr. Terrence J. Frest",294
"Outram Bangs",294
"Giles W. Mead, Jr.",293
"Hough",293
"Biedron, Eva",292
"Schlotheim",292
"NICOLE CANNAROZZI",291
"Kirk R. Johnson",290
"Carl H. Eigenmann",289
"Edward G. Riley",289
"Pregill, Gregory K., (USD), University of San Diego (UNITED STATES)",289
"Pojeta, John, Jr., (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",288
"Predeek, Dave",288
"Anne W. Everly",287
"Clarke; Swartz",287
"Yochelson",287
"Allen R. Brady",286
"Ingi Agnarsson",286
"Kate Sheridan",286
"Alexander Mastriano",285
"Caitlin M. Baker",285
"Thomas Barbour, Arthur Loveridge",285
"Allen E. Greer, Jr., Parker",282
"Kennedy, William J.; Cobban, William A.; Landman, Neil H.",281
"Stephen G. Chester",281
"Boucot; Johnson",280
"Pierre Jean Edouard Desor",280
"Phillip C. Heemstra",279
"Amsden",277
"Merriam",277
"Ellison",274
