"identifiedBy","reps"
"Hank Guarisco",16
"Hebrew Univ., Jerusalem, Dept. of Entomology",16
"Helen K. Larson",16
"Herm; Kaufman; Wiedmann, Jost",16
"Hine",16
"Holmes",16
"Hyatt+Smith, Kummel+Steele",16
"James E. Craddock, David L. Shores",16
"James Whalen",16
"J. Coddington, 1985; E. Wienskoski, Aug. 2008",16
"J. E. Gillaspy",16
"Jesse J. Galloway, George M. Ehlers",16
"Jesse S. Robertson Jr.",16
"John C. Barry",16
"Jon D. Witman",16
"Jose Rafa",16
"J. Wells",16
"Karl Wilhelm Verhoeff",16
"Kathrin Näpflin",16
"Keiji Baba, Mary K. Wicksten",16
"Keir; Smith",16
"Klapper",16
"Landing; Taylor; Erdtmann",16
"Laurent-Guillaume de Koninck, Rolfe",16
"Ledger, Cards",16
"Lindstrom",16
"Liu",16
"Margaret Kathryn Thayer",16
"Marina V. Loeb",16
"Marland Pratt Billings, Stumm",16
"Mehl; Rigby; Holmes",16
"M. Glaubrecht, Dec. 1998",16
"Milner, Andrew R.",16
"Motschulsky",16
"Mull",16
"Needham",16
"(Newell), August Frederick Foerste",16
"(Owen and Shumard)",16
"Paul E. Olsen, Amy R. McCune",16
"P. Brignoli",16
"Pearsall",16
"Pedder, Alan E.; Murphy",16
"Peter Baumann",16
"Peter E. Kondrashov, Spencer G. Lucas",16
"Philip J. DeVries",16
"Prof Sir Peter R. Crane : Yale University",16
"R. B. Toll",16
"R. H. Gore",16
"Ricardo Ott",16
"R.J. Rector",16
"Robert L. Wisner",16
"Robert M. Woollacott, Judith E. Winston",16
"Rodhain",16
"Roschen",16
"Sarah Girard",16
"Serge Gofas",16
"Sharon Holte",16
"Shoyo Sato",16
"Silberling, Norman J.; Nichols",16
"Stephen Jay Gould",16
"Sternfeld",16
"Swett",16
"Theophile R. Studer",16
"Tomonori Tanaka, Yoshitsugu Kobayashi, Ken'ichi Kurihara, Anthony R. Fiorillo, Manabu Kano",16
"Tyler R. Lyson, Walter G. Joyce",16
"Uzzell",16
"Walters, Kendra",16
"Ward; Gilinsky",16
"W. D. Kearfott",16
"Wellfleet Bay Wildlife Sanctuary",16
"Whittington; Almond",16
"William D. Matthew, Walter Granger",16
"William R. Taylor",16
"Will Reeves",16
"Winthrop Sprague Brooks",16
"Woodring; Bramlette; Kleinpell",16
"Wright; Eshelman",16
"Wright; Kennedy",16
"W. Ronald Heyer",16
"Aaron W. Hunter",15
"Abbott",15
"Adelaide Martha Edmands",15
"Alan R. Emery",15
"Ales Smetana",15
"Berry; Kelley",15
"(Bill.)",15
"Bogart",15
"Boucot; Johnson; Staton",15
"Bowsher; Strimple",15
"Brezinski",15
"Browne",15
"Bruce R. Sheplan, Albert Schwartz, Jr.",15
"Cardoso",15
"C. E. Fritts",15
"Chaney",15
"Charles Earle",15
"Cifelli; Glacon",15
"C.L Smith",15
"C. Magalhães",15
"Dagosto",15
"Danielle Serratos",15
"David Richardson",15
"Davis, Edward",15
"Demere, Thomas A., (SDNHM), San Diego Natural History Museum (UNITED STATES)",15
"Diderot F. Gicca",15
"Dirk Bodnar",15
"DMG",15
"D.M. Wildrick",15
"Dr. Olivier Bethoux",15
"Dunn",15
"Elisabeth Deichmann, James Moulton",15
"F. J. Palacio",15
"George Teague",15
"Gerrit S. Miller Jr",15
"Glenister, Brian F., (UI), University of Iowa (UNITED STATES)",15
"GPeters",15
"Groot; Organist; Richards",15
"Gustavo Silva de Miranda",15
"Hall, Jackson",15
"Harper; Boucot; Walmsley",15
"Henry A. Ward Collection",15
"Henry W. Winkley",15
"Hoare; Burgess",15
"Hornibrook",15
"Hutchinson",15
"IIneich",15
"I. Ruiz-Carus",15
"Jacobus van de Vecht",15
"James E. Böhlke, Eugenia B. Bohlke",15
"James K. Dooley",15
"J. C. Briggs",15
"Jean H. Huber",15
"Jeannel",15
"Joannis",15
"John Clark",15
"Juan Junoy",15
"Kate Jackson",15
"Kennedy, William",15
"Kirk",15
"Laur.",15
"Leconte",15
"Ledger, Bottle Label(s)",15
"L. H. Weld",15
"L. S. Roberts",15
"Lyon+Casseday",15
"Marion Blank",15
"Martha S. Nizinski",15
"Martin Meisler",15
"Milton W. Sanderson",15
"Moore; Addicott",15
"Mr. Fowler",15
"(Munster in Goldfuss",15
"N.M. Haddad",15
"Novak in Perner/1918",15
"Outram Bangs, James L. Peters",15
"Pojeta, John; Gilbert-Tomlinson",15
"P. Zwick",15
"R. E. Leech",15
"Richard F. Kay, Elwyn L. Simons",15
"Rich, J. G.",15
"R. Komuniecki",15
"Robert Howell",15
"Robert Von Lendenfeld",15
"R. Sites",15
"Rudolfo S. Probst",15
"Ruth D. Turner",15
"Sara Legler",15
"Scott A. Schaefer",15
"Shikama",15
"Shun-Ichi Ueno",15
"Stephanie Shimkus",15
"Stephenson, Lloyd W.; Dane",15
"Stinchcomb, Bruce L.; Darrough",15
"Tanai; Wolfe, Jack A.",15
"Tara Smiley",15
"Thomas A. Biffar",15
"Thomas H. Clark",15
"True",15
"Ulrich, Harris",15
"Vaughan; Sheppard",15
"Wayne C. Starnes",15
"W. David Lambert",15
"William A. Clemens, Patricia M. Lees",15
"William Morton Wheeler, Joseph C. Bequaert",15
"Williamson",15
"Woodring; Bramlette",15
"W. P. Post",15
"A. Borkent",14
"Adalbert Fenyes",14
"Addison E. Verrill",14
"A.D. MacGillivray",14
"Albert Oppel",14
"Alcide D. d'Orbigny",14
"Alden M. Strong",14
"Allison V. Andors",14
"Allmon, Warren",14
"A. P. Chute",14
"Arthur Smith",14
"Auguste Mayor",14
"Barker; Grimsdale",14
"Berdan, Jean M.; Boucot; Ferrill",14
"B F. Howell",14
"B., George Carlos Wheeler",14
"Bleeker",14
"Boucot; Gauri; Johnson",14
"Boucot; Rumble",14
"Brett, Carlton E.; Taylor",14
"Brower; Clement; Veinus",14
"Bruce J. MacFadden, Carl D. Frailey",14
"Buzas; Culver; Isham, Larry B.",14
"Cornelius B. Philip",14
"Cridland Et Al",14
"Cushman; Goudkoff",14
"CUSHMAN, WATERS",14
"Darin A Croft",14
"David Starr",14
"D.D. Stearn, Theodore W. Pietsch",14
"Dick Jirik",14
"Dr. Thomas P. Maslin",14
"DUNBAR, NEWELL",14
"Dwight W. Taylor",14
"Edward J. Buehler",14
"Edwards+Haime, Davis",14
"EGGER",14
"Elaine L. Kelley",14
"Emmanuel J. Vreven",14
"Emmons",14
"Erdmann; Comeau",14
"Ernest E. Williams, Juan Arturo Rivero",14
"Erwin",14
"Eugenia B. Bohlke, David G. Smith",14
"Fernando R. Carvalho",14
"FICHEUR",14
"F. J. Meggitt",14
"Foerste; Teichert, Curt",14
"Frey",14
"G. David Johnson, et al.",14
"Girard",14
"Goldring",14
"Hans-Dieter Sues, Donald Baird",14
"Harold G. Cogger",14
"Harold Trapido",14
"Harris; Repetski, John E.; Kaufman",14
"Harry G. Fowler",14
"Hazel; Cronin",14
"Heaslip",14
"Hickey, Leo J.; Doyle",14
"Hill",14
"Howell; Sanford",14
"Huffman",14
"Ian R. Mackay",14
"James F. Quinn, Jr.",14
"Jeffrey W. Martz, James I. Kirkland, Andrew R. Milner, William G. Parker, Vincent L. Santucci",14
"Jenifer L. Bush, Karsten E. Hartel",14
"J. M. Savage",14
"J. M. Shute",14
"John E. Randall, Ira Rubinoff",14
"John P. Kelly, Kristin E. Blake",14
"Les Watling",14
"Ludlow Griscom, James C. Greenway",14
"Maarten Korringa",14
"Maglio",14
"Manju Siliwal",14
"Mark Webster, Ed Landing",14
"Martynov",14
"Mary Burridge",14
"Nevermann",14
"O. Kraus",14
"Oskar Boettger",14
"(Palmer), Warren D. Allmon",14
"Pamela Groves, Michael Kunz, Grant D. Zazula, Patrick Druckenmiller, Dan Mann",14
"Paul Wilcox",14
"Percy A. Morris",14
"P. Mayer",14
"Qinqi Xu",14
"Rainer Zangerl",14
"(Raymond",14
"R. H. Flower",14
"Rigby; Potter; Blodgett",14
"Ristedt",14
"Robert E. Woodruff",14
"Rottman, M",14
"Ruzicka",14
"Salahi",14
"Scrutton",14
"Stephen C. Ayala, Ernest E. Williams",14
"Stinchcomb, Bruce L., St. Louis Community College (UNITED STATES)",14
"Stoyanow, Teichert",14
"Stuart",14
"Swain, F. M.",14
"The Dry Dredgers",14
"Thomas C. Barr, Jr.",14
"Tyler J Ueberschaer",14
"Van Lith",14
"Volker W. Framenau",14
"Wahl",14
"Waldo L. Schmitt",14
"Warren E. Steiner",14
"WATERS",14
"Weimuth",14
"W.E.L.",14
"W. Horn",14
"William D. Matthew",14
"William M. Goldsmith",14
"William S. Bartels",14
"William T. Keaton",14
"Witte",14
"W. J. Brown",14
"Yasunori Kano",14
"Yochelson, EL, Ellis",14
"Yochelson; Yin",14
"Accordi",13
"Amos H. Worthen",13
"Angeline Myra Keen",13
"Antônio Francisco de Lacerda",13
"Ash; Litwin, Ronald J.; Traverse",13
"AWD",13
"B. A. Foote",13
"Barrick; Beveridge; Patterson; Schubert",13
"Berry; Hawkins",13
"Brown, FM, Frank Martin",13
"Bruce Conn",13
"Bruce W. Stender",13
"Charles A. Woods",13
"Charles Matteson",13
"C. L. Remington",13
"Coats; Gordon",13
"Cooper; Cloud",13
"Cooper; Williams",13
"David Stein",13
"DE LA HARPE",13
"Deussen",13
"Donald Eff",13
"Donald W. Bourne",13
"Don M. Triplehorn, David A. Grimaldi",13
"Drez",13
"Dr. Joseph R. Thomasson",13
"Ed East",13
"Edward G. Boulenger",13
"Edward G. Easton",13
"Edward O. Wiley",13
"Elbert; Harris; Denkler",13
"Eversmann",13
"Fosberg; Corwin",13
"Frederick Roelker Wulsin",13
"F.Y. Harrison",13
"Galloway, Wissler",13
"George E. Condra",13
"George H. C. L. Baur",13
"George Stolley",13
"Georg Mayer",13
"Gideon A. Mantell",13
"Gilberto Neves Bento",13
"(Goldfuss 1829)",13
"Guillermo San Martin",13
"Hagn",13
"(Hall), Cisne",13
"Hall, Meek",13
"Hall, Newell",13
"(Hall), Raymond",13
"(Hall), Whittington",13
"Helder Gomes Rodrigues, Raphael Cornette, Julien Clavel, Guillermo H. Cassini, Bhart-Anjan S. Bhullar, Marcos Fernandez-Monescillo, Karen Moreno, Anthony Herrel, Guillaume Billet",13
"Helen DuShane",13
"Henry Wetherbee Henshaw",13
"Heraldo A. Britski",13
"Hiroshi Kajihara",13
"Hopkins",13
"Huber",13
"Jack Baughman",13
"J. A. J. Verheijen",13
"James M. Flint",13
"Jana Hoffmann",13
"J. C. Armstrong",13
"J.F.G. Clarke",13
"Joachim Barrande, Whittington",13
"Johannes C. Troelsen",13
"John Benedict",13
"John Cyrus Cahoon",13
"J. V. Andreata",13
"Ken W. Able, Douglas F. Markle, M. P. Fahey",13
"King",13
"Kirkland",13
"Korth, William",13
"Kristine T. Parsons",13
"Krutak; Rickles",13
"L. Coloma",13
"Lea",13
"Linsley; Yochelson",13
"Loren M. Toohey",13
"Loris Russell",13
"Louis Agassiz, Pierre Jean Edouard Desor",13
"Mapes",13
"Mary C. Boyett",13
"Masuda",13
"Meyers; Slaughter, Bob H.; McLellan; Purdy, Robert W.",13
"Mickel",13
"(Miller)",13
"M.Largen",13
"M. Lescure",13
"N A. Borodin (?), Charles M. Breder, Jr.",13
"Nelson",13
"N. Hollister",13
"Nyborg & Vega",13
"Oreistes",13
"Orndorff; Taylor; Traut",13
"Owen+Shumard",13
"Paul D. Harwood",13
"Paul Elias, Gregory C. Mayer",13
"Prouty",13
"P.W. Fattig",13
"Rafinesque+Clifford, Stumm",13
"Raquel Figueira",13
"R. C. L. Perkins",13
"Resser, Charles E.; Howell",13
"Richard L. Westcott",13
"Richard P. Vari, Carl J. Ferraris Jr.",13
"Robert L. Otto",13
"Robert Zinkevich",13
"Roy W. McDiarmid",13
"Rudwick",13
"Scott, Robert",13
"SEGUENZA",13
"Shelbi Russell",13
"Shevyrev, Teichert",13
"(Shumard), Bodenbender",13
"Smithsonian Oceanographic Sorting Center",13
"Spieker",13
"S. Richards",13
"S. Springer",13
"Stephen L. Walsh",13
"Steven Poe, Julian Velasco, Kenneth I. Miyata, Ernest E. Williams",13
"Teichert, Curt",13
"Thomas H. Fritts, et.al",13
"ULRICH | BASSLER",13
"United States Department of Agriculture",13
"Waehner",13
"Walter; Oehler; Oehler",13
"Walter R. Courtenay, Jr.",13
"Ward's Natural Science Establishment",13
"Warren E. Savary",13
"Werner C. A. Bokermann",13
"Whittington; Campbell",13
"William Barnes",13
"William Santana",13
"Wollman",13
"Wutzler",13
"(Yandell+Shumard)",13
"Zachary Lewis",13
"Alfred Edwards Emerson",12
"Alphonse Milne-Edwards, Gustavo Augusto S. Melo-Filho",12
"Arcturus Oceanographic Expedition",12
"(Arnold+Clark), Donovan",12
"Baly",12
"Bayanmunkh",12
"Beaver Et Al",12
"Beaver; Fabian",12
"Bernice B. DeMarco",12
"Bishop",12
"BivAToL workshop participants",12
"Boardman; Cheetham; Cook",12
"BOUBEE",12
"Bour",12
"Brian Tefft",12
"Bruce C. Mundy",12
"(Buckman), G. A. Moore",12
"C. A. Cutting",12
"Caleb Cooke",12
"Charles Linden",12
"Cook; Chimonides, Pantelakis J.",12
"Cour",12
"C. Vogt, 1982",12
"CZJZEK",12
"Dagys",12
"Dake; Bridge",12
"Dale A. Russell",12
"Daniel B. Blake",12
"Danner; Johnson",12
"Dan Ryder",12
"David Rohr, R. B. Blodgett, Arthur J. Boucot",12
"Dawson",12
"Decker",12
"Delle Cave; Simonetta",12
"D. H. Lindeman",12
"D. L. Gustafson",12
"Dowsett",12
"Dr. Christine Thacker",12
"Dr. Freidrich Krantz",12
"Dr. Sharat K. Roy",12
"Dutro",12
"D. V. Hembree",12
"E.L. Todd",12
"Engel, MS",12
"Even Dankowicz",12
"Evitt",12
"Farish A. Jenkins",12
"Ferrigno, James P.",12
"Filipe A. G. de Melo",12
"Franklin D. Ross",12
"Franklin Park Zoo",12
"Frank N. Blanchard",12
"Frederick Smith",12
"Gabe Walker",12
"Gibson; Broadhead",12
"Ginsburg; Janvier",12
"Grant, Roosevelt",12
"Greger; Born",12
"Gregory W. Rouse",12
"Gthr.",12
"Gustavus W. Wurdemann",12
"Guy G. Musser",12
"(Harris), Warren D. Allmon",12
"Heinrich",12
"Henry Bryant",12
"Henry Warden Marsden",12
"Hill; Vaughan",12
"Hinds, NEA",12
"H. Thomas Goodwin",12
"Hume Douglas",12
"Jane Herrera Uria",12
"J. Lescure",12
"Jose Corronca",12
"Julio C. Garavello",12
"Karsten E. Hartel, Carl Leavitt Hubbs",12
"Karsten E. Hartel, Todd Richards",12
"Katsuyuki Eguchi",12
"Keith S. Thomson",12
"Kenneth A. Tighe, Richard L. Haedrich",12
"Kraus",12
"Leticia Sanchez",12
"LEV",12
"Loeblich, Alfred R.",12
"Ludvigsen, Rolf; Chatterton",12
"Malcolm C. McKenna",12
"Mamay, Sergius H.; Read",12
"Marie Firmin Bocourt",12
"Martin Gomon",12
"Martins",12
"Mason; Yochelson",12
"(Matthew)",12
"McDonald; Ray",12
"Michael Cyterski",12
"Mr. Arthur W. Slocom",12
"Mr. Richardson",12
"M. Schuster",12
"(Muenster), Hoare",12
"Nathaniel H. Bishop III",12
"Neil Cumberlidge",12
"Nicol",12
"Oksana S. Dzyuba, Cindy Schraer",12
"Oliver, P.",12
"Olivier",12
"Ormiston; Lane",12
"Patrick L. Colin",12
"Pek et Prokop/1990",12
"Peter Houde",12
"P. O. Simons",12
"Pribyl and Vanek",12
"Pribyl+Vanek+Horbinger",12
"(Quenstedt), Alpheus Hyatt",12
"(Raymond+Narraway), DeMott",12
"Rebekka M. Gardiner",12
"Rejebian; Harris; Huebner",12
"René Koehler",12
"Ren-Chung Cheng",12
"Richard McBride",12
"R. I. Johnson",12
"Roger D.K. Thomas",12
"Ronald C. Baird, Madhav Gadgil",12
"Rose, Kenneth D., (JHU), Johns Hopkins University (UNITED STATES)",12
"Samuel F. Hildebrand",12
"Sarah MacLeod",12
"Shaw; Clark",12
"(Solander), Amadeus William Grabau",12
"Sonia Fisch-Muller, Ludwig S. Schultze",12
"Steffen Bayer",12
"Stein",12
"Stephen T. Ross",12
"Theodore Pergande",12
"Thomas M. Bown, Philip D. Gingerich",12
"T. Ino",12
"Tsch.",12
"Tschudi",12
"Upchurch, Garland R., Jr., Southwest Texas State University (UNITED STATES)",12
"Vanderhoof",12
"Veatch",12
"Victor Scarabino",12
"(Walcott), DeMott",12
"Walter A. Bell",12
"Weber, WA, William",12
"Westrop; Ludvigsen, Rolf",12
"W.H. Weed",12
"William  . I. Ausich : Ohio State University - Orton Geological Museum",12
"W. J. Beal",12
"WRG",12
"Zeller",12
"A.B.K.",11
"Alcide d'Orbigny, Hoare",11
"Alfred W. Anthony",11
"Allen McIntosh",11
"Alsina",11
"Armand Campagna, Jr.",11
"Babcock; Feldmann; Wilson",11
"Barrande ident.",11
"Basterot",11
"Baumiller; Macurda",11
"Bennett, S. Christopher",11
"Berner",11
"BORNEMANN",11
"(Bowles), Warren D. Allmon",11
"Brenckle; Wahlman, Gregory P.",11
"Bruce A. Marshall",11
"Bruce B. Collette, Karsten E. Hartel",11
"Bruce D. Taubert",11
"(Buch)",11
"Carnevale, Giorgio",11
"Charles F. Hartt",11
"Charles Frederick Adams",11
"Charles R. Eastman",11
"Charles R. Lamb",11
"Chas L. Remington",11
"Cheetham; Rucker; Carver",11
"Christian Lutken",11
"Christopher A. Brochu",11
"Churkin; Brabb",11
"Clarke, Burgess",11
"C.L. Smith.",11
"COSTA",11
"Cushman; Barbat",11
"Cushman; Campbell",11
"Cushman; Warner",11
"Daniel Perez",11
"Daud.",11
"David B. Halliwell",11
"David R. Whiddon",11
"(Davis), Oliver",11
"D. Bourget",11
"D. Bruce Means",11
"D. Elmo Hardy",11
"DeVries, T.J.",11
"Dillon; Harris; Dutro",11
"Douglas G. Smith, Karsten E. Hartel",11
"Douglass F. Hoese, Karsten E. Hartel",11
"Dr. Clayton E. Ray",11
"Dr. James B. Whitfield",11
"Dr. Steven R. Manchester",11
"Durham",11
"E. C. Thurber",11
"Edward G. Reinhard",11
"Edwards+Haime, Stumm",11
"Elaine McNichols",11
"Elliott, David K., (NAU), Northern Arizona University (UNITED STATES)",11
"Ellis, H",11
"E. McNichols",11
"Engard, Donna J., Curator, Dinosaur Depot Museum (UNITED STATES)",11
"Erling Holm",11
"Estavam L. Cruz da Sliva, ix.2009",11
"Ethelwynn Trewavas",11
"E/V Nautilus-083, Ocean Exploration Trust",11
"Farmer",11
"Faysal Bibi",11
"Frost",11
"Fulwood, Ethan, Student (DU), Duke University (UNITED STATES)",11
"Gerald R. Allen",11
"Gerald R. Noonan",11
"Gerlof F. Mees",11
"G. H. Penn",11
"(Goldfuss",11
"Gorden L. Bell",11
"Gravenhorst",11
"Hale Smith",11
"Hans Reichardt",11
"Harrison W.  Smith",11
"Heinrich Georg Bronn",11
"Helmut Zibrowius",11
"Henry Drummond Russell",11
"Henry Weed Fowler",11
"Henskens Fossils",11
"Hewitt",11
"Hiltermann",11
"Howard Hutchison",11
"Hyatt+Smith, Bernhard Kummel",11
"Ierece L. Rosa",11
"J. A. Holman",11
"J. Allen",11
"James B. Vanderhill",11
"J. D. Archibald",11
"Jehn, Peggy",11
"J.G. Cary, Jr.",11
"J. K. Rigby",11
"J. M. N. Azevedo",11
"John D. Taylor",11
"John G. Johnson",11
"John R. Horner",11
"Jonathan N. Baskin, Ernest E. Williams",11
"Jordan; Applin",11
"José Miguel Cei, Richard E. Etheridge",11
"J. P. Vigueras",11
"J. T. Stirnaman",11
"Judy D. Weinstein, JM",11
"Juraj Holick",11
"Karsten E. Hartel, Michael D. Buckley",11
"Karsten E. Hartel, Smith",11
"Karsten E. Hartel, William M. Goldsmith",11
"Kasper; Forbes",11
"Kennedy, William J.; Landman, Neil H.; Cobban, William A.",11
"Kennedy; Wright; Chancellor",11
"Kenneth Carpenter, Peter M. Galton",11
"Keyes; Pitrat",11
"K. N. Prasad",11
"K. Szlavecz",11
"Lachmuth",11
"Laurent-Guillaume de Koninck",11
"(Lea), Rogers",11
"Lee, J. L.",11
"Leslie A. Thomas",11
"Lesson",11
"Lofgren, Don, Director, Raymond M. Alf Museum of Paleontology (UNITED STATES)",11
"(Lyon)",11
"Manchester, Steven; Crane",11
"Mann, H.",11
"Maria Ana Tovar-Hernandez, Harlan K. Dean",11
"Martin, Handel Tong",11
"McKinney; King",11
"(Meek), Briggs+Rolfe",11
"M. Grinnell",11
"Miguel T. Rodrigues",11
"Miller and Gurley",11
"Miller; Harris",11
"M. W. de Laubenfels",11
"Myers, John E. Cadle",11
"Noetling, Bernhard Kummel",11
"Norville M Downie",11
"Odalisca Breedy, Héctor M. Guzmán",11
"Ohler",11
"Okulitch",11
"Olsson Et Al",11
"Patricia A. Holroyd, Elwyn L. Simons, Thomas M. Bown, Paul D. Polly, Mary J. Kraus",11
"Peter B. McIntyre",11
"PETTERS, SARMIENTO",11
"Pojeta, John; Norford",11
"Prentice, A.E.",11
"Priscilla Caroline Silva",11
"Rachel Arnold",11
"R. Bosmans, 1995",11
"Reitz",11
"Richard Lydekker",11
"R. M. Hall",11
"R. Morris",11
"Robert C. Ziobro",11
"Robert N. Fisher",11
"Robert Powell",11
"Robert Schocknecht",11
"Roland Bourdon",11
"Roth; Laerm",11
"Roy Irwin",11
"Sarabeth LaVangie",11
"S. Blair Hedges",11
"(Schultze), Fay",11
"Scott D. Smyers, Seth W. Pease",11
"Shahan Derkarabetian",11
"SJA",11
"S. McDowell",11
"S. S. Roback",11
"Stirton, R. A.",11
"Stock; Holmes",11
"Storr",11
"Sumrall, Colin",11
"Thayer",11
"Thomas E. Snyder",11
"Thomas R. Buckley",11
"Thomas R. Holtz",11
"Tilly Edinger",11
"Timothy J. Gaudin",11
"Todd Streelman",11
"Ubaghs",11
"Von Buch",11
"Walker, B",11
"Wallace, S",11
"Walter Auffenberg, Jr., Babbitt",11
"Weinland",11
"Weist, WG",11
"Welch",11
"Wenfei Tong",11
"William C. Banta",11
"W. W. Price",11
"Zullo, Victor A.; Baum",11
"Adrian R. Young",10
"Alan H. Bornbusch",10
"Alexander G. B. Fairchild",10
"Alexander Glass",10
"Alexander Strauch",10
"Alfred W. Thompson",10
"Allison; Addicott",10
"Baehr and Baehr, 1993",10
"Barbara Malloy Campione, John A. Novak, William H. Gotwald, Jr.",10
"Bastin; Williams",10
"(Billings), Oliver",10
"(Billings), Whittington",10
"Bill Witte",10
"(Blainville)",10
"Blaisdell",10
"Boltovskoy",10
"Breda M. Zimkus, Joanna G. Larson",10
"Bronnimann, Paul; Brown",10
"Brower+Veinus",10
"Bruce G. Naylor, David W. Krause",10
"Bruce Shockey, Federico Anaya Daza",10
"Carel O. van Regteren Altena",10
"Carl Frederick William Muesebeck",10
"Carlos Roberto Ferreira Brandão",10
"Casseday+Lyon",10
"Caudell",10
"Cecilia Waichert",10
"C. E. Valerio",10
"Charlie Innis",10
"CK",10
"Clench",10
"Clench, W",10
"Clifford H. Pope",10
"Closs",10
"C. Okuma",10
"CORYELL | MALKIN",10
"Croneis",10
"Cvancara",10
"Daniel L. Brinkman",10
"Dan Odess",10
"David H. Eccles",10
"D. C. Lowrie",10
"DE CIZANCOURT",10
"(DeVerneuil), Muir-Wood+Cooper",10
"Donald C. Johanson, Blake Edgar",10
"Dr. Celso Oliveira Azevedo",10
"Dr. Junichi Kojima",10
"Dr. Ulrich Irmler",10
"D. T. Bilton",10
"Edward A. Bangs",10
"E. H. Vokes",10
"Elizabeth Martin-Silverstone, James R. Glasier, John H. Acorn, Sydney Mohr, Philip J. Currie",10
"Elwyn L. Simons, Philip D. Gingerich",10
"Emanuel Kayser",10
"Emil Brendel",10
"E. O. Hovey",10
"Eric Delson",10
"Erwin C. Stumm",10
"Evitt; Whittington",10
"Fabrício L. de Carvalho",10
"F. E. French",10
"F. Glynn Hayes",10
"Florentino Ameghino",10
"Fosberg",10
"Fred R. Wanless",10
"FSV Henry B. Bigelow, Andrew D. Williston",10
"G. Brown Goode, Tarleton H. Bean",10
"Gillette; Ray",10
"Gladwyn Kingsley Noble, Hassler Expedition",10
"Glenn C. Conroy",10
"Gliver",10
"Grateloup, Amadeus William Grabau",10
"Gressitt",10
"G. Richard Harbison, Richard L. Miller",10
"Guthrie",10
"Guy G. Teugels",10
"Hall/1847",10
"(Hall), Wachsmuth+Springer",10
"Hall, Wachsmuth+Springer",10
"(Harris), Harris",10
"Henry F. Osborn, William B. Scott, Francis Speir",10
"Henry Suter",10
"Herbert Parlin Johnson",10
"Hovey Museum : Wabash College",10
"H. S. Scribner",10
"H, v, Meyer",10
"I. W. Loch",10
"James E. Benedict",10
"J.D.W.",10
"Jeffery S. Jensen",10
"Jeffrey M. Marcus",10
"Jerome Rovner",10
"J. I. Saiz Salinas",10
"John C. Merriam",10
"John G. Fleagle, Elwyn L. Simons",10
"John H. Leech",10
"José Miguel Cei, José Alejandro Scolaro",10
"Joseph H. Collette",10
"Justin B. Runyon, Richard L. Hurley",10
"J. Y. Lee",10
"Karsten E. Hartel, Mary Ann Daher",10
"Kate A. Moots",10
"Kaufman; McCulloch",10
"Kenneth M. Schopf, Paul J. Morris",10
"Kevin G. Hulen",10
"K. Hedlund",10
"Kummel, Bernard, Harvard Univ.Mus.Comp.Zoology (UNITED STATES)",10
"Lamarck, Amadeus William Grabau",10
"Leanza",10
"Leopold Conradt, Hamlin",10
"(Lindstrom",10
"LINNAEUS",10
"LINNE",10
"LiveAquaria.com",10
"Lloyd E. Logan",10
"Lou VanGuelpen",10
"Lund, Richard, Adelphi University (UNITED STATES)",10
"MacDonald, J. R.",10
"Mark W. Moffett",10
"(Matt)",10
"Maxim K. Elias",10
"Maynard",10
"McLean",10
"M. Daly, ii.1999",10
"Michael Sharkey",10
"Mikkelsen, Paula",10
"Miller, Benjamin",10
"Mooi, Richard; Harold",10
"Moore; Plummer",10
"M. S. Strother",10
"Myers; Stafford; Burnside",10
"Netting, Goin",10
"Newton Dexter",10
"Nicolas Pike",10
"Nicolay V. Parin, S. G. Kobyliansky",10
"OMARA",10
"Oolf A. Peterson",10
"Osburn",10
"Oscar F. Gallego",10
"(Owen and Shumard",10
"(Owen+Shumard), Donald B. Macurda, Jr.",10
"Parsley, Ronald L.; Mintz",10
"Pate",10
"Paul Bartsch",10
"Paulo Petry, Karsten E. Hartel",10
"Paul Thompson",10
"Peck; Reker",10
"Peter R. Thompson",10
"Ralf Britz",10
"Randklev, Charles",10
"Raymond, Whittington",10
"Reeve M. Bailey",10
"Rehder",10
"Rene Fourtau",10
"Resig, Johanna M.",10
"Richard E. Leakey, Meave G. Leakey, Anna K. Behrensmeyer",10
"Richards; Dyson-Cobb",10
"Robb G. Bennett",10
"Robert C. Schelly, Melanie L.J. Stiassny",10
"Robert E. Acciavatti",10
"Robert E. Weems",10
"Robertson",10
"Robin S. Waples",10
"Robison, Richard A.; Campbell",10
"(Rominger), Oliver",10
"Rosana Cunha",10
"ROTH",10
"Rouault",10
"Roundy",10
"Rowland",10
"R. S. Miller",10
"Saemann",10
"(Sandberger+Sandberger), Hoare",10
"Schram",10
"Sebastian Kvist",10
"SKuzmin",10
"Smith, Kummel+Steele",10
"Snajdr/1982",10
"Stej.",10
"S. Tenney",10
"Steve Ebbert",10
"Stitz",10
"Sue Karl",10
"Talia Karim",10
"Ten Dam, Abraham",10
"Tharina Bird",10
"Thomas E. Williamson, Spencer G. Lucas",10
"Timothy Jones",10
"Tom Smith",10
"Torbjörn Kronestedt",10
"Ulrich; Ulrich; Scofield",10
"VAN VOORTHUYSEN",10
"Vinton Thompson",10
"Vlachos, Evangelos, Museo Paleontologico Egidio Feruglio (ARGENTINA)",10
"Wake",10
"WALKER, JACOB",10
"Wallace, Steve",10
"Wang, Vicky",10
"W Hughes",10
