"class","reps"
"Hexapoda",53
"Zosterophyllopsida",53
"Foraminiferida",52
"Obelellata",52
"Ichnofossil incertae sedis",50
"Polypodiopsida",48
"Coronoidea",47
"Euthycarcinoidea",46
"INVERT",46
"Secernentea",46
"Asterozoa",45
"DEMOSPONGEA",45
"Homostelea",45
"Foraminifera incertae sedis",44
"CRANIATA",43
"Palaeonemertea",43
"Caudofoveata",42
"Lucinida",41
"Psilopsida",41
"Archaeopteridopsida",40
"Cephalocarida",40
"Cyatheopsida",39
"Regulares",39
"Ammonoidea",38
"Lyginopteridopsida",38
"Ostreida",37
"Community slab",36
"Rhodophyceae",36
"Terebratulida",36
"Gymnospermospida",35
"Invertebrate Class incertae sedis",35
"Tetrapod",35
"Ciliata",34
"Cyclozoa",34
"Hyalospongiae",34
"Pentastomida",34
"Sessilia",34
"Tergomya",34
"Clitellata",32
"Ctenostomata",32
"CYSTOIDEA",32
"Ichthyostraca",32
"Radiolaria",32
"Scolecodont",32
"Bryopsidophyceae",31
"TENTACULITA",31
"Charadriiformes",30
"undefinable",30
"Aplacophora",29
"Bdelloidea",29
"Dentaliida",29
"Gnetopsida",29
"Marchantiopsida",29
"Leptocardii",28
"Receptaculitidae",28
"Thecamoebina",28
"Amniota",27
"Arcoida",27
"Ctenocystoidea",27
"Myriapoda",27
"Demospongia",26
"Monothalamea",26
"Multicrustacea",26
"Phaeophyceae",26
"Veneroida",26
"Chromadorea",25
"Symphyla",25
"Cladoxylopsida",24
"Coleoptera",24
"Cuculiformes",24
"Drepanophycopsida",24
"Ichthyosauria",24
"MAMM TRACE",24
"Phaeophyta",24
"Podicipediformes",24
"Polythalamea",24
"Anomalodesmata",23
"Chelicerata",23
"Foraminferea",23
"Heterotardigrada",23
"Prasinophyceae",23
"Staurozoa",23
"CONULATA",21
"Ichnites (reptilia)",21
"Arthropleuridea",20
"Brachiopoda",20
"Cingulata",20
"Coccolthiophyceae",20
"Murchisoniina",20
"Thalattosauria",20
"Therapoda",20
"Xenophyophorea",20
"Banffozoa",19
"Chrysophyceae",19
"Entoprocta",19
"Palaeacanthocephala",19
"Schizaeopsida",19
"Sphaeocarpopsida",19
"Uncertain",19
"Ascidia",18
"Bryopsida",18
"mammals indet.",18
"Phyllocarida",18
"Pteropoda",18
"Rotaliata",18
"Angiospermae",17
"Columbiformes",17
"Dipleurozoa",17
"EDRIOASTEROIDEA",17
"REPT TRACE",17
"Vertebrata",17
"Cetacea",16
"Filicatae",16
"Pseudofossil",16
"Unionoida",16
"Ascidiacea",15
"Lecanoromycetes",15
"Littorinimorpha",15
"mammal? indet.",15
"Mastigophora",15
"Actinochrysophyceae",14
"Bivalva",14
"Coccolithophoridae",14
"Crinozoa",14
"INDET",14
"MEROSTOMATA",14
"Nuda",14
"PLANT",14
"Sphenophyllopsida",14
"Trimerophyllopsida",14
"Bivalvia?",13
"Chitinozoa",13
"Conodontophorida",13
"Enoplea",13
"Litopterna",13
"Megacheira",13
"NON-LIFE",13
"Ozarkodinida",13
"Palaeoscolecida",13
"Piciformes",13
"Adenophorea",12
"Ammonitida",12
"Anthoza",12
"Archiacanthocephala",12
"Belemnitida",12
"Dentalida",12
"Halkieriidae",12
"Leclerqiopsida",12
"Phyllocariida",12
"Porostromata",12
"Udeonycophora",12
"Undetermined",12
"Arthropleurida",11
"CHRYSOPHYCEAE",11
"Echiuroidea",11
"fish? indet.",11
"Hepaticopsida",11
"HEXACTINELLIDA",11
"Hymenoptera",11
"Pinnipedia",11
"BIRD TRACE",10
"Collembola",10
"Globothalama",10
"Marellomorpha",10
"Myxophyceae",10
"Ottokariopsida",10
"Palaeoscoleca",10
"Pholadomyoida",10
"Stenoglossa",10
"Tubuliporata",10
"Udeonychophora",10
"Archaeocyathida",9
"BLASTOIDEA",9
"Gastropoda?",9
"HOMOIOSTELEA",9
"Protomedusae",9
"Remipedia",9
"Vendotaenia",9
"Bioclaustration",8
"Botryopteridiopsida",8
"BRANCHIOPODA",8
"Diploporata",8
"Eucycliophora",8
"Hyolithomorpha",8
"Progymnospermophyta",8
"Thaliacea",8
"AMPH TRACE",7
"Edrioblastoidea",7
"Gleicheniopsida",7
"Homoscleromorpha",7
"Ichnites amphibia",7
"Marrellomorpha",7
"Marsiliopsida",7
"Receptaculitida",7
"Spiriferida",7
"Tetrapoda",7
"Acipenseriformes",6
