"family","reps"
"Dyrosauridae",102
"Ellimmichthyidae",102
"Flatidae",102
"Guadalupiidae",102
"Nacellidae",102
"ONYCHOCELLIDAE",102
"Podocnemididae",102
"SKENEIDAE",102
"Tineidae",102
"Tumidocarcinidae",102
"Andrarinidae",101
"Bradypodidae",101
"Dorippidae",101
"Euryalidae",101
"Fistulariidae",101
"Nanorthidae",101
"Ophiacodontidae",101
"Phoeniculidae",101
"Rhyacophilidae",101
"Sepiaphoridae",101
"Syringophyllidae",101
"Acrothelidae",100
"Anthomyzidae",100
"Dactylocalycidae",100
"Hastagnostidae",100
"Holoptychidae",100
"Lygodiaceae",100
"Septariidae",100
"Soleidae",100
"Temnopleuridae",100
"Urasterellidae",100
"Uropeltidae",100
"UVIGERINIDAE",100
"Ventriculitidae",100
"Dionididae",99
"Erymidae",99
"FUNGIIDAE",99
"Melongeniidae",99
"Petauridae",99
"Proctotrupidae",99
"Psychrolutidae",99
"Raphidiidae",99
"Sinuopeidae",99
"Uranoscopidae",99
"ANATIDAE",98
"Anomocaridae",98
"Anthracosiidae",98
"Asteroxylaceae",98
"Cedariidae",98
"Tenuipalpidae",98
"unassigned",98
"Actinommidae",97
"Birkeniidae",97
"CELLEPORIDAE",97
"Gomphidae",97
"Isididae",97
"Microcosmodontidae",97
"Necrosauridae",97
"Onychodontidae",97
"Otidae",97
"PTYCHODONTIDAE",97
"RAPHITOMIDAE",97
"Stereolasmatidae",97
"Stylasteridae",97
"Valcouroceratidae",97
"VERTICORDIIDAE",97
"Bruchidae",96
"Cavellinidae",96
"Coenitidae",96
"Diamantomyidae",96
"Giganturidae",96
"Glomeridae",96
"Hexapterospermaceae",96
"Hollinidae",96
"Inocaulidae",96
"Palaeophidae",96
"Aechminidae",95
"Asterinidae",95
"ASTEROCYCLINIDAE",95
"Cyclostrematidae",95
"Echinidae",95
"Hantkeninidae",95
"Lauxaniidae",95
"Mathildidae",95
"Ophiderpetontidae",95
"Parasuchidae",95
"Procolophonidae",95
"Rimellidae",95
"TOXOCHELYIDAE",95
"ADAPIDAE",94
"ATURIIDAE",94
"CAVOLINIIDAE",94
"Heterodontidae",94
"Miturgidae",94
"Neobisiidae",94
"PENTACODONTIDAE",94
"Polynemidae",94
"ROSTELLARIIDAE",94
"Scombrolabracidae",94
"Scyllaridae",94
"SEMIONOTIDAE",94
"Sepiolidae",94
"SPHENACODONTIDAE",94
"Vauxiidae",94
"Ammotrechidae",93
"Caulerpaceae",93
"Ceratophyllaceae",93
"Clambidae",93
"Dromiidae",93
"Farreidae",93
"Lecanitidae",93
"Leperditellidae",93
"Linotaeniidae",93
"Macraucheniidae",93
"Mixodectidae",93
"Moliomorphidae",93
"Mysidae",93
"Nassaridae",93
"Poteriocrinitidae",93
"TEXTULARIIDAE",93
"Amaranthaceae",92
"Archaeocrypticidae",92
"DICHOGRAPTIDAE",92
"FIBULARIIDAE",92
"Huenellidae",92
"Mogoplistidae",92
"Oryidae",92
"PLATYSTROPHIIDAE",92
"Proserpinidae",92
"Protocetidae",92
"Siboglinidae",92
"Thalattosauridae",92
"Triisodontidae",92
"Alcyoniidae",91
"Cirolanidae",91
"DENDROPHYLLIIDAE",91
"DIOGENIDAE",91
"Eridophyllidae",91
"Glyptocystitidae",91
"Hiodontidae",91
"Krithidae",91
"Stygnopsidae",91
"Xiphiidae",91
"Adrianitidae",90
"Atelecyclidae",90
"Calliotropidae",90
"CARCINIDAE",90
"Conotylidae",90
"Ephippididae",90
"Hubbardiidae",90
"Metacheiromyidae",90
"MICROPORELLIDAE",90
"Necrocarcinidae",90
"Orbitoididae",90
"Paloelodidae",90
"Petauristidae",90
"Psammodontidae",90
"Solenochilidae",90
"BITECTIPORIDAE",89
"Dimorphoceratidae",89
"Echinometridae",89
"Epistominidae",89
"Hammatoceratidae",89
"NEPHROPIDAE",89
"OSTEOLEPIDAE",89
"Ricciaceae",89
"Silphidae",89
"Thlipsuridae",89
"Trachipteridae",89
"Amphistrophiidae",88
"Borboridae",88
"BRONTOTHERIIDAE",88
"CAMPANILIDAE",88
"Cimolichthyidae",88
"Cyathaspididae",88
"Diastomatidae",88
"Diplocentridae",88
"ELPHIDIIDAE",88
"Glandulinidae",88
"LEPISOSTEIDAE",88
"Oniscidae",88
"Otitidae",88
"Raphitomidae",88
"Rhineuridae",88
"SPIRAL",88
"ZOROASTRIDAE",88
"Caprellidae",87
"Cetomimidae",87
"Chrysochloridae",87
"Dicksoniaceae",87
"Dictyocyathidae",87
"Ichthyocrinidae",87
"Ommastrephidae",87
"Ophidiasteridae",87
"Polytoechiidae",87
"Ptycholepidae",87
"Throscidae",87
"Aglycyderidae",86
"Apheloneuridae",86
"Austrognathiidae",86
"Axiidae",86
"Engraulidae",86
"FAVOSITIDAE",86
"Hadrorhynchiidae",86
"Homolidae",86
"Liopropomatidae",86
"Stemmiulidae",86
"Vangidae",86
"Biantidae",85
"Bourgueticrinidae",85
"BRACHYCYTHERIDAE",85
"Cupuladriidae",85
"Cyematidae",85
"CYLINDRODONTIDAE",85
"Dipluridae",85
"Glasbiidae",85
"Gorgonocephalidae",85
"Hatellidae",85
"Leiognathidae",85
"Mysmenidae",85
"Protereismatidae",85
"Pterodactylidae",85
"Rostellariidae",85
"Thinocoridae",85
"Astrocrinidae",84
"Coeluridae",84
"Crellidae",84
"CYPRINIDAE",84
"EMYDIDAE",84
"Euretidae",84
"GLYPTOPSIDAE",84
"Guembelitriidae",84
"Hydrocenidae",84
"Membraniporidae",84
"Orectolobidae",84
"Philanthidae",84
"Phyllograptidae",84
"Pontocyprididae",84
"Acteocinidae",83
"Aleyrodidae",83
"Cheirogaleidae",83
"Clionaidae",83
"Encrinidae",83
"Flacourtiaceae",83
"Galatheidae",83
"Ichthyornithidae",83
"Laseidae",83
"MILIOLIDAE",83
"Pelagornithidae",83
"Pseudotanaidae",83
"Scissurellidae",83
"Synbranchidae",83
"Thaumatocyprididae",83
"Anobasicrinidae",82
"ASTROCOENIIDAE",82
"Atactotoechidae",82
"Cancellaridae",82
"CIBICIDIDAE",82
"CIMOLOMYIDAE",82
"Cupressocrinidae",82
"CYTHERIDAE",82
"Ellipsocephaloididae",82
"Escharoporidae",82
"Ischnuridae",82
"Omphalotrochidae",82
"PARADOXOSTOMATIDAE",82
"Stylephoridae",82
"URSIDAE",82
"Zeidae",82
"Ampharetidae",81
"Bathypteroidae",81
"Blaniulidae",81
"Dialidae",81
"Hyalonematidae",81
"Lingulasmatidae",81
"Naucoridae",81
"Nelumbonaceae",81
"Protospongiidae",81
"Ptychoparidae",81
"Rhytidosteidae",81
"Scirtidae",81
"Streptacididae",81
"Anniellidae",80
"Anoplotheriidae",80
"BOUCHARDIIDAE",80
"CALYMENIDAE",80
"CYTHERETTIDAE",80
"Megapodiidae",80
"OCHOTONIDAE",80
"Ophiocomidae",80
"PANOPEIDAE",80
"Porcelliidae",80
"Promopalaeasteridae",80
"Anacoracidae",79
"Anarthruridae",79
"Anthribidae",79
"Archaediscidae",79
"Batrachopodidae",79
"Brachycephalidae",79
"Docodontidae",79
"Echinasteridae",79
"Indridae",79
"Latridiidae",79
"Lythraceae",79
"Mitrocystidae",79
"Myxinidae",79
"Pandeidae",79
"Plectopylididae",79
"Spirillinidae",79
"Styliolinidae",79
"Thelyphonidae",79
"Aulostomidae",78
"Brachyopidae",78
"CAMERINIDAE",78
"Distichodontidae",78
"Drosophilidae",78
"Gigantactinidae",78
"Goniopholidae",78
"Gracillariidae",78
"Lepidostomatidae",78
"Lineidae",78
"LINGULIDAE",78
"Proterocameroceratidae",78
"Protosirenidae",78
"ROTALIIDAE",78
"Stethacanthidae",78
"Symplocaceae",78
"VAGINULINIDAE",78
"Adolfiidae",77
"Ankylosauridae",77
"Caenolestidae",77
"Chrysogorgiidae",77
"CRESEIDAE",77
"Episiphonidae",77
"Litiopidae",77
"Merocrinidae",77
"Mycetophilidae?",77
"Osphronemidae",77
"Pseudocidaridae",77
"Scalpellidae",77
"Zeacrinitidae",77
"Acavidae",76
"Acrochordidae",76
"Aepyornithidae",76
"Aniliidae",76
"Atlantidae",76
"Calcarinidae",76
"Clionitidae",76
"Cymopoliidae",76
"Dermatemyidae",76
"Diphuicrinidae",76
"Emeidae",76
"Heleomyzidae",76
"LEPTOCHOERIDAE",76
"Odontoceridae",76
"Ophiomyxidae",76
"Overtoniidae",76
"Patelliocrinidae",76
"Pleurocystitidae",76
"Psiloceratidae",76
"Pyrigiidae",76
"Rhinodermatidae",76
"Roveacrinidae",76
"Tritylodontidae",76
"Astrapotheriidae",75
"Cetorhinidae",75
"Chalinidae",75
"Coelophysidae",75
"Cryptacanthodidae",75
"Desmatophocidae",75
"DISCORBIDAE",75
"DREISSENIDAE",75
"FELIDAE",75
"LEPTONIDAE",75
"Macroramphosidae",75
"MANGELIIDAE",75
"MEGATHYRIDIDAE",75
"Phaneropleuridae",75
"Pholididae",75
"RETROPLUMIDAE",75
"SOLIDOBALANIDAE",75
"Stellarocrinidae",75
"Theciidae",75
"Trimusculidae",75
"Trochonematidae",75
"Turrilepadidae",75
"Umbridae",75
"Unassigned Trepostome Genera",75
"Urolophidae",75
"BURSIDAE",74
"CORBICULIDAE",74
"Coscinodiscaceae",74
"CYSTISCIDAE",74
"Diaphorodendraceae",74
"Gavialidae",74
"Lophogastridae",74
"Maizaniidae",74
"Meandrinidae",74
"Membracidae",74
"Nemagraptidae",74
"Nototheniidae",74
"Palaeotrochidae",74
"Pelecanoididae",74
"Peronopsidae",74
"Platygastridae",74
"Siluridae",74
"Trapezidae",74
"TRUNCATELLIDAE",74
"AMPHISTEGINIDAE",73
"Buxtoniidae",73
"Camptosauridae",73
"Cyclacanthariidae",73
"Diplopodiidae",73
"Dugesiidae",73
"Elassomatidae",73
"Gibbithyrididae",73
"Helicotomidae",73
"Isselicrinidae",73
"Lepadidae",73
"Lethrinidae",73
"Musaceae",73
"Orthoceratidae?",73
"Otodontidae",73
"Phascolarctidae",73
"Polygonaceae",73
"Pulsellidae",73
"Sapotaceae",73
"Sphaeroidinidae",73
"Synerocrinidae",73
"Texanitidae",73
"Troglosironidae",73
"Carinariidae",72
"Ceratobuliminidae",72
"ELLIMMICHTHYIDAE",72
"Eryonidae",72
"LITIOPIDAE",72
"Nemastomatidae",72
"NEOCYTHERIDEIDAE",72
"Oryctocephalidae",72
"Platycephalidae",72
"Sphaeroceridae",72
"Staphyleaceae",72
"Styracaceae",72
"Amabilicrinidae",71
"Ambassidae",71
"ANTROPORIDAE",71
"Archaeocyathidae",71
"ATRYPIDAE",71
"COCHLIOPIDAE",71
"Cordaitanthaceae",71
"Entalinidae",71
"Furcasteridae",71
"GAVELINELLIDAE",71
"Libytheidae",71
"Lophiodontidae",71
"Loxoconchidae",71
"MONTICULIPORIDAE",71
"Otarionidae",71
"PALAECHTHONIDAE",71
"Polymorphitidae",71
"Rondeletiidae",71
"Rosalinidae",71
"Scoliidae",71
"Sigalionidae",71
"TANIDROMITIDAE",71
"Teraponidae",71
"Timorechinidae",71
"Torpedinidae",71
"Actinostromatidae",70
"Anomoepodidae",70
"Arrenuridae",70
"ASTEROLEPIDAE",70
"Chonetellidae",70
"Conucarpaceae",70
"Cyrtoceratidae",70
"Deinotheriidae",70
"Dictopteridaceae",70
"Forficulidae",70
"Glyphocrangonidae",70
"Guildayichthyidae",70
"Hormathiidae",70
"Hynobiidae",70
"Indicatoridae",70
"Limnoriidae",70
"Machaerariidae",70
"Meganterididae",70
"Oecobiidae",70
"Pasiphaeidae",70
"Phylloporinidae",70
"Sciomyzidae",70
"Aethridae",69
"Amblypteridae",69
"Brachymetopidae",69
"Bythocyprididae",69
"Cecidomyidae?",69
"Etheriidae",69
"Eucnemidae",69
"Gonioceratidae",69
"Nemipteridae",69
"Potamogetonaceae",69
"Renillidae",69
"SAURODONTIDAE",69
"Skenidiidae",69
"Synotaxidae",69
"Tetragonitidae",69
"Toxopneustidae",69
"Tremanotidae",69
"XESTOLEBERIDIDAE",69
"Alagomyidae",68
"AMPULLARIIDAE",68
"Atyidae",68
"Aulacoceratidae",68
"Choristitidae",68
"Cleiocrinidae",68
"CTENOCHELIDAE",68
"Eldoniidae",68
"Ellipsoidinidae",68
"EPONIDIDAE",68
"Eriptychiidae",68
"Gyrinidae",68
"Haminoeidae",68
"Helodontidae",68
"Hersiliidae",68
"IGUANIDAE",68
"Myelodactylidae",68
"Mymaridae",68
"PERSONIDAE",68
"Phoxichilidiidae",68
"Pteromalidae",68
"Rostratulidae",68
"Tempskyaceae",68
"Abacionidae",67
"Aeshnidae",67
"Araksalosiidae",67
"Blattidae",67
"Chaetodermatidae",67
"Dorvilleidae",67
"Gasteropelecidae",67
"Hemiprocnidae",67
"Himantolophidae",67
"Hurdiidae",67
"Ischnacanthidae",67
"Larridae",67
"Lunulacardiidae",67
"Macrurocyttidae",67
"Mitrocystitidae",67
"PALAEOBATRACHIDAE",67
"Philomycidae",67
"Phorusrhacidae",67
"Platypezidae",67
"Poterioceratidae",67
"ALPHEIDAE",66
"AXIIDAE",66
"BOLIVINIDAE",66
"Burgessiidae",66
"Calopterygidae",66
"Carpiliidae",66
"Caryocystitidae",66
"Caudinidae",66
"Ceratopogonidae?",66
"Cheirotheriidae",66
"Colossendeidae",66
"Gephuroceratidae",66
"Hadronectoridae",66
"Halichondriidae",66
"Laudonocrinidae",66
"LYSOROPHIDAE",66
"Omalogyridae",66
"Oncousoeciidae",66
"Orbulinidae",66
"Pantolambdidae",66
"Petalaxidae",66
"Petraiidae",66
"Rhabdamminidae",66
"RHABDODERMATIDAE",66
"Tetrablemmidae",66
"CATOSTOMIDAE",65
"Diapriidae",65
"Heterorthidae",65
"HYAENODONTIDAE",65
"KELLIELLIDAE",65
"Neocomitidae",65
"Octodontidae",65
"Odontaspidae",65
"Ophiletidae",65
"Scenellidae",65
"Schilbeidae",65
"Sonniniidae",65
"Torymidae",65
"Torynelasmatidae",65
"Zhanatellidae",65
"Arionidae",64
"Blastomerycidae",64
"Corydalidae",64
"Ektopodontidae",64
"Eurhinodelphidae",64
"Eutypomyidae",64
"Geodiidae",64
"Hyperoliidae",64
"Joannitidae",64
"Macrobaenidae",64
"Melitidae",64
"Muraenesocidae",64
"Mycetophagidae",64
"Placunidae",64
"Porostromata",64
"PUPILLIDAE",64
"Retiolitidae",64
"Streptorhynchidae",64
"Stygnidae",64
"Teleost",64
"Veronicellidae",64
"Anomalepididae",63
"Atypidae",63
"Axinellidae",63
"Caristiidae",63
"Cucujidae",63
"Dromaiidae",63
"Encrinasteridae",63
"Glycymeridae",63
"Gymnodorididae",63
"Heteroporidae",63
"Melocrinidae",63
"MENISCOTHERIIDAE",63
"Nabidae",63
"Opheliidae",63
"Ophiurinidae",63
"POTERIIDAE",63
"PROSOPIDAE",63
"Saccamminidae",63
"Spiriferellidae",63
"Tiphiidae",63
"Trochotiaridae",63
"Acanthonematidae",62
"Apholidotidae",62
"Bumastinae",62
"Conopidae",62
"Cyprididae",62
"Gomphocystitidae",62
"Hemithirididae",62
"Hydrochoeridae",62
"Manaosbiidae",62
"Manidae",62
"Moeritheriidae",62
"Pectocytheridae",62
"Plasmoporidae",62
"Rivulidae",62
"Acastidae",61
"Alangiaceae",61
"Calanidae",61
"CALLOPORIDAE",61
"Cephalaspidae",61
"Chironomidae?",61
"Hapalocrinidae",61
"Ligiidae",61
"Montlivaltiidae",61
"Myzostomidae",61
"Oreasteridae",61
"Oxynoticeratidae",61
"Pachydomellidae",61
"Palaeocorystidae",61
"Palaeozygopleuridae",61
"Placopsilinidae",61
"Podargidae",61
"Polyodontidae",61
"Priscaceae",61
"Pristigasteridae",61
"Siganidae",61
"Solanaceae",61
"Spirobolellidae",61
"Welleridae",61
"AMATHINIDAE",60
"Bairdiocyprididae",60
"Bohemiellidae",60
"Bostrichidae",60
"Clavulariidae",60
"COSKINOLINIDAE",60
"Cryptobranchidae",60
"Eobrachyopidae",60
"Heteroceratidae",60
"Hypopomidae",60
"Lagynocystidae",60
"Lepidocarpaceae",60
"Lepidorbitoididae",60
"Lissajousithyrididae",60
"MARGARETTIDAE",60
"Mucophyllidae",60
"Parapaguridae",60
"Passaloteuthididae",60
"Phillipsastraeidae",60
"Scaphiocrinidae",60
"Septoporidae",60
"Stromatoceriidae",60
"Synallactidae",60
"Triopsidae",60
"Anagalidae",59
"Anarhichadidae",59
"Aspidoceratidae",59
"Caesionidae",59
"CHELONIIDAE",59
"Combretaceae",59
"Dicamptontidae",59
"Euophalidae",59
"Hemiodontidae",59
"Hyalidae",59
"Poecilasmatidae",59
"PROTOCERATIDAE",59
"Pteranodontidae",59
"Reithroparamyidae",59
"Somaliasteridae",59
"stromatolites",59
"Aequoreidae",58
"Climacteridae",58
"Coccolithaceae",58
"Colloniidae",58
"DISCOCYCLINIDAE",58
"GOMPHOTHERIIDAE",58
"Mariametridae",58
"Micropternodontidae",58
"Neilonellidae",58
"Pandionidae",58
"Paraclupeidae",58
"Protohymenidae",58
"Pseudodielasmatidae",58
"Rhinochimaeridae",58
"Spalacidae",58
"SPHENIOPSIDAE",58
"Sulcoreteporidae",58
"Svealutidae",58
"TAFFIIDAE",58
"Tetracameridae",58
"Titanoideidae",58
"Tuzoiidae",58
"Zosterophyllaceae",58
"Acanthogorgiidae",57
"BACULITIDAE",57
"Calamoceratidae",57
"Cambalidae",57
"Chalcididae",57
"Cicadidae",57
"Corylophidae",57
"Curculionidae?",57
"Helicoplacidae",57
"Heptaxodontidae",57
"Hippidae",57
"Languriidae",57
"Leptaenidae",57
"Megaphyllitidae",57
"Minuidae",57
"Nyctibiidae",57
"Parrelloididae",57
"Phryganeidae",57
"Porocrinidae",57
"Triacanthodidae",57
"TURRILINIDAE",57
"Alabaminidae",56
"Amphoracrinidae",56
"Antrodiaetidae",56
"Apseudidae",56
"Ascalaphidae",56
"Boreidae",56
"CAUCASINIDAE",56
"Celtitidae",56
"Dasycladaceae",56
"DORMAALIIDAE",56
"Dynomenidae",56
"Elasmonematidae",56
"ELIGMIDAE",56
"ENTEROSPIRA",56
"Euplectellidae",56
"Gaudryceratidae",56
"Glyptopsidae",56
"Gyracanthidae",56
"Heptageniidae",56
"Isotomidae",56
"MERULINIDAE",56
"Micromomyidae",56
"Notacanthidae",56
"Ornithorhynchidae",56
"PARTHENOPIDAE",56
"Phalangodidae",56
"Phrynidae",56
"Polycopidae",56
"Porosphaeridae",56
"Sminthuridae",56
"Solenoceridae",56
"Ulocrinidae",56
"VALVULINIDAE",56
"Agathotanaidae",55
"Agoniatitidae",55
"Amphisittidae",55
"Aplysinidae",55
"Candonidae",55
"Caryophyllaceae",55
"Corophiidae",55
"Ephedraceae",55
"Gastrocoptidae",55
"GLOBIGERINIDAE",55
"Merulinidae",55
"NOTHOSAURIDAE",55
"PALINURIDAE",55
"Protembiidae",55
"Pyrochroidae",55
"Rhagionidae",55
"Rhinotermitidae",55
"Schubertellidae",55
"Siphonophoridae",55
"Tetradiidae",55
"Tetrigidae",55
"Trigonoceratidae",55
"Tritaxiidae",55
"Acrolepidae",54
"Aganasteridae",54
"Bohemillidae",54
"Bolivinellidae",54
"Candeinidae",54
"Collyritidae",54
"Cyclocystoididae",54
"Cymbiocrinidae",54
"Cystodictyonidae",54
"Dakoticancridae",54
"DICHOBUNIDAE",54
"Eucopiidae",54
"GYMNARTHRIDAE",54
"Lelapiidae",54
"Megathyrididae",54
"Megomphicidae",54
"Oxydesmidae",54
"Phylacteridae",54
"Pipestoneomyidae",54
"Platysomidae",54
"Protostegidae",54
"SIBYRHYNCHIDAE",54
"Sphaeriodesmidae",54
"Titanosauridae",54
"Titanotheriidae",54
"Tripterygiidae",54
"Apsidoceratidae",53
"Arctiidae",53
"Bathyclupeidae",53
"Cassididae",53
"Cravenoceratidae",53
"Diestoceratidae",53
"GYPSONICTOPIDAE",53
"HADROSAURIDAE",53
"LICHENOPORIDAE",53
"Marsupiocrinidae",53
"Marsupitidae",53
"Metacyathidae",53
"Oriostomatidae",53
"Protorothyrididae",53
"Raymondinidae",53
"Scelionidae",53
"THECIDEIDAE",53
"Thecidellinidae",53
"Trigonocidaridae",53
"Tubiporidae",53
"Umbraculidae",53
"Aporrhaididae",52
"BetuIaceae",52
"Bignoniaceae",52
"Bouchardiidae",52
"Bougainvilliidae",52
"Condylocardiidae",52
"Ctenomyidae",52
"Cynodontidae",52
"Hypothyridinidae",52
"Kionoceratidae",52
"Lucanidae",52
"Mantispidae",52
"Pachastrellidae",52
"Paranonychidae",52
"Pinguipedidae",52
"Potoroidae",52
"Pseudothelphusidae",52
"Samoidae",52
"Sanguinolitidae",52
"Sphaeroceratidae",52
"Syndielasmatidae",52
"Tarphyceratidae",52
"Tortricidae",52
"Trachyteuthidae",52
"TRYPOSTEGIDAE",52
"VANIKORIDAE",52
"Xenoceltitidae",52
"ZEBINIDAE",52
"Amphibolidae",51
"Anabantidae",51
"Anomaluridae",51
"CANCRIDAE",51
"Capsidae",51
"Chrysididae",51
"Clydonautilidae",51
"Cyathaspidae",51
"Daphnidae",51
"Diadematidae",51
"Diplagnostidae",51
"Epoicotheriidae",51
"Erniettiaceae",51
"Gnathostomulidae",51
"Halobiidae",51
"LEPTOLEPIDAE",51
"MAMMUTIDAE",51
"MILLEPORIDAE",51
"MIOGYPSINIDAE",51
"MITHRACIDAE",51
"ORTHOCERATIDAE",51
"Paleuthygrammatidae",51
"PAROMOMYIDAE",51
"Potamotrygonidae",51
"Seymouriidae",51
"Sialidae",51
"Siliculidae",51
"Tipulidae?",51
"Upogebiidae",51
"Zanthopsidae",51
"Amaryllidaceae",50
"Anablepidae",50
"Angulotretidae",50
"Anomphalidae",50
"Anthothelidae",50
"Atemnidae",50
"Baetidae",50
"Benthopectinidae",50
"BITHYNIIDAE",50
"Bolliidae",50
"CARDIPELTIDAE",50
"Clymeniidae",50
"Colydiidae",50
"CRIBRILINIDAE",50
"Crotalocrinitidae",50
"Drillidae",50
"ISCHNOCHITONIDAE",50
"Jimomyidae",50
"MYLIOBATIDAE",50
"Parkinsoniidae",50
"Passerellidae",50
"Pentacrinidae",50
"PLECTORTHIDAE",50
"Prorhynchidae",50
"Pterognathiidae",50
"RIMELLIDAE",50
"Rossellidae",50
"Schizodidae",50
"Spiloblattinidae",50
"Uncitidae",50
"XENACANTHIDAE",50
"Zingiberaceae",50
"Chelopteridae",49
"Chlamydoselachidae",49
"Cladonychiidae",49
"Coleophoridae",49
"Colobometridae",49
"Diaphanidae",49
"EUCOSMODONTIDAE",49
"Gymnuridae",49
"Helohyidae",49
"Issidae",49
"LEGUMINOCYTHEREIDIDAE",49
"Lepidocentridae",49
"Mesothuriidae",49
"Oenonidae",49
"Percichthyidae",49
"PERIPLOMATIDAE",49
"Plectreuridae",49
"Preacanthochitonidae",49
"Pristiglomidae",49
"RANIDAE",49
"RAPHISTOMATIDAE",49
"Rhabdocidaridae",49
"Scacchinellidae",49
"Sperceritaceae",49
"Taeniidae",49
"Zatracheidae",49
"Aeolidiidae",48
"Barychelidae",48
"Burseraceae",48
"Caprellinoididae",48
"Carabocrinidae",48
"Citharinidae",48
"Cryptoplacidae",48
"Ctenizidae",48
"Ctenodactylidae",48
"Diploceratidae",48
"Echioceratidae",48
"ENTELODONTIDAE",48
"Eouvigerinidae",48
"Eusthenopteridae",48
"Flabelligeridae",48
"Himantariidae",48
"Involutinidae",48
"Marchantiaceae",48
"Mathildellidae",48
"Nandidae",48
"Obturamentellidae",48
"Osangulariidae",48
"Pentoxylaceae",48
"PETALODONTIDAE",48
"PETROLACOSAURIDAE",48
"Planomalinidae",48
"Plerophyllidae",48
"Plesiosauridae",48
"Polycotylidae",48
"Potonieaceae",48
"Pronoritidae",48
"Prototaxitaceae",48
"Pterotrigoniidae",48
"Stahleckeriidae",48
"Titanoecidae",48
"Trochocystitidae",48
"ACLEISTORHINIDAE",47
"ANOMALINIDAE",47
"Antipleuridae",47
"Calmoniidae",47
"Chilinidae",47
"Corixidae",47
"Dermestidae",47
"Dikelokephalidae",47
"Euryuridae",47
"HIMEROMETRIDAE",47
"Lunulitidae",47
"MARGARITARIIDAE",47
"Olcostephanidae",47
"Palaecidae",47
"Paromomydae",47
"Phlegethontiidae",47
"Scathophagidae",47
"Struthionidae",47
"Stygnommatidae",47
"Systrophiidae",47
"Tournayellidae",47
"Anilidae",46
"Aprocrinidae",46
"ARCTICIDAE",46
"Aspidellaceae",46
"Bopyridae",46
"Brachycentridae",46
"Calamostachyaceae",46
"Celleporidae",46
"Clinidae",46
"Corynotrypidae",46
"CTENODONTIDAE",46
"Debeeriidae",46
"Ephippidae",46
"Flemingitidae",46
"Girtyoceratidae",46
"Hymenophyllaceae",46
"Lasiograptidae",46
"Lonchocephalidae",46
"Lyrodesmatidae",46
"MATHILDIDAE",46
"Mesolimulidae",46
"Microdontidae",46
"Nematocarcinidae",46
"NYCTITHERIIDAE",46
"Platycrinidae",46
"Psychropotidae",46
"Pyrotheriidae",46
"RHYNCHOTREMATIDAE",46
"Sinutidae",46
"Taffiidae",46
"Trichopityaceae",46
"Tunisiacrinidae",46
"Verneridae",46
"Acroceridae",45
"Ampeliscidae",45
"Ampithoidae",45
"APLYSIIDAE",45
"Asterigerinidae",45
"Cyrtaucheniidae",45
"DALMANELLIDAE",45
"Discoasteraceae",45
"Dolichopodidae?",45
"DROMIIDAE",45
"Eoscutellidae",45
"Epedanidae",45
"Euscorpiidae",45
"GLOBOROTALIIDAE",45
"Halocyprididae",45
"Hamptoniidae",45
"Hemieuryalidae",45
"KERATERPETONTIDAE",45
"Laevidentalidae",45
"Ledidae",45
"Lycidae",45
"Lycophytes",45
"Mesosauridae",45
"PHACOPIDAE",45
"Pisaniidae",45
"Pleurobrachiidae",45
"Procerithiidae",45
"Rhinopomatidae",45
"Tetragraptidae",45
"Toricelliaceae",45
"Aclididae",44
"Anaethaliontidae",44
"Beroidae",44
"Borsoniidae",44
"CAPULIDAE",44
"Cyclodorippidae",44
"Dendrocoelidae",44
"Disasteridae",44
"Durhaminidae",44
"Eocardiidae",44
"Euchondriidae",44
"Gasteruptiidae",44
"Geoplanidae",44
"Hypogastruridae",44
"incertae sedis",44
"LAMNIDAE",44
"Lepetodrilidae",44
"Lichenocrinus?",44
"Macropetalichthyidae",44
"Mesopalaeasteridae",44
"Nemasomatidae",44
"Nicodamidae",44
"Ophionereididae",44
"PACHYLASMATIDAE",44
"Polygalaceae",44
"QUADRICELLARIIDAE",44
"Sageceratidae",44
"SPHAERIIDAE",44
"Sphaerotheriidae",44
"Staphylocrinidae",44
"Stictoporellidae",44
"Therevidae",44
"Vertiginidae",44
"Aegidae",43
"Antillocaprinidae",43
"Archegosauridae",43
"Bathygadidae",43
"Carbactinoceratidae",43
"CASSIDULINIDAE",43
"Conoclypidae",43
"Cossuridae",43
"Cranaidae",43
"Cupedidae",43
"Cyclothyrididae",43
"Dorypteridae",43
"Empididae?",43
"Hippocrepinidae",43
"Isochilinidae",43
"Keraterpetidae",43
"Listracanthidae",43
"Mylacridae",43
"Nemesiidae",43
"Nymphonidae",43
"Parastacidae",43
"Phanocrinidae",43
"PHASIANIDAE",43
"Phlyctaenaspidae",43
"Phronimidae",43
"Polyglyphanodontidae",43
"PROCYONIDAE",43
"Protocycloceratidae",43
"Pseudogaudryinidae",43
"Salpingidae",43
"Sicyoniidae",43
"Squalodelphinidae",43
"Tropiometridae",43
"Albaillellidae",42
"Ammonitellidae",42
"Ammotheidae",42
"Aneurophytaceae",42
"Aphelidesmidae",42
"Aphrocallistidae",42
"Apternontidae",42
"Barrandeoceratidae",42
"Brachycycloceratidae",42
"BULIMINIDAE",42
"BULIMULIDAE",42
"Cibicidae",42
"Cochlespiridae",42
"Cycadeoideaceae",42
"Dilleniaceae",42
"DIMYIDAE",42
