"family","reps"
"Leiorhynchidae",3184
"Geoemydidae",3182
"Nyctitheriidae",3182
"EQUIDAE",3181
"Megalonychidae",3174
"Centropomidae",3173
"Myliobatidae",3169
"Crassatellidae",3167
"Vaginulinidae",3155
"Dielasmatidae",3152
"Alaudidae",3149
"Pupillidae",3137
"Olenellidae",3136
"Erebidae",3128
"Crocodylidae",3082
"Diodontidae",3071
"Elythidae",3047
"Ploceidae",3040
"Lacertidae",3018
"Asaphidae",3009
"Rosaceae",2998
"Cordaitaceae",2993
"Terebridae",2993
"Dasyatidae",2980
"Gnaphosidae",2980
"Streptelasmatidae",2978
"GLYCYMERIDIDAE",2939
"Fistuliporidae",2934
"Gastrodontidae",2920
"NASSARIIDAE",2920
"Archaeocidaridae",2913
"Crepidulidae",2912
"Tetraonidae",2892
"Glycymerididae",2889
"Dendrasteridae",2885
"Hapsiphyllidae",2876
"Trigonirhynchiidae",2876
"Eomyidae",2875
"CALLIANASSIDAE",2872
"MACTRIDAE",2866
"Corbiculidae",2853
"Lottiidae",2837
"Lyginopteridaceae",2835
"Ursidae",2834
"Arctocyonidae",2830
"Mucrospiriferidae",2813
"Platanaceae",2806
"BUCCINIDAE",2800
"Gomphotheriidae",2795
"Subulinidae",2793
"CERITHIIDAE",2777
"Ulmaceae",2763
"Riodinidae",2757
"Marginellidae",2749
"Motacillidae",2742
"Dasypodidae",2715
"Juglandaceae",2712
"Chelydridae",2698
"Annulariidae",2688
"Euryplacidae",2683
"Furnariidae",2677
"Melamphaidae",2672
"Mitridae",2648
"Amiidae",2635
"Bataguridae",2619
"Ranellidae",2603
"Succineidae",2593
"STROMBIDAE",2590
"Lophospiridae",2587
"Pisidiidae",2586
"Micheliniidae",2579
"Odontophoridae",2556
"Ellobiidae",2550
"Cassidae",2549
"Paralepididae",2549
"Cheloniidae",2545
"Chamaeleonidae",2541
"Ochotonidae",2540
"COLUMBELLIDAE",2537
"Myidae",2523
"Epitoniidae",2517
"TURBINELLIDAE",2512
"Sapindaceae",2492
"Dendrobatidae",2490
"Elapidae",2484
"Laniidae",2481
"Modiomorphidae",2460
"Hiatellidae",2459
"Pterineidae",2449
"Molossidae",2437
"Alcedinidae",2419
"Lymnaeidae",2409
"Echimyidae",2397
"Melongenidae",2392
"Bradybaenidae",2388
"CRASSATELLIDAE",2380
"Mylodontidae",2374
"Phyllostomidae",2370
"Amastridae",2369
"Pentameridae",2365
"Stropheodontidae",2357
"Chauliodontidae",2344
"Nectariniidae",2344
"Serranidae",2339
"Chironomidae",2326
"Rhynchonellidae",2322
"Ischnochitonidae",2309
"Hemigaleidae",2301
"Coryphodontidae",2300
"Scarabaeidae",2292
"Monticuliporidae",2287
"Acmaeidae",2286
"Congridae",2279
"Plesiadapidae",2266
"Clupeidae",2265
"Myobatrachidae",2264
"Dictyoclostidae",2262
"Illaenidae",2260
"Pinnidae",2260
"Panalcidae",2254
"Apidae",2249
"Cystiphyllidae",2242
"Rissoidae",2231
"Pycnonotidae",2227
"Melanostomiidae",2225
"Delphinidae",2219
"Ambonychiidae",2217
"MYTILIDAE",2198
"Olenidae",2191
"Algae",2186
"Cycadeoidaceae",2180
"TEREBRIDAE",2159
"ASTERIDAE",2155
"Zapodidae",2154
"Uncinulidae",2152
"Soleniscidae",2142
"BALANIDAE",2136
"Discinidae",2135
"Plaesiomyidae",2135
"Achatinidae",2131
"Meekellidae",2116
"Dichobunidae",2115
"Heterotrypidae",2099
"Orthidae",2091
"Rhinopteridae",2085
"Hydrobiidae",2075
"Boidae",2054
"Pholadomyidae",2045
"Diplograptidae",2036
"Lituolidae",2005
"Balanidae",2002
"Aporrhaidae",2000
"Sowerbyellidae",2000
"TURBINIDAE",2000
"Moschidae",1989
"Rhynchospirinidae",1983
"OLIVIDAE",1981
"SEMELIDAE",1981
"Delthyrididae",1975
"Collignoniceratidae",1971
"Carangidae",1969
"Marginiferidae",1969
"Rajidae",1958
"Cyrtinidae",1957
"Semelidae",1956
"Serpulidae",1954
"Heliospongiidae",1953
"Thomisidae",1950
"Zonitidae",1950
"Sittidae",1947
"Semionotidae",1946
"Geisonoceratidae",1945
"Oreodontidae",1941
"Fissispongiidae",1921
