"index.phylum","reps"
"skeneopsis alaskana",1
"smilodon gracilis",1
"smilodon sp.",1
"solamen snavelyi",1
"solena",1
"solenidae",1
"soricidae",1
"spatangidae",1
"spermophyta",1
"sphaerechinus",1
"spinatrypa",1
"spinicharybdis krizi",1
"spiriferidae",1
"spiriferoidea",1
"stegomastodon cf.",1
"stegomastodon mirificus",1
"stephanophyllia",1
"stockoceros or oreamnos",1
"streptognathodus expansus",1
"strigidae cf.",1
"strongylocentrotus franciscanus",1
"succineidae",1
"surnia ulula",1
"synaptomys borealis",1
"tachyrhynchus lacteolus",1
"tachyrhynchus reticulatis",1
"tadarida ?",1
"tadarida brasiliensis cf.",1
"tadarida sp.",1
"tapirus ?",1
"tapirus merriami",1
"tapirus merriami cf.",1
"taxidea cf.",1
"tayassuidae sp.",1
"tegula",1
"tejonia hendoni",1
"tellinidae",1
"terebratulida",1
"tetrapoda",1
"thalattosauria",1
"thamnosma",1
"toretocnemus",1
"trachemys cf.",1
"trigoniidae",1
"tringa semipalmatus ?",1
"triton",1
"troglodytidae cf.",1
"trophonopsis beringi",1
"turdidae cf.",1
"turdus migratorius cf.",1
"turrid",1
"turtonia minuta",1
"tylosaurus proriger",1
"tyrannidae cf.",1
"uintatherium sp.",1
"ulmaceae",1
"urocitellus elegans ?",1
"urocyon ?",1
"urosaurus ?",1
"ursidae sp.",1
"vaquerosella",1
"veneridae",1
"vertipecten popofensis",1
"vireonidae sp.",1
"volvulella acuminata",1
"witchellia adnata cf.",1
"xanthocephalus ?",1
"xanthopsis",1
"yoldiella cecinella",1
"yoldiidae",1
"zenaida cf.",1
"zenaida sp.",1
