"order","reps"
"Salmoniformes",1659
"Odonata",1650
"Erinaceomorpha",1645
"Juglandales",1642
"Protorthoptera",1642
"Syngnathiformes",1637
"Isopoda",1631
"Euheterodonta",1612
"Conodontophorida",1598
"Leptictida",1594
"Elopiformes",1579
"Globigerinida",1567
"Ranunculales",1565
"Nuculanida",1563
"Thysanoptera",1556
"Cornales",1546
"Basommatophora",1529
"Mytilida",1524
"Oncocerida",1520
"Lithistida",1519
"CONDYLARTHRA",1507
"Limoida",1506
"Phenacodonta",1484
"Sessilia",1467
"Lophiformes",1435
"LAMNIFORMES",1423
"Chelonia",1372
"Trogoniformes",1361
"Pempheriformes",1350
"Mugiliformes",1342
"Acrotretida",1336
"Odontopleurida",1334
"Archaeostraca",1330
"Acipenseriformes",1327
"Magnoliales",1318
"BASSOMMATOPHORA",1301
"Psocoptera",1301
"Lutjaniformes",1297
"Tanaidacea",1277
"Lepidosireniformes",1260
"Conulariida",1254
"Patellogastropoda",1253
"Sedentarida",1253
"Ophidiiformes",1238
"Holectypoida",1235
"Argentiniformes",1234
"Miliolida",1231
"Pantodonta",1228
"Aspidochirotida",1215
"Fabales",1190
"Veneroidei",1175
"Cyclida",1174
"Myida",1174
"Comatulida",1169
"Conchostraca",1165
"Pteridospermales",1139
"DIPNOI",1138
"SQUAMATA",1122
"Angulliformes",1110
"Pristiformes",1092
"PTERIOIDA",1089
"Chimaeriformes",1081
"Diplobrathrida",1078
"Dendroidea",1070
"DENTALIDA",1065
"Lichida",1062
"Sphenisciformes",1059
"Coelacanthiformes",1051
"Pseudosuchia",1045
"Endocerida",1044
"Holasteroida",1038
"Julida",1027
"Procreodi",1027
"Rajiformes/Pristiformes",1024
"Blattodea",1020
"Fissiculata",1013
"Malvales",1004
"MESOGASTROPODA",992
"Geophilomorpha",988
"Uintacrinida",976
"Esociformes",970
"Cystiphyllida",966
"Conocardioida",959
"Pseudoscorpiones",959
"Discosorida",947
"Ericales",935
"Rhamnales",930
"Squaliformes",927
"Gadilida",918
"Xenarthra",918
"Craniida",912
"Brachiopoda",907
"Neoloricata",902
"NERITOPSINA",900
"Waptiida",898
"Acanthuriformes",896
"Pelycosauria",896
"Blenniiformes",891
"Keratosida",890
"Dendrochirotida",881
"Salicales",880
"Phytosauria",873
"TEREBRATULIDA",870
"Arthrodira",869
"Pholadida",866
"Celastrales",865
"Eunicida",864
"Pterosauria",859
"Lytoceratida",850
"Sabellida",850
"Leperditicopida",844
"Hexanchiformes",843
"Gaviiformes",835
"Syncarida",826
"SORBEOCONCHA",823
"PHOLIDOPHORIFORMES",815
"Bennettitales",798
"Hippuritoida",798
"Arecales",795
"Imparidentia",793
"Praecardioida",779
"Xiphosura",779
"Blattaria",775
"Pantolesta",773
"Heliolitida",772
"Terebellida",763
"Hybodontiformes",760
"Thoracica",759
"Leiocopa",756
"Gymnophiona",750
"Saxifragales",747
"Cordaitales",740
"Hyolithida",738
"Crocodilia",727
"Lyssakida",721
"Lophiiformes",715
"Sepiida",690
"Dermoptera",685
"Isoptera",685
"Scorpaeniformes",684
"Haplosclerida",682
"Diploporita",670
"Nectridea",668
"Osteoglossiformes",668
"Heterobranchia",667
"Thecosomata",666
"Valvatida",665
"Cornuta",664
"Ephemeroptera",663
"Desmostylia",662
"Sphenophyllales",657
"Hydroida",655
"Spirobolida",655
"Cetaceamorpha",652
"Ceratitida",651
"Polypodiales",650
"Octactinellida",649
"AULOPIFORMES",647
"Atheriniformes",642
"Chaetodontiformes",641
"Cheilostomatida",634
"Actinocerida",626
"Neritopsina",626
"Isocrinida",624
"CHELONIA",623
"Antiarchi",621
"Cheilostomata",621
"Homoptera",621
"HOLECTYPOIDA",620
"unplaced",612
"[Unassigned]Caenogastropoda",603
"ANURA",602
"Hyracoidea",601
"ICHTHYODECTIFORMES",600
"OPHIURIDA",596
"Heterostropha",593
"PRIMATES",592
"Sagenocrinida",591
"PAXILLOSIDA",589
"Alepocephaliformes",586
"Heterostraci",582
"Order incertae sedis",578
"Orthogastropoda Order incertae sedis",577
"Spariformes",575
"LITTORINIMORPHA",574
"Tinamiformes",567
"Dipnoi",564
"Capitellida",557
"Trochodendrales",557
"LIMOIDA",554
"Receptaculitida",553
"Adapedonta",550
"Ichthyodectiformes",540
"Trachichthyiformes",540
"Nymphaeales",531
"Petalodontiformes",529
"Plecoptera",528
"Golfingiiformes",523
"Schizaeales",518
"Rhynchonellacea",513
"Myrtales",512
"Stomatopoda",506
"Platycopida",504
"Cnidaria",503
"Tarphycerida",497
"Theales",496
"Rhabdomesida",489
"Choristodera",482
"Articulata (Crinoidea)",480
"Kurtiformes",478
"Spumellaria",476
"Aeschronectida",475
"Octopoda",472
"Uncertain",468
"Phymosomatoida",467
"Filicales",464
"Holocentriformes",461
"Tentaculitida",457
"Ichthyosauria",451
"Spionida",449
"Dictyoceratida",448
"[Unassigned] Vetigastropoda",448
"Dipsacales",447
"PEDUNCULATA",442
"PROBOSCIDEA",439
"Solemyoida",433
"Acroida",428
"Trombidiformes",426
"Selachii",424
"Hadromerida",421
"Salenioida",421
"GADILIDA",420
"AMMONITIDA",416
"Poales",415
"CIDAROIDA",414
"Cladoselachii",413
"ARCHITAENIOGLOSSA",410
"Nudibranchia",404
"Actiniaria",402
"Phascolosomatiformes",402
"Anostraca",392
"Sarcoptiformes",388
"Prosobranchia",387
"Coronatida",385
"Edentata",382
"Collembola",381
"Dinornithiformes",379
"Microsauria",379
"STROPHOMENIDA",379
"TEMNOSPONDYLI",378
"Mitrata",377
"Leptolepidiformes",376
"CARCHARHINIFORMES",374
"Camarodonta",371
"Isoetales",364
"Gymnotiformes",362
"PERCIFORMES",362
"Spirostreptida",358
"Apatotheria",357
"Mecoptera",356
"Xenacanthiformes",356
"Acanthodiformes",355
"Dicynodontia",354
"Tricladida",354
"Lyginopteridales",353
"Orbiniida",352
"Opisthoparia",351
"Cycloneritomorpha",346
"Dictyonellida",345
"Cathartiformes",344
"LEPTICTIDA",338
"Crossopterygii",337
"Ixodida",337
"Forcipulatida",327
"HETEROSTRACI",326
"Captorhinida",325
"Hemicidaroida",325
"PTYCHOPARIIDA",325
"Incertae sedis",324
"Poecilosclerida",324
"Pycnodontiformes",322
"Anaspidea",320
"Chordeumatida",320
"Thalamida",320
"Antipatharia",318
"Oegophiurida",316
"Cycadales",315
"Mysidacea",312
"Ginkgoales",310
"UNIONOIDA",310
"Eocaridacea",306
"Nassellaria",306
"Solifugae",306
"Batrachoidiformes",305
"Orectolobiformes",304
"Porifera",303
"Rhynchobdellida",302
"ORTHIDA",301
"Asterales",300
"Gerreiformes",295
"Euphausiacea",294
"Osmeriformes",292
"Isorophida",291
"Glossopteridales",289
"Litopterna",287
"Euphoberiida",286
"Astrorhizida",285
"Paxillosida",282
"Diaphanopterodea",277
"ARBACIOIDA",276
"Gleicheniales",273
"Oegopsida",272
"Taxocrinida",272
"ELOPIFORMES",270
"Gentianales",270
"Barrandeocerida",269
"Concavicarida",269
"ACANTHODIFORMES",268
"Carangaria",267
"CHARADRIIFORMES",267
"Rhadinichthyiformes",267
"ARTHRODIRA",266
"Presbyornithiformes",265
"Scutigeromorpha",265
"Hiatellida",259
"Lepadiformes",259
"Lamiales",258
"Osmundales",258
"Marrellida",256
"CTENACANTHIFORMES",255
"Albuliformes",252
"Aspidosiphoniformes",252
"Chondrenchelyiformes",252
"LINGULIDA",252
"CANALIPALPATA",251
"Solemyida",251
"Calanoida",249
"Cladoselachiformes",248
"NAUTILIDA",245
"Eupulmonata",244
"CYCLOSTOMATA",242
"SPIRIFERIDA",242
"To be looked up",241
"Soluta",240
"Dermaptera",238
