"specificEpithet","reps"
"subcarinata",1295
"speciosa",1291
"viridis",1278
"suilium",1275
"papua",1272
"wyomingensis",1269
"migratorius",1266
"cuneata",1264
"girtyi",1262
"monticola",1262
"aculeata",1255
"volans",1252
"concinna",1243
"mormoni",1236
"ferus",1233
"junnei",1233
"angiana",1231
"ocellatus",1231
"CAMPECHIENSIS",1228
"orbicularis",1224
"virginiana",1219
"trichas",1213
"undulatus",1213
"strophomenoides",1206
"copei",1205
"unio",1205
"grisea",1203
"agilis",1202
"hirsuta",1202
"dorsalis",1200
"pinus",1200
"alleni",1199
"undata",1198
"culbertsoni",1197
"oblongus",1197
"valdiviae",1197
"umbonata",1195
"pallidiceps",1194
"grayvillense",1193
"malacorhinus",1193
"marmorata",1191
"globosa",1185
"washingtonensis",1185
"warmingii",1184
"gossypinus",1183
"plicatile",1182
"veroensis",1182
"aphyllum",1180
"pubescens",1179
"webbi",1179
"olivacea",1178
"beedei",1177
"crassus",1177
"distincta",1177
"varius",1175
"castanea",1172
"CONTRARIUM",1171
"wetmorei",1169
"mutabilis",1167
"pacifica",1163
"sparverius",1162
"romingeri",1161
"novaeguineae",1160
"rustica",1160
"arcuata",1155
"carnifex",1154
"murchisoni",1152
"richardsoni",1151
"serrata",1148
"tristis",1148
"ADVERSARIUS",1147
"coalingensis",1147
"undulata",1146
"elegantula",1145
"conicus",1144
"pictus",1141
"convexa",1139
"orientalis",1138
"clarki",1137
"CAROLINENSIS",1124
"glutinosus",1124
"macrolepis",1122
"nelsoni",1122
"maximus",1120
"auritus",1119
"laevigata",1119
"krugi",1118
"dalli",1117
"inflatus",1115
"vera",1115
"kingi",1111
"townsendi",1111
"auropunctata",1107
"costatus",1107
"cyanogaster",1105
"bequaerti",1101
"arkansanus",1097
"waldropi",1096
"complanata",1094
"sp b",1093
"alatus",1092
"CHIPOLANUM",1091
"flammea",1091
"fallax",1086
"coronatus",1083
"indica",1082
"princeps",1082
"plana",1081
"aspera",1079
"torquatus",1079
"glaciale",1077
"acuminata",1076
"modica",1076
"villosus",1074
"lacustris",1073
"triangularis",1073
"cocco",1072
"EROSA",1071
"CALOOSANA",1070
"barbouri",1068
"granulata",1068
"contortus",1066
"barbatus",1064
"spinosum",1064
"constricta",1063
"trinitatis",1063
"cristatus",1062
"carbonaria",1060
"doreenae",1060
"virginica",1058
"wheeleri",1056
"cahow",1055
"hemigymnus",1055
"mollis",1055
"pulchra",1055
"ingenuum",1054
"frenatus",1053
"vicinus",1053
"smithi",1052
"peruviana",1050
"chinensis",1048
"granulosa",1047
"obsoleta",1044
"CALOOSAENSIS",1043
"cubensis",1041
"newberryi",1041
"acutus",1038
"magnirostris",1038
"eurekensis",1032
"orbiculata",1031
"niagarensis",1030
"nanus",1029
"oculatus",1029
"kubori",1028
"mediodiscus",1028
"merriami",1025
"tedwhitei",1024
"sirtalis",1023
"nimbaria",1019
"westii",1018
"setosus",1017
"SCULPTURATA",1014
"polyphemus",1013
"staminea",1013
"hannibali",1011
"fischeri",1010
"solitarius",1009
"dunbari",1006
"neglecta",1005
"collinsonii",1003
"flava",1003
"devonicus",1002
"nigricans",1002
"dumerilii",1001
"scitula",1001
"umbratus",1001
"atlantica",1000
"grayi",997
"regularis",994
"moorei",993
"temnodon",993
"modestus",984
"cretacea",981
"inornatus",981
"ater",978
"marginatus",978
"cardinalis",977
"collaris",976
"anza",971
"exilis",971
"cucullatus",967
"washitaensis",967
"emarginata",965
"pedicellatus",963
"speciosus",963
"albolabris",957
"latus",957
"maderensis",957
"FORNICATA",956
"nivalis",956
"discolor",954
"mesolobus",953
"caerulescens",952
"johnsoni",952
"lamellosa",951
"mirabilis",949
"SIMPLEX",947
"coelestinus",945
"dunlopei",945
"virescens",945
"decipiens",944
"hedleyi",942
"senegalensis",941
"chlorocyanus",940
"smaragdina",940
"haitiensis",939
"argentea",938
"martinicensis",934
"oweni",933
"iliaca",932
"flaveola",930
"hudsonius",929
"sayi",929
"typicalis",929
"variegata",927
"antiquus",924
"lata",924
"nitens",924
"spinosus",923
"lineolata",922
"mortoni",918
"MARGINATA",917
"compressa",915
"pustulosa",914
"palmarum",913
"gularis",910
"musculus",910
"spatula",909
"islandica",908
"notatus",906
"saltatrix",905
"\A\",901
"tripunctulatus",897
"aedon",896
"whitneyi",896
"imbricata",895
"argus",892
"terricola",892
"lenticularis",890
"evansi",889
"delicata",888
"sandrae",888
"guttata",887
"pallidus",886
"pumilus",884
"sulcatus",884
"garmanii",883
"saxatilis",882
"ocoee",881
"rectum",881
"congesta",880
"muricatina",878
"tridentata",877
"brownsportensis",875
"vanuxemi",873
"gilchristensis",872
"ingrahami",872
"shumardi",870
"cora",868
"formicarum",866
"ANTILLARUM",865
"brunneus",865
"dakotensis",861
"magnifica",861
"tabulata",861
"japonica",860
"konincki",859
"perattenuata",857
"canaliculata",856
"difficilis",856
"curvirostra",855
"pinetorum",855
"nuttallii",854
"leptofasciatus",853
"reticulatus",852
"carolinus",850
"ruficollis",850
"tumida",849
"beanii",848
"haydeni",848
"atrox",847
"coerulescens",846
"coniforme",846
"gibbsii",846
"latipes",846
"atricapillus",845
"densatum",845
"columbi",844
"cornutus",844
"petrosa",843
"dofleini",842
"scheuchzerii",842
"schoepfi",842
"tuberculatus",842
"ventricosus",842
"pygmaea",841
"stelleri",839
"analis",837
"impressa",836
"bidentatus",835
"parvula",835
"simpsoni",835
"hungerfordi",833
"lagopus",831
"saffordi",830
"AMERICANA",828
"advena",827
"scalaris",827
"delicatula",826
"kentuckiensis",826
"lotor",825
"nigrescens",825
"simulata",825
"bislineata",824
"scolopaceus",824
"mauli",823
"cavernosa",822
"magnus",822
"vetusta",821
