"specificEpithet","reps"
"cf. hamiltonensis",6
"cf. interstrictus",6
"cf. L. carbonaria",6
"cf. M. referta",6
"cf. N. henryi",6
"cf. niagarense",6
"cf. N. wenoensis",6
"cf. oregonensis",6
"cf. P. fittsi",6
"cf. P. multistriata",6
"cf. subfrigoualis",6
"cf. tomcod",6
"cf. wheeleri",6
"chacunda",6
"chaidea",6
"chalazia",6
"chalcurus",6
"chamaeleonides",6
"chamasolen",6
"chamela",6
"chandleri",6
"channahonensis",6
"chariessa",6
"charpentieri",6
"chartifex",6
"chasei",6
"chattahoocheensis",6
"chavezi",6
"cheatumi",6
"cheifensis",6
"chemnitzianum",6
"CHEMNITZII",6
"chensinensis",6
"chevreuxi",6
"chiapa",6
"chicagoense",6
"chicoana",6
"chilospilus",6
"chimbana",6
"chinga",6
"chipolae",6
"chippewa",6
"chiribiqui",6
"chloricterus",6
"chlorophthalmus",6
"chlorostomus",6
"choapaensis",6
"chocorum",6
"chondrostega",6
"chryallis",6
"chrysostictus",6
"chuatsi",6
"chyrsalis",6
"cicatriciferum",6
"cicatrix",6
"cicerula",6
"cimicoides",6
"CINCINNATIENSIS",6
"CINCTUM",6
"cinnamomina",6
"circae",6
"circumactus",6
"ciscoense",6
"citernii",6
"citharoedus",6
"CITRINENSIS",6
"citrinovitrea",6
"clangulus",6
"CLAPPI",6
"clarai",6
"clardyi",6
"clarias",6
"clarionensis",6
"clark",6
"clarkeanum",6
"clarnoense",6
"clarum",6
"clauses",6
"clausi",6
"clementensis",6
"CLENCHI",6
"clevelandi",6
"clinata",6
"CLINCHFIELDENSIS",6
"CLINTONENSIS",6
"clippertonensis",6
"clydocromphalus",6
"clymenioides",6
"CNESTUM",6
"coagulum",6
"cobaltinus",6
"cobanus",6
"coccoi",6
"codyense",6
"coeruleipes",6
"coeruleum",6
"colinensis",6
"collactea",6
"collegnii",6
"colophylla",6
"coloratum",6
"colpata",6
"colpodes",6
"columnaria",6
"commissuralis",6
"COMPACTA",6
"compactile",6
"companatus",6
"comparabile",6
"complexicosta",6
"compsorhytis",6
"concavoconvexa",6
"concharum",6
"concinnalis",6
"concinnoides",6
"conditor",6
"conferticostata",6
"confirmata",6
"conicomamillata",6
"coniferum",6
"coniger",6
"conodentatus",6
"conrena",6
"conspersula",6
"constantiae",6
"constantinae",6
"contabulata",6
"contempta",6
"continuus",6
"contumax",6
"conversa",6
"cooperi annexus",6
"coralium",6
"corallinoides",6
"CORALLINUS",6
"corbetensis",6
"cordai",6
"corderoi",6
"cordispina",6
"corniformis",6
"cornu-arietis",6
"CORNUCOPIAE",6
"cornutaformis",6
"coronadoensis",6
"coronatum var. rugosum",6
"corporosa",6
"corporosus",6
"corriensis",6
"CORRUGATUS",6
"corruptivus",6
"corsica",6
"corsicanana",6
"corticolus",6
"corvulus",6
"coryensis",6
"corylina",6
"cosdeni",6
"costatis",6
"COSTATULA",6
"COSTATUS",6
"costicrassum",6
"costularis",6
"cotinho",6
"cottonwoodensis",6
"cotys",6
"councilli",6
"covillei",6
"cranioides",6
"crassatis",6
"crassetiloides",6
"crassicardinalis",6
"crassicaulis",6
"crassifemur",6
"crassinodosa",6
"crassispina",6
"CRASSOSTRICOLA",6
"crateriforme",6
"craterodmeta",6
"crateronotus",6
"crawfordensis",6
"crebrilirata",6
"crenidens",6
"crenimarginis",6
"crenula",6
"crenulatis",6
"crenulimargo",6
"crenulistriata",6
"crescentaperta",6
"crithoe",6
"croesus",6
"croizeti",6
"crookense",6
"crotaphus",6
"crozetensis",6
"crusta",6
"cryptobium",6
"cryptoportica",6
"cryptospira",6
"cuatrecasana",6
"cucculata",6
"cuenca",6
"culbertsoni periculorum",6
"cultellatus",6
"cultrimana",6
"cultripes",6
"cumberlandensis cf",6
"cuniculosus",6
"cupola",6
"cuprascens",6
"curata",6
"curtata",6
"curticeps",6
"curtissii",6
"curvieri",6
"curvimarginata",6
"CURVUS",6
"cutlerensis",6
"cvancarai",6
"cyanecula",6
"cyaneotaeniatus",6
"cyanifrons",6
"cyanochroaticus",6
"cyanoplerus",6
"CYCLOFERUM",6
"cyclopium",6
"cymbiola",6
"cymbrum",6
"cymella",6
"cyphyum",6
"cyrtocheilus",6
"cystophora",6
"czizeki",6
"dactyliola",6
"daedala",6
"daintreei",6
"dalmanii",6
"damaranus",6
"damascina",6
"dameriacensis",6
"damula",6
"DANIANA",6
"danielsii",6
"darocensis",6
"darwinensis",6
"dasa",6
"dasycnemus",6
"daulis",6
"DEALBATUS",6
"deansii",6
"debeauxi",6
"debequensis",6
"DEBOURY",6
"decadens",6
"decanonis",6
"decheniana",6
"decidia",6
"DECISA",6
"DECLIVE",6
"DECORATA",6
"decore",6
"decui",6
"decurta",6
"deflecta gibbosa",6
"deformatus",6
"defossa",6
"DEFUNIAK",6
"deiropede",6
"dekarchiskos",6
"delectus",6
"deliqua",6
"delmonteensis",6
"deltatus",6
"demerarensis",6
"dendroides",6
"denigratus",6
"denitza",6
"deniva",6
"DENSATUS",6
"densinodum",6
"denti",6
"dentiferus",6
"deplanata",6
"deppii",6
"depravata",6
"deprehendor",6
"DEPRESSUS",6
"deprimus",6
"dercyllidas",6
"derzelas",6
"desatoyensis",6
"deslongchampsi",6
"desmarestii",6
"desmophyllum",6
"devisii",6
"diabolica",6
"diagnosticus",6
"dialata",6
"dialis",6
"didactyla",6
"difforme",6
"digestus",6
"digneti",6
"digonophora",6
"digonoptyx",6
"dimidiato-cordato",6
"dimissa",6
"dinella",6
"diodontus",6
"dipetala",6
"diphyoides",6
"discipennis",6
"DISCOIDEA",6
"discorbinoides",6
"disgranosa",6
"dismophyllum",6
"distoni",6
"distorqueata",6
"diverta",6
"divi",6
"dixi",6
"djelleh",6
"djoulfensis",6
"dobraha",6
"dockumensis",6
"doerriesi",6
"dolichophylla",6
"doliolium",6
"dolorosus",6
"dolphinodonta",6
"domantayi",6
"domicella",6
"domuncula",6
"dorashamensis",6
"dorminans",6
"dorothiensis",6
"dorsicornis",6
"dorsipes",6
"dorsopapillosa",6
"dorsoserrata",6
"dorsuncata",6
"dosensis",6
"draculoidea",6
"droebachiensis",6
"druggi",6
"dubitus",6
"dubois",6
"duboisii",6
"dubuis",6
"DUCHASTELI",6
"duda",6
"dunelmensis",6
"dunlapi",6
"dunningi",6
"duodecimalis",6
"duquesnei",6
"durangoensis",6
"duratus",6
"durnfordi",6
"durrandi",6
"dusenbury",6
"DYERI",6
"dyscritus",6
"dyskritos",6
"dzheirantuiensis",6
"ebisui",6
"EBURNEUS",6
"eburnia",6
"ECARINATUS",6
"eccentricum",6
"echiurus",6
"ecnomius",6
"ecuadoria",6
"edentonensis",6
"edmondsoni",6
"edmundsi",6
"EDULE",6
"effosa",6
"egeaon",6
"eglanterina",6
"ehingensis",6
"eiffingeri",6
"eiporosum",6
"elastica",6
"eleanora",6
"elegentula",6
"elephanticum",6
"elganius",6
"elmana",6
"elpasensis",6
"elsa",6
"eltanini",6
"elusus",6
"eluta",6
"elysianus",6
"embolopyx",6
"EMERSONII",6
"emeus",6
"EMINULUS",6
"enarratus",6
"enbyskae",6
"enceutra",6
"encharis",6
"endivea",6
"endocentrica",6
"enganoensis",6
"englishi",6
"enjalrani",6
"enomphalus",6
"enrekensis",6
"enstromi",6
"EOCENICA",6
"epetrima",6
"EPHELITICUS",6
"ephippiatus",6
"ephori",6
"epicharis",6
"epidermata?",6
"epigena",6
"epiphanes",6
"epiphron",6
"epizygis",6
"eppsi",6
"equiceps",6
"equulus",6
"erckelii",6
"ericeta",6
"erichsoni",6
"erici",6
"ericius",6
"erinaceous",6
"erithachorides",6
"erleneae",6
"erroneus",6
"erschoffi",6
"erythrocoma",6
"erythronota",6
"escornebovensis",6
"esculentum",6
"esnehensis",6
"essexi",6
"estrellana",6
"etultra",6
"euglochis",6
"EUGLYPTUM",6
"eulophus",6
"eumbonis",6
"euomphalus",6
"eupompe",6
"eupuina",6
"eureia",6
"eurinome",6
"europs",6
"eurycheilos",6
"euryzonus",6
"euterpiformis",6
"euxinus",6
"evadne",6
"evergladeensis",6
"evisceratus",6
"evolatus",6
"exaequata",6
"excelsum",6
"EXCOLATA",6
"exculta",6
"eximnis",6
"existimatus",6
"exoletum",6
"exornatus",6
"exostigma",6
"exovaria",6
"expanda",6
"explorans",6
"extumidum",6
"exumense",6
"fabressei",6
"facchino",6
"fairbanski",6
"falciforme",6
"falklandensis",6
"falsarius",6
"fannini",6
"farctus",6
"fascicostata",6
"fascicula",6
"fascifera",6
"fascinans",6
"fasciopaca",6
"fastigans",6
"fastigia",6
"fatigatus",6
"fatuellus",6
"fatuus",6
"favonii",6
"feadensis",6
"fedtschenkoi",6
"feistmantelii",6
"feneonis",6
"fenestratum",6
"fernandinus",6
"ferrata",6
"ferrettiana",6
"ferroensis",6
"ferrugineipectus",6
"fetteri",6
"fewkesii",6
"fictilium",6
"filicostata",6
"filmerae",6
"FIMBRIATULUM",6
"fimbricornis",6
"fimbriosa",6
"finlandensis",6
"firmata",6
"fiscellum",6
"fissiloba",6
"fistulata",6
"flabilliformis",6
"flameback",6
"flandrica",6
"flavicapilla",6
"flavimaculata",6
"flavofasciatus",6
"flavovittatus",6
"flemingianus",6
"flora",6
"FLORENCENSIS",6
"floresianus",6
"floridiana",6
"flosculus",6
"fodinae",6
"foecundus",6
"foliarum",6
"folini",6
"foliosquama",6
"folus",6
"fontanum",6
"fontanus",6
"formicula",6
"formosense",6
"fountainensis",6
"fourousi",6
"fragiles",6
"fragmentaria",6
"fraiponti",6
"francesae",6
"franck",6
"fratercula",6
"fratrella",6
"fraxinifolius",6
"fredericksburgense",6
"fredericksburgoides",6
"freitana",6
"freundi",6
"froggati",6
"frontosus",6
"fructicosa",6
"frutectosa",6
"fualongi",6
"fuerta",6
"fulcratum",6
"fulgar",6
"fulgeria",6
"funis",6
"furcula",6
"fusa",6
"fuscotincta",6
"fusellina",6
"fusiforma",6
"fusobullatus",6
"fusuliformis",6
"gairdneri",6
"gaitherensis",6
"galactoderus",6
"galbensis",6
"galeatum",6
"galena",6
"galericulatus",6
"galero",6
"ganahli",6
"gandyensis",6
"gangetica",6
"garambae",6
"gardinieri",6
"garlockensis",6
"garrisonensis",6
"garupellus",6
"gaspianus",6
"gassi",6
"gastonensis",6
"gaudrianus",6
"gaudryinoides",6
"gealei",6
"gelatinosa",6
"gelida",6
"gelidus",6
"gemella",6
"geminatum",6
"gemmavia",6
"gemmulosa",6
"gemuendina",6
"genyornis",6
"geoffrensis",6
"geraea",6
"gerrardii",6
"gerulus",6
"gervillii",6
"geslini",6
"gibberollus",6
"gibbia",6
"gibboides",6
"gierowii",6
"giesekiana",6
"giganticus",6
"gilletti",6
"gillilandensis",6
"gilvescens",6
"gingica",6
"ginginianus",6
"GIRTYI",6
"glabellum",6
"glabraventra",6
"glacia",6
"glaessneri",6
"glanduiosum",6
"GLANS",6
"GLAPHURA",6
"GLAPHYREA",6
"glaucocaerulea",6
"globocarinata",6
"GLOBULUS",6
"glossema",6
"GLYPTOCONCHA",6
"gnathophora",6
"gobbi",6
"gobiensis",6
"godartii",6
"goessi",6
"golconda",6
"gollevillensis",6
"gomphoides",6
"gonatodes",6
"gondwanensis",6
"goniochila",6
"gonionotus",6
"goodhuensis",6
"gorgasi",6
"gothicum",6
"gotlandieum",6
"gotoi",6
"gourguechoni",6
"gracilicornis",6
"gradicosta",6
"gradilis",6
"gramicus",6
"grammica",6
"grammiceps",6
"grandicasta",6
"grandidentata",6
"grandidentatum",6
"grandiflorum",6
"grandior",6
"grangerensis",6
"granisissima",6
"grannus",6
"grantensis",6
"grantii",6
"grantzi",6
"granulatissima",6
"granulocostata",6
"granum-avenae",6
"GRATA",6
"gravelli",6
"gravesi",6
"gravinae",6
"greshoffii",6
"GRETAE",6
"griscomi",6
"gronlandiens",6
"grossi",6
"grouvellei",6
"grovetonensis",6
"grundmanni",6
"grzybowskii",6
"guachancho",6
"guajiraensis",6
"guanajayensis",6
"guano",6
"guapa",6
"guayanensis",6
"gubernatorium",6
"guerrensis",6
"guerreoi",6
"guestieri",6
"guicciardii",6
"guionae",6
"guppyana",6
"guttadauri",6
"GUYANENSIS",6
"gymna",6
"gymnocephala",6
"gymnogenys",6
"gynecia",6
"gyratus",6
"HABROS",6
"haddeni",6
"hades",6
"hadropleura",6
"haemstoma",6
"haeretica",6
"haeringensis",6
"hagenianus",6
"hahni",6
"haliacet",6
"HALIDONA",6
"halliforma",6
"hamibali",6
"hamigera",6
"hamii",6
"haneri",6
"hanhuaensis",6
"hanieli",6
"hannoverensis",6
"hardiei",6
"hargreavesi",6
"hartfordensis",6
"harvardi",6
"hasselquisti",6
"hatterasensis",6
"haurakiensis",6
"hautimagnensis",6
"hauttecoeuri",6
"havana",6
"haytiana",6
"heartensis",6
"hearttailensis",6
"hebetum",6
"hebridicus",6
"hecateia",6
"hegesia",6
"helius",6
"hemicrassatum",6
"hengyangensis",6
"henni",6
"hennigi",6
"henningi",6
"hensoni",6
"hentz",6
"herculeum",6
"HERNANDOENSE",6
"herzbergii",6
"hesperum",6
"hewatti",6
"hewetti",6
"hexasticha",6
"hexophthalma",6
"hickmanae",6
"hierichonticus",6
"hillii",6
"hillyardensis",6
"himatioides",6
"HIMERTA",6
"hina",6
"hindsvillensis",6
"hinkeli",6
"hipparionyx",6
"hippocampus",6
"hippoglossus",6
"hirtaformis",6
"hispidus cf",6
"hobbstownensis",6
"hoerleae",6
"hoerleorum",6
"HOFFMANI",6
"hokkaidoensis",6
"holcombensis",6
"holdsworthi",6
"hollae",6
"hollingsworthi",6
"hollisterensis",6
"holzapfeli",6
"homostriata",6
"honesta",6
"hongi",6
"hopkinsoni",6
"HOPLOPHORUS",6
"horii",6
"hormathota",6
"horncloudi",6
"hornellensis",6
"hornesi",6
"horridens",6
"hottoni",6
"houssayi",6
"howardense",6
"hsui",6
"huascari",6
"hubbelli",6
"hubrichi",6
"hugonis",6
"HUNGERFORDI",6
"huntiana",6
"huonica",6
"huxleyanus",6
"huzardi",6
"hydrodromus",6
"hydrophanum",6
"hypatiae",6
"hypochalybe",6
"hypodra",6
"hypolispa",6
"hyptiostoma",6
"hyrie",6
"hyriiformis",6
"hystribula",6
"hystricosus",6
"ianthinum",6
"iarbus",6
"ibexensis",6
"idella",6
"idiopoma",6
"ignicula",6
"ilius",6
"imbricaria",6
"immaturum",6
"immobilis",6
"immodica",6
"imperforatum",6
"impetuani",6
"impunctata",6
"inaequilaterale",6
"inaequistriatus",6
"INAEQUIVALVIS",6
"inara",6
"inceptum",6
"incertiformis",6
"INCISA",6
"incisolobatum",6
"INCONSPICUA",6
"indivisus",6
"indopacifica",6
"inequicostella",6
"inezensis",6
"ineziana",6
"infausta",6
"infernorum",6
"infernus",6
"inferocostata",6
"INFIRMA",6
"inflatia",6
"informata",6
"INFORMATA",6
"infralactorensis",6
"infundibulata",6
"infundibulipora",6
"INGENAFOSSA",6
"ingenium",6
"ingeriensis",6
"inimica",6
"innexa",6
"innominata",6
"inquinatus",6
"insidiatrix",6
"insignita",6
"insipidus",6
"insuetum",6
"insulaechorab",6
"integerrimus",6
"intentus",6
"intermediata",6
"interruptolineata",6
"intersculptus",6
"interstriatum",6
"intrepida",6
"invallatum",6
"inyoense",6
"iolimbata",6
"ionthus",6
"IOTA",6
"irazuensis",6
"iriodes",6
"iripennis",6
"irrasus",6
"irregulariformis",6
"isabelae",6
"isbergiana",6
"ischnus",6
"ishikawaensis",6
"ISLACOLONIS",6
"ISLAGRANDE",6
"isobellae",6
"isocrates",6
"isomitratus",6
"ispartaense",6
"ister",6
"isthmi",6
"itaitubensis",6
"ITALICA",6
"ithacensis",6
"itombwensis",6
"jabacoensis",6
"jabaquara",6
"jablonskii",6
"jacksonianus",6
"jacobii",6
"jakovlevi",6
"jamisii",6
"jandianus",6
"japanensis",6
"jararacussa",6
"jasperense",6
"jaumaporta",6
"jebus",6
"jeffersonianus",6
"jello",6
"jeniguano",6
"jenksii",6
"jennyae",6
"jessupensis",6
"JOANNAE",6
"joaquini",6
"jobiense",6
"joensis",6
"johannisaustriae",6
"jousseaumei",6
"jozo",6
"j.p.smithi",6
"jugoca",6
"jukesiana",6
"junior",6
"jurileontyi",6
"kakhiensis",6
"kanauguki",6
"kansanaum",6
"kansasensis/meltoni",6
"kaplani",6
"kaugatomicum",6
"keeferi",6
"kekuensis",6
"kelee",6
"KELLUMI",6
"kelsoensis",6
"kenia",6
"keniana",6
"kennicottii",6
"kerimbaensis",6
"kerrensis",6
"keruruensis",6
"keyserense",6
"khargensis",6
"kickapooense",6
"kiensis",6
"kiersteadae",6
"kilmeri",6
"kimberlyae",6
"kingsleyae",6
"kinoshitai",6
"kinsleyi",6
"kiowanus",6
"kirttlandii",6
"kitai",6
"kitaibelii",6
"kladion",6
"klugei",6
"klugius",6
"kobehense",6
"KOENENI",6
"kolbergi",6
"kollmanni",6
"konara",6
"kongakutensis",6
"kootenayorum",6
"koratensis",6
"kori",6
"korusi",6
"kotoi",6
"kotys",6
"krafti",6
"krainica",6
"krausi",6
"kreyenhagensis",6
"krishtalkai",6
"kronenartiga",6
"krutaki",6
"kskaskiensis",6
"kuantungensis",6
"kummae",6
"kwaguntensis",6
"labasanus",6
"labaughi",6
"labillardierei",6
"LABRATULA",6
"lacea",6
"lachenbruchi",6
"lacrimula",6
"lacrina",6
"LACUSTRIS",6
"ladogensis",6
"laevidomus",6
"laeviurus",6
"laevivertex",6
"lagrandeuri",6
"lahottensis",6
"lalandeanus",6
"lalius",6
"lamarkiana",6
"lambi",6
"lamellicornis",6
"lamellicostata",6
"lampsacus",6
"lananensis",6
"lancala",6
"lancastriensis",6
"landmani",6
"lani",6
"lanioides",6
"lanka",6
"lantenoisi",6
"laperouse",6
"lapidarius",6
"lapidiscola",6
"lapillus incrassata",6
"laqua",6
"larentioides",6
"large-eye",6
"largei",6
"laricio",6
"lasswitzi",6
"latastei",6
"latecarinatus",6
"lateristriata",6
"laterniformis",6
"lateseptatum",6
"laticincta",6
"latispinus",6
"latrellei",6
"latuformis",6
"laucha",6
"laumontiana",6
"laureani",6
"laurinafolia",6
"lauzannei",6
"LAZARUS",6
"lazelli",6
"lazera",6
"lebetina",6
"lecanospiroides",6
"leecreekensis",6
"leesi",6
"leia",6
"leilia",6
"lemoini",6
"leniscatus",6
"leptochelys",6
"leptoholcis",6
"leslieae",6
"leslii",6
"lesnearii",6
"lessepsiana",6
"lethaea",6
"leucisculus",6
"leucoprocta",6
"leucorrhaphe",6
"leucospila",6
"leucotaenia",6
"leuphotes",6
"leveneae",6
"LEVINSENI",6
"levinsoni",6
"LEVINUS",6
"leviuscula",6
"l'hoesti",6
"licomedes",6
"licta",6
"lienardi",6
"lienardiana",6
"lifouana",6
"ligia",6
"lignieri",6
"lillianae",6
"limanda",6
"LIMATA",6
"limbolarius",6
"limensis",6
"lincki",6
"lincta",6
"lindgrenii",6
"lindrothi",6
"lineanoda",6
"linearifolium",6
"lineatissimus",6
"linguiafelis",6
"linneana",6
"linsa",6
"lintoni",6
"liolepis",6
"liorhyncha",6
"lippsi",6
"liqata",6
"lis",6
"LISBONCOLA",6
"lispa",6
"lissoplaca",6
"lithographicus",6
"littletonensis",6
"littoricola",6
"livermorensis",6
"llangollensis",6
"lloydsmithi",6
"lobatorotundata",6
"lobodonta",6
"locardi",6
"loculosa",6
"lodgepolensis",6
"loebbeckei",6
"lofotensis",6
"lomaensis-versiformis",6
"longicaudatum",6
"longicephalus",6
"longipetiolata",6
"longipinnus",6
"longoriai",6
"lontensis",6
"lophiodon",6
"loranthe",6
"lorenzo",6
"lormieri",6
"LOUISAE",6
"lourei",6
"lovenioides",6
"lowaensis",6
"lowensis",6
"lowreyensis",6
"luctatrix",6
"luederitzii",6
"lumariacuspis",6
"lunensis",6
"lusiada",6
"lutaria",6
"lutipinnis",6
"luxatus",6
"luzonicum",6
"lycaon",6
"lycopordioides",6
"lygaria",6
"lyncoides",6
"lynnae",6
"lyrulata",6
"lythensis",6
"macaco",6
"maccoyanus",6
"macdougalli",6
"macerrima",6
"machetula",6
"machroschisma",6
"mackenzi",6
"maclearanus",6
"macmasteri",6
"macmichaeli",6
"macmulleni",6
"macoupeni",6
"macrantha",6
"macrobius",6
"macrocarpus",6
"macrocosta",6
"macrolaminata",6
"macroperona",6
"macrophyllus",6
"macroplema",6
"macroplicata",6
"macropomum",6
"macrotrema",6
"macrotumidus",6
"macrotus",6
"MACULIFERA",6
"maculiferous",6
"maddeni",6
"madisonensis var pusilla",6
"madisonianus",6
"madrela",6
"MADREPORARUM",6
"madytus",6
"maga",6
"magna?",6
"magnoculus",6
"maguari",6
"mahiz",6
"mahogoni",6
"maillardi",6
"mailleana",6
"mainae",6
"makawaoensis",6
"malaccana",6
"malachitensis",6
"maleficus",6
"malina",6
"malta",6
"malura",6
"maluti",6
"manchurica",6
"manilata",6
"mapesi",6
"maranonicus",6
"marantacea",6
"marchmountensis",6
"MARCOTTAE",6
"marella",6
"margantacea",6
"MARGARITA",6
"margarum",6
"marguerita",6
"marianosi",6
"marielina",6
"markoei",6
"marquesa",6
"marrianae",6
"marshensis",6
"marshi cf",6
"marssoni",6
"martiniformis",6
"martiusi",6
"martyni",6
"martynovae",6
"marylandiense",6
"marylandrica",6
"mascarone",6
"MATAGORDENSIS",6
"matanzasensis",6
"mathaei",6
"matintaperera",6
"matroka",6
"matuta",6
"matutinum",6
"maugaeus",6
"mauleanum",6
"mauriciana",6
"mauryi",6
"mawbeyi",6
"mawlei",6
"mayana",6
"mayense",6
"mayensis",6
"mcbeanensis",6
"mccoskeri",6
"mccutcheonae",6
"mckibbinae",6
"mcnultyi",6
"mechowi",6
"MEDIOCONSTRICTA",6
"mediocostatum",6
"medusae",6
"megadon",6
"megaspira",6
"melacara",6
"melaneus",6
"melanimus",6
"melannotus",6
"melanochir",6
"melanophaius",6
"melanopterum",6
"melanoticus",6
"melatremus",6
"melonensis",6
"melrosensis",6
"melshaemeri",6
"membranacruralis",6
"meminna",6
"mendoza",6
"meneghini",6
"menendezi",6
"mengei",6
"MENISCUS",6
"menloensis",6
"mensurans",6
"mentha",6
"menusa",6
"meotica",6
"mercatori",6
"mercedensis",6
"mercerensis",6
"merkelii",6
"merluccius",6
"mesogonia",6
"mespilifolia",6
"META",6
"metanerva",6
"metodon",6
"mettae",6
"metula",6
"metuloides",6
"mevesii",6
"micens",6
"mickleboroughi",6
"microbasalis",6
"microbrachius",6
"microceros",6
"microconos",6
"microconus",6
"microdiscus",6
"microdontoides",6
"micrognathus",6
"microlepidolus",6
"microlirae",6
"micromphalus",6
"microperca",6
"microphaga",6
"microserratus",6
"microtus",6
"microurceus",6
"microzonias",6
"middendorfensis",6
"middlesexensis",6
"milanensis",6
"milca",6
"millaamillaa",6
"millecostatum",6
"millegranosa",6
"MILLEPUNCTATA",6
"millima",6
"millipeda",6
"millsoni",6
"milneri",6
"milo",6
"mima",6
"MIMICA",6
"mimmus",6
"mimuta",6
"MINAX",6
"minchami",6
"mineacea",6
"minimus cf",6
"minutoides",6
"mioceanus",6
"mira?",6
"MIRA",6
"mirandollei",6
"mirificum",6
"miris",6
"misenus",6
"miserabile",6
"MITORRAPHES",6
"mitu",6
"miyakoense",6
"mlokosiewiczi",6
"moderata",6
"modicum",6
"MODIOLUS",6
"moechus",6
"mohaveana",6
"molaris",6
"moldavica",6
"molokaiensis",6
"moluccana",6
"monacanthus",6
"monaense",6
"mongolfieri",6
"MONILE",6
"moniliformus",6
"moniligena",6
"monstrosum",6
"montisrotundi",6
"montmollini",6
"moodeyi",6
"moodii",6
"moorefieldensis",6
"moreo",6
"morforanus",6
"moritinctus",6
"morreni",6
"morreyae",6
"mortonus",6
"moschiferus",6
"mosesi",6
"moussai",6
"mozambica",6
"mrigala",6
"mucoreus",6
"mucra",6
"mulates",6
"mulleti",6
"mullya",6
"multicincta",6
"multidecoratus",6
"multiforme",6
"multiformum",6
"multilinigera",6
"multiocellata",6
"multiscutatus",6
"multispira",6
"multituberculata",6
"multivirgatus",6
"MUMIA",6
"mumiaforme",6
"MURCHISONII",6
"murcricafina",6
"muretae",6
"murrinus",6
"musca",6
"musivum",6
"muttui",6
"mutuata",6
"MYAKKANUS",6
"myarion",6
"myrrha",6
"myrtaria",6
"myrtifolia",6
"mystica",6
"mysticalis",6
"mystinus",6
"nacimientensis",6
"naiadiformis",6
"nakadai",6
"nanaplata",6
"nancyana",6
"nanellus",6
"nanhsiungensis",6
"nannochir",6
"naos",6
"napaensis",6
"Napoleon C",6
"nasiacarnis",6
"nasorakensis",6
"natalia",6
"nathusii",6
"naturalisticus",6
"nautiloides",6
"navalia",6
"naviculus",6
"naviformis",6
"nayaur",6
"neboensis",6
"nebulifer",6
"neddi",6
"needhami",6
"neglecta?",6
"nelsonensis",6
"nematura",6
"nemophila",6
"nemoralina",6
"NEMORALOIDES",6
"neophasis",6
"neosocialis",6
"nepheloide",6
"neriifolia",6
"NERITELLA",6
"NERTERUS",6
"nesophila",6
"nesophilus",6
"nevadicus",6
"newpassense",6
"nicaraguanus",6
"nicevillei",6
"NICHOLSONI",6
"nicobarensis",6
"nida",6
"nigarense",6
"nightingalei",6
"nigriculum",6
"nigriflava",6
"nigritulus",6
"nigroviride",6
"nikeae",6
"nitela",6
"nitidens",6
"nitidiuscula",6
"nitidiventris",6
"NITIDULA",6
"niveigularis",6
"nocturna",6
"nodata",6
"nodicostata",6
"nodiferum",6
"nodocostum",6
"nodolosus",6
"nodosoidesappelatus",6
"nodularis",6
"nogales",6
"nomeus",6
"nonconstrictus",6
"nonsuchae",6
"nonus",6
"noquasa",6
"nordenskioldii",6
"nordicus",6
"norrisensis",6
"norwegica",6
"notabile",6
"notaeus",6
"notchpeakensis",6
"noticola",6
"novae-seelandiae",6
"NOVANGLIAE",6
"novascotica",6
"novencinctus",6
"novomexicana",6
"novozealandicum",6
"novumbegae",6
"n.sp?",6
"n. sp. depressa",6
"nubifera",6
"nucleoidea",6
"nummiformis",6
"nummulina",6
"numulus",6
"nuriae",6
"nutiensis",6
"NUTTALLIOPSIS",6
"nuxdenticulata",6
"nyctea",6
"nycteris",6
"nyelii",6
"oaxaca",6
"obcordatus",6
"obesoides",6
"obligua",6
"obligum",6
"oblio",6
"OBLIQUA",6
"oblique",6
"obliteratum",6
"oblivia",6
"obnutus",6
"obsolitus",6
"obtusiplicatus",6
"OBTUSUM",6
"occidua",6
"occipitolutea",6
"ochilleana",6
"ochlockoneensis",6
"ochra",6
"ochrolencus",6
"ochropus",6
"ochrus",6
"octaedra",6
"octocula",6
"octotaenia",6
"odiosa",6
"(Oeneis)",6
"offarcinatum",6
"ogallalae",6
"okadai",6
"OKEECHOBIENSIS",6
"oldhami",6
"olequaensis",6
"oliveae",6
"ollius",6
"olounoua",6
"olsonni",6
"ommata",6
"omphaloides",6
"oneida",6
"oneilli",6
"ontarioense",6
"onzola",6
"oostinghi",6
"opelovac",6
"operculatus",6
"ophryas",6
"OPISTHOGRAMMATA",6
"oppoae",6
"oraia",6
"oranensis",6
"oratia",6
"orbica",6
"orbicularia",6
"orcus",6
"oread",6
"oregana",6
"oreina",6
"oresignum",6
"orifera",6
"originis",6
"oriximinensis",6
"oronocensis",6
"orphanensis",6
"orphnius",6
"orthognathus",6
"ortygia",6
"osculum",6
"osgoodi",6
"ostrinus",6
"othcaloogensis",6
"otrere",6
"ottawa",6
"OVALINA",6
"ovata f. vermicularis",6
"oxyprion",6
"oxyrhyncus",6
"ozarkola",6
"pachyops",6
"pachyphyllus",6
"pachyptila",6
"paenepennatus",6
"pailletti",6
"pairana",6
"palaeothalassia",6
"palenque",6
"paleocenicus",6
"palimbola",6
"pallax",6
"pallidicauda",6
"palliolata",6
"PALMBEACHENSIS",6
"palpebrosus",6
