"index.order","reps"
"uintacrinida",976
"cystiphyllida",973
"pseudoscorpiones",959
"discosorida",956
"acrotretida",954
"holectypoida",940
"cardiida",939
"pseudosuchia",932
"squaliformes",932
"dendrochirotida",931
"celastrales",928
"terebellida",923
"sedentarida",917
"brachiopoda",902
"waptiida",898
"conchostraca",886
"heterostraci",886
"camarodonta",883
"pantolesta",881
"cheilostomata",876
"spirillinida",875
"phytosauria",873
"gaviiformes",870
"pedunculata",854
"myrtales",852
"antiarchi",849
"leperditicopida",847
"ephemeroptera",844
"lytoceratida",842
"oegopsida",833
"hippuritoida",815
"syncarida",814
"valvatida",811
"dipsacales",809
"echiuroidea",798
"gymnophiona",796
"ploima",786
"praecardioida",779
"isoptera",778
"juglandales",778
"lycopodiales",777
"heliolitida",775
"labriformes",771
"osteoglossiformes",769
"platycopida",764
"batoidea",763
"conocardioida",763
"hamamelidales",761
"hybodontiformes",760
"cryptostomata",757
"chelonia",743
"solemyoida",741
"hyolithida",738
"psocodea",730
"nectridea",720
"apiales",715
"boraginales",706
"diplostraca",703
"spirobolida",685
"bucerotiformes",679
"semionotiformes",676
"diploporita",671
"psocoptera",671
"octactinellida",655
"schizaeales",655
"cordaitales",650
"ceratitida",646
"actinocerida",644
"nymphaeales",642
"trepostomata",624
"acanthodiformes",623
"phymosomatoida",623
"gasterosteiformes",621
"euheterodonta",620
"blattaria",612
"hyracoidea",607
"isoetales",607
"alismatales",606
"sepiida",597
"salenioida",595
"arbacioida",594
"trochodendrales",594
"eulipotyphla",586
"vitales",586
"atheriniformes",581
"order incertae sedis",578
"[unassigned]caenogastropoda",578
"orthogastropoda order incertae sedis",576
"tinamiformes",569
"caryophyllales",567
"capitellida",557
"lampriformes",555
"bennettitales",548
"receptaculitida",548
"cyclostomata",546
"heterobranchia",534
"collembola",533
"sphenophyllales",529
"plecoptera",525
"cornuta",523
"golfingiiformes",523
"petalodontiformes",517
"stomatopoda",513
"lyssakida",510
"cnidaria",503
"nudibranchia",497
"sagenocrinida",497
"urodela",497
"tarphycerida",491
"robertinida",489
"leptothecata",483
"choristodera",482
"octopoda",474
"venerida",473
"tentaculitida",472
"ichthyosauria",461
"lychniscosida",461
"microsauria",460
"spumellaria",458
"leptictida",456
"pectinida",456
"sarcoptiformes",455
"crossopterygii",450
"incertae sedis",445
"[unassigned] vetigastropoda",444
"neritopsina",442
"spionida",438
"salviniales",431
"urticales",429
"veneroidei",426
"spongillida",420
"dermoptera",417
"ctenacanthiformes",415
"cladoselachii",413
"solanales",411
"uncertain",410
"gymnotiformes",406
"theales",403
"phascolosomatiformes",402
"apatotheria",397
"afrosoricida",396
"anaspidea",394
"anostraca",392
"filicales",389
"gentianales",387
"prosobranchia",387
"coronatida",382
"millericrinida",382
"asparagales",381
"dinornithiformes",380
"hexactinosida",380
"orectolobiformes",380
"mecoptera",377
"articulata (crinoidea)",375
"mitrata",373
"lucinida",367
"ceratodontiformes",362
"gleicheniales",357
"plesiosauria",356
"pycnodontiformes",356
"seriata",356
"spirostreptida",355
"xenacanthiformes",355
"charales",354
"dicynodontia",354
"orbiniida",352
"opisthoparia",351
"selachii",351
"nassellaria",348
"dictyonellida",347
"rhynchobdellida",341
"saccopharyngiformes",341
"lyssacinosida",338
"ixodida",337
"protorthoptera",336
"lepidopleurida",322
"chordeumatida",320
"antipatharia",319
"rhamnales",319
"musophagiformes",315
"poecilosclerida",313
"albuliformes",307
"solifugae",307
"hemicidaroida",306
"haplosclerida",304
"porifera",303
"batrachoidiformes",301
"oegophiurida",301
"phaethontiformes",299
"thalamida",297
"euphausiacea",294
"litopterna",294
"xenarthra",294
"isorophida",291
"glossopteridales",288
"paucituberculata",279
"scalpelliformes",276
"diaphanopterodea",275
"notacanthiformes",273
"taxocrinida",273
"ostreida",272
"dasyuromorphia",271
"arhynchobdellida",269
"concavicarida",269
"scutigeromorpha",269
"leptolepidiformes",267
"leptostraca",266
"echinoneoida",264
"mesostigmata",264
"tetractinellida",260
"marrellida",259
"salicales",259
"euphoberiida",258
"zingiberales",254
"polypteriformes",253
"aspidosiphoniformes",252
"chondrenchelyiformes",252
"cyatheales",251
"calanoida",249
"cladoselachiformes",248
"dermaptera",246
"oxalidales",246
"dasycladales",243
"iniopterygiformes",243
"prostigmata",242
"rhadinichthyiformes",242
"eurypterida",238
"aspidorhynchiformes",236
"captorhinida",236
"molpadida",235
"amphinomida",234
"barrandeocerida",234
"tetrasporales",234
"ascocerida",229
"soluta",228
"archaeocyathida",226
"corallinales",224
"slopalinida",224
"phoenicopteriformes",223
"trombidiformes",223
"hesperornithiformes",222
"ricinulei",220
"stomopneustoida",220
"pennatulacea",219
"squatiniformes",219
"ichnites",216
"myida",215
"protorthida",215
"cerithimorpha",214
"diptera?",212
"selaginellales",212
"cornulitida",211
"dendrocrinida",211
"sphenacodontia",210
"synbranchiformes",210
"plumatellida",209
"bactritida",208
"dilleniales",208
"euryalida",208
"metzgeriales",207
"hydrocharitales",205
"pygocephalomorpha",205
"garryales",204
"fish coprolite",203
"hadromerida",203
"myalinida",203
"eupulmonata",202
"bassommatophora",201
"basommatophora",200
"lyginopteridales",200
"hypsogastropoda",199
"petromyzontiformes",199
"to be looked up",198
"aquifoliales",196
"mytilida",196
"thalattosauria",195
"zeiformes",194
"anthracosauria",193
"conulariida",193
"systellommatophora",193
"conocardiida",192
"percopsiformes",192
"struthioniformes",192
"coliiformes",190
"piperales",190
"cetaceamorpha",189
"halocyprida",188
"myopsida",188
"bradoriida",187
"palaechinoida",187
"torpediniformes",187
"rhabdocoela",186
"tselfatiiformes",185
"coleoptera?",184
"gobiiformes",184
"globigerinida",183
"radiodonta",182
"bursovaginoidea",180
"peramelemorphia",180
"cetomimiformes",179
"allocaudata",178
"ellimmichthyiformes",175
"kutorginida",175
"arcida",173
"clionaida",173
"cyclophyllidea",173
"eocaridacea",173
"liliales",173
"heteractinida",172
"salenoida",172
"pholidota",169
"polymixiiformes",168
"reticulosa",168
"sipunculiformes",167
"angulliformes",165
"haplotaxida",164
"neoloricata",161
"peltaspermales",161
"triconodonta",161
"aciculata",160
"osteolepiformes",160
"nuculanida",159
"paterinida",158
"rubiales",158
"axinellida",157
"leptolepiformes",156
"bryopsidales",155
"pteroclidiformes",154
"uropygi",154
"protorosauria",153
"eupercaria",152
"arbacoida",151
"billingsellida",151
"scorpionida",151
"echinodermata",150
"marsupialia? indet",150
"pharetronida",149
"sphinctozoa",149
"blenniiformes",148
"spirulida",148
"chloranthales",147
"craterostigmomorpha",147
"pachycormiformes",146
"rhynchocephalia",146
"chradriiformes",140
"glomerida",140
"sauropterygia",140
"adapedonta",137
"halecostomi",137
"lophogastrida",137
"buxales",136
"marchantiales",136
"miomera",136
"sacoglossa",136
"ceratophyllales",134
"gobiesociformes",134
"echinoida",133
"arthropoda",132
"trigonocarpales",130
"canalipalpata",129
"gogiida",129
"aistopoda",128
"roveacrinida",128
"spariformes",128
"amphidiscosida",127
"dinocerata",127
"elasipodida",127
"lutjaniformes",127
"ptyctodontida",127
"raphidioptera",127
"amphisbaenia",125
"carangiformes",125
"labechiida",125
"naviculales",125
"crassiclitellata",124
"obolellida",123
"spinulosida",123
"voltziales",123
"monostilifera",122
"homoptera",121
"coronata",119
"taxales",119
"diadectomorpha",118
"taeniodonta",118
"gordioidea",117
"megaloptera",117
"anagalida",116
"lecanorales",115
"muchisoniina",115
"sandcoleiformes",115
"astrapotheria",113
"cyrotoneritomorpha",113
"ophioglossales",113
"pityales",113
"ichthyornithiformes",112
"mysidacea",111
"casuariiformes",110
"insectivore indet.",110
"stromatoporida",110
"tarrasiiformes",110
"tryblidiida",109
"dryolestida",108
"hymenoptera?",108
"icacinales",108
"coccolithales",107
"grylloblattida",107
"santalales",107
"teuthida",107
"cyrtonellida",106
"trimerellida",106
"serpulimorpha",105
"anaspidiformes",104
"myxiniformes",103
"suberitida",103
"echinocystitoida",102
"trochida",102
"lepidocarpales",101
"coscinodiscales",99
"ptenoglossa",99
